ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.427,0.637,0.616,-0.836,0.803,0.475,0.696,0.105,-0.224,0.721,0.444,-0.965,0.71,0.544,-1.352,0.739,-0.24,0.573,0.433,0.647,0.542,0.402,0.791,-2.497,-0.003,0.594,-0.745,0.651,-1.608,0.61,0.556,-0.151,-1.487,0.508,0.426,0.681,0.335,-6.363,-0.11,0.354,0.788,-79.077,0.382,0.472,-10.856,0.293,0.077,0.755,0.15,0.54,-0.511,-2.617,0.485,0.216,0.65,0.851,-0.141,0.588,0.515,0.487,0.81,0.623,0.309,-0.203,0.672,0.548,0.426,0.399,0.71,0.646,0.514,0.745,0.677,0.743,0.546,0.647,0.625,0.782,0.5,-68.119,0.713,0.167,0.158,0.745,0.692,0.319,0.117,0.58,-0.293,0.199,-19.021,-1.419,0.181,-3.095,0.569,0.682,0.365,0.614,0.637,0.685
0.10,0.681,0.736,0.665,0.733,0.716,-10.211,0.472,0.458,0.553,-0.047,0.611,0.497,0.035,-10.967,0.226,0.738,-6.333,0.704,0.796,0.657,0.752,0.666,0.755,-10.265,-1.271,0.77,0.829,0.772,0.655,0.745,0.566,0.731,0.35,-1.576,-1.09,0.723,0.642,0.552,0.721,0.006,0.61,-2.57,-0.856,0.592,0.532,-0.229,-0.819,0.76,0.636,-1.616,0.807,-12.976,0.805,0.726,-0.107,0.618,0.505,0.802,-0.221,0.587,0.508,0.684,0.657,0.806,-0.056,0.751,0.483,0.83,0.762,0.52,0.746,0.711,0.674,0.776,0.752,0.744,0.798,0.474,0.673,-1.218,0.504,0.073,-0.179,0.486,0.497,0.775,0.582,0.498,0.636,0.796,-0.93,-0.361,0.528,-3.096,0.686,0.674,0.659,0.586,0.521,0.336
0.15,0.198,0.258,0.716,0.687,0.772,0.447,0.591,0.689,0.612,0.637,0.64,0.578,-0.735,0.734,0.758,0.758,-27.82,-1.106,0.237,0.745,0.504,0.217,0.739,-14.289,0.563,0.554,0.825,0.788,0.255,0.772,0.625,0.749,0.852,-0.119,0.769,0.552,0.568,0.08,0.794,-0.907,0.855,0.742,0.583,0.599,0.425,-3.539,0.457,0.766,0.839,-5.477,0.695,-3.22,0.584,0.715,0.524,0.614,0.587,-0.019,0.147,0.653,0.842,0.733,0.421,0.804,0.677,-32.282,0.441,0.695,0.766,0.816,0.31,0.613,0.674,0.708,0.538,0.679,0.82,0.691,0.514,0.555,0.615,0.751,-0.89,0.66,0.663,0.792,0.543,0.697,0.714,0.129,-0.477,0.841,0.743,0.676,0.56,0.773,0.718,0.615,0.778,0.681
0.20,0.816,-0.625,0.474,0.575,0.669,-0.201,0.382,0.731,0.811,0.673,0.732,0.533,-5.416,0.689,0.111,0.786,-2.965,0.806,0.392,0.767,0.651,-0.423,-0.304,-6.648,0.339,0.692,0.855,0.738,0.8,0.745,0.548,0.534,0.733,0.368,0.721,0.697,0.599,0.514,0.723,0.504,0.824,-3.433,-0.103,0.643,0.781,-1.351,0.585,0.646,0.669,0.742,0.254,0.563,0.556,-0.192,0.401,0.734,0.549,0.761,-0.107,-0.054,0.67,0.173,0.666,0.519,0.705,0.828,0.502,0.817,0.801,0.739,0.744,0.52,0.563,0.772,0.454,0.765,0.774,0.736,-1.074,0.728,-0.123,0.568,0.296,0.786,0.763,-6.018,0.231,0.696,0.724,0.831,0.07,0.84,0.858,-2.848,0.767,0.791,0.761,0.725,0.78,0.335
0.25,-6.472,0.789,0.785,0.731,0.796,-0.388,0.363,0.781,-0.078,0.695,0.695,0.711,0.771,0.575,-2.8,0.809,-13.807,-0.458,0.627,0.743,0.68,-0.154,0.693,-1.196,0.624,0.611,0.856,0.79,0.483,0.74,0.576,0.798,0.847,0.653,0.589,0.674,0.807,0.053,0.732,0.746,0.778,0.711,0.539,0.688,0.525,-0.041,0.196,0.813,0.779,0.731,0.707,-2.747,0.755,0.306,0.839,0.844,0.732,0.758,-0.976,0.56,0.836,0.75,0.039,-0.064,0.778,0.326,0.472,0.768,0.805,0.799,0.808,0.74,0.671,0.709,0.623,0.74,0.749,0.754,-1.113,0.415,0.817,0.774,-2.715,0.787,0.808,0.053,-0.644,0.749,0.733,0.793,-0.73,0.828,0.78,0.77,0.796,0.791,0.693,0.621,-1.857,-0.294
0.30,0.545,0.529,0.727,0.672,0.735,0.324,-1.054,0.596,0.819,0.613,0.729,0.76,0.752,-0.017,0.286,0.58,-5.601,0.408,0.715,0.771,0.602,0.777,0.842,0.277,0.637,0.469,0.308,0.803,0.793,0.737,0.375,0.812,0.755,0.637,0.69,0.726,0.515,0.721,0.717,-0.377,0.859,0.689,0.795,0.6,0.151,0.479,0.399,0.777,0.783,0.755,0.728,0.843,0.842,0.756,0.654,0.84,0.537,0.801,0.43,0.576,0.786,0.769,0.755,0.854,0.646,0.812,-1.65,0.816,0.802,0.795,0.699,0.677,0.747,0.349,0.696,0.783,0.649,0.677,0.836,0.616,0.75,0.706,0.751,0.834,0.746,-1.577,-0.234,0.665,0.627,0.741,0.771,0.808,0.798,0.758,0.69,0.795,0.803,0.767,0.708,0.73
0.35,0.71,0.524,0.128,0.79,0.811,-0.614,0.595,0.798,0.621,0.483,0.224,0.767,0.707,0.545,0.358,0.638,-0.586,0.748,0.72,0.718,0.496,0.423,0.769,-2.684,-0.334,0.656,0.853,0.802,0.823,0.794,0.679,0.769,0.842,0.264,0.773,0.778,0.69,0.847,0.472,0.613,0.868,0.809,0.723,0.513,0.783,0.561,-0.681,0.825,0.815,0.803,0.781,0.612,0.813,0.864,0.771,0.284,0.745,0.825,0.555,0.551,0.827,0.601,0.707,0.843,0.731,0.828,0.755,0.853,0.824,0.796,0.62,0.782,0.727,0.725,0.7,0.679,0.759,0.759,0.781,0.334,0.612,0.798,0.731,0.815,0.746,0.423,-0.786,0.779,0.789,0.848,0.85,0.746,0.835,0.25,0.72,0.782,0.598,0.744,0.636,0.68
0.40,0.706,0.658,0.764,0.762,0.702,0.718,0.377,-2.928,0.842,0.801,0.776,0.6,0.843,0.643,0.786,0.821,-0.316,0.764,0.744,0.722,0.785,0.855,0.869,-1.338,0.669,0.662,0.452,0.661,0.797,0.828,0.705,0.533,0.696,0.52,0.754,0.812,0.846,0.858,0.766,-0.434,0.859,0.414,0.644,0.698,-0.352,-0.06,0.662,0.812,0.746,0.74,0.765,0.768,0.825,0.868,0.749,0.847,0.666,0.801,0.464,0.711,0.737,0.777,0.729,0.767,0.764,0.795,0.02,0.857,0.802,0.77,0.802,0.805,0.69,0.833,0.791,0.784,0.81,-0.317,0.158,0.323,0.632,0.85,-1.402,0.777,0.792,0.749,-7.376,-0.247,0.528,0.854,-0.036,0.591,0.842,0.782,0.787,0.606,0.846,0.721,0.809,0.483
0.45,0.834,0.757,0.746,0.808,0.745,0.632,0.679,0.258,0.827,0.756,0.85,0.705,0.756,0.746,0.807,0.849,0.298,0.815,0.765,0.853,0.713,0.76,0.853,-6.402,0.778,0.791,0.841,0.705,0.857,0.822,0.77,0.572,0.753,0.631,0.74,0.81,0.645,-0.99,0.795,0.655,0.868,0.685,-0.247,0.785,0.231,0.659,0.533,0.772,0.811,0.713,0.809,0.734,0.806,0.864,0.852,0.825,0.731,0.2,0.654,0.639,0.849,0.717,0.67,0.836,0.819,0.805,0.701,0.841,0.817,0.641,0.764,0.769,0.585,0.848,0.555,0.804,0.654,0.638,0.656,0.731,0.633,0.831,0.458,0.785,0.761,0.817,0.69,0.81,0.556,0.846,0.435,0.831,0.825,0.75,0.749,0.837,0.79,-0.565,0.793,0.864
0.50,0.851,0.784,0.783,0.843,0.817,0.66,0.752,0.831,0.768,0.812,0.831,-0.696,0.681,0.809,0.806,0.824,-1.41,0.807,0.773,0.842,0.736,0.859,0.825,0.824,0.763,0.799,0.826,0.728,0.87,0.839,0.802,-2.263,0.777,0.76,0.841,0.777,0.746,0.694,0.809,-29.13,0.777,0.808,0.838,0.634,0.771,0.154,0.809,0.746,0.75,0.78,0.838,0.818,0.741,0.881,0.799,0.699,0.819,0.778,0.485,0.731,0.813,0.461,0.745,0.84,0.829,0.83,0.68,0.833,0.829,0.825,0.777,0.805,0.684,0.849,0.46,0.798,0.774,0.77,0.752,0.856,0.694,0.816,0.835,0.845,0.85,0.816,0.869,0.826,0.772,0.613,0.739,0.586,0.832,0.848,0.85,0.854,0.774,0.719,0.842,0.855
