ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-0.465,0.562,0.296,0.606,0.44,0.61,-0.356,0.572,0.531,0.365,0.727,0.76,-0.881,-0.145,0.155,-0.582,-0.742,-1.442,0.107,-0.811,-0.034,0.785,0.136,0.482,0.55,0.36,0.022,-0.252,-0.364,0.604,0.242,0.673,0.704,0.635,0.344,0.605,0.192,0.049,0.73,-2.817,0.189,0.071,0.718,-0.055,-0.424,0.691,0.57,-1.171,0.668,0.694,0.603,0.509,0.209,0.728,0.52,0.239,0.328,0.711,0.379,0.433,0.347,0.564,0.564,0.117,0.155,-0.36,0.521,0.293,0.812,0.517,0.69,0.68,0.746,-0.105,-0.161,0.376,0.087,0.642,0.462,0.527,0.857,-0.324,-1.671,-0.122,-0.049,0.453,0.46,0.644,-0.769,0.483,0.376,0.035,0.263,-0.296,0.232,0.695,0.498,0.14,0.211,0.596
0.10,0.738,0.888,0.89,0.549,0.813,0.824,0.891,0.966,0.899,0.817,0.907,0.935,0.838,0.966,0.873,0.536,0.545,0.84,0.853,0.887,0.774,0.868,0.826,0.656,0.658,0.933,0.942,0.76,0.76,0.885,0.737,0.732,0.892,0.729,0.734,0.948,0.682,0.66,0.901,0.872,0.915,0.808,0.521,0.954,0.82,0.894,0.629,0.906,0.577,0.685,0.846,0.935,0.871,0.935,0.723,0.974,0.583,0.832,0.648,0.849,0.812,0.9,0.281,0.936,0.896,0.872,0.86,0.601,0.828,0.935,0.483,0.805,0.919,0.918,0.832,0.938,0.698,0.509,0.528,0.849,0.957,0.571,0.626,0.886,0.603,0.697,-0.009,0.482,0.8,0.834,0.549,0.81,0.944,0.914,0.533,0.877,0.813,0.53,0.888,0.955
0.15,0.91,0.963,0.971,0.927,0.963,0.903,0.976,0.964,0.899,0.692,0.914,0.664,0.942,0.928,0.95,0.885,0.871,0.975,0.985,0.953,0.853,0.951,0.968,0.958,0.953,0.948,0.611,0.853,0.954,0.962,0.084,0.876,0.803,0.981,0.96,0.969,0.959,0.973,0.978,0.966,0.961,0.902,0.922,0.82,0.897,0.954,0.95,0.944,0.913,0.932,0.94,0.978,0.904,0.927,0.908,0.978,0.757,0.983,0.762,0.823,0.923,0.958,0.916,0.92,0.932,0.886,0.935,0.974,0.734,0.975,0.955,0.946,0.907,0.885,0.975,0.972,0.939,0.962,0.919,0.901,0.743,0.779,0.966,0.863,0.863,0.959,0.946,0.964,0.958,0.799,0.737,0.968,0.884,0.942,0.85,0.958,0.962,0.974,0.957,0.871
0.20,0.978,0.984,0.991,0.989,0.987,0.961,0.978,0.944,0.981,0.917,0.91,0.704,0.791,0.971,0.958,0.915,0.881,0.92,0.688,0.92,0.983,0.967,0.931,0.986,0.912,0.909,0.97,0.89,0.985,0.897,0.972,0.972,0.846,0.974,0.98,0.987,0.957,0.904,0.957,0.961,0.989,0.949,0.967,0.948,0.886,0.988,0.943,0.976,0.989,0.989,0.978,0.971,0.863,0.99,0.988,0.975,0.938,0.941,0.994,0.969,0.963,0.944,0.974,0.988,0.954,0.982,0.984,0.977,0.964,0.991,0.974,0.967,0.966,0.967,0.962,0.99,0.936,0.985,0.943,0.945,0.975,0.99,0.951,0.91,0.935,0.971,0.969,0.979,0.92,0.975,0.885,0.96,0.977,0.939,0.854,0.963,0.936,0.974,0.947,0.964
0.25,0.984,0.995,0.987,0.983,0.993,0.991,0.992,0.988,0.918,0.916,0.987,0.988,0.926,0.994,0.983,0.945,0.984,0.968,0.964,0.982,0.948,0.979,0.852,0.939,0.976,0.985,0.976,0.897,0.873,0.987,0.991,0.989,0.985,0.931,0.98,0.979,0.979,0.948,0.973,0.982,0.991,0.987,0.978,0.994,0.989,0.973,0.985,0.963,0.984,0.941,0.994,0.988,0.891,0.994,0.979,0.984,0.986,0.98,0.98,0.966,0.991,0.993,0.89,0.984,0.932,0.984,0.977,0.991,0.95,0.978,0.954,0.965,0.986,0.966,0.982,0.988,0.927,0.985,0.992,0.994,0.97,0.982,0.987,0.963,0.966,0.974,0.984,0.958,0.97,0.989,0.971,0.975,0.993,0.959,0.984,0.988,0.99,0.985,0.875,0.969
0.30,0.987,0.993,0.993,0.991,0.993,0.98,0.972,0.982,0.986,0.776,0.989,0.977,0.996,0.99,0.99,0.986,0.98,0.936,0.95,0.992,0.982,0.986,0.968,0.993,0.984,0.979,0.986,0.983,0.992,0.975,0.985,0.955,0.991,0.974,0.981,0.992,0.991,0.985,0.982,0.972,0.985,0.987,0.984,0.991,0.99,0.993,0.991,0.983,0.985,0.983,0.988,0.971,0.976,0.994,0.972,0.984,0.984,0.984,0.987,0.995,0.965,0.982,0.992,0.993,0.983,0.985,0.982,0.982,0.992,0.987,0.993,0.993,0.972,0.977,0.99,0.988,0.881,0.983,0.97,0.957,0.968,0.989,0.974,0.994,0.872,0.982,0.993,0.991,0.994,0.96,0.996,0.972,0.979,0.994,0.989,0.946,0.98,0.96,0.988,0.939
0.35,0.973,0.992,0.992,0.982,0.989,0.993,0.984,0.993,0.99,0.936,0.992,0.918,0.995,0.995,0.994,0.994,0.986,0.994,0.979,0.993,0.978,0.966,0.99,0.993,0.995,0.994,0.986,0.993,0.994,0.994,0.981,0.984,0.994,0.985,0.994,0.994,0.994,0.99,0.979,0.961,0.995,0.969,0.982,0.995,0.987,0.991,0.993,0.978,0.989,0.992,0.981,0.994,0.993,0.995,0.988,0.99,0.971,0.983,0.994,0.988,0.991,0.991,0.993,0.99,0.995,0.988,0.985,0.985,0.995,0.994,0.981,0.956,0.994,0.992,0.986,0.991,0.982,0.975,0.982,0.993,0.991,0.992,0.981,0.955,0.986,0.989,0.98,0.988,0.981,0.99,0.995,0.981,0.981,0.98,0.981,0.993,0.983,0.976,0.994,0.988
0.40,0.984,0.995,0.988,0.989,0.986,0.988,0.993,0.993,0.982,0.93,0.989,0.978,0.994,0.994,0.985,0.994,0.985,0.986,0.984,0.992,0.989,0.985,0.985,0.995,0.993,0.994,0.994,0.988,0.969,0.993,0.995,0.993,0.99,0.97,0.983,0.994,0.994,0.992,0.992,0.991,0.985,0.991,0.991,0.987,0.993,0.996,0.986,0.985,0.994,0.987,0.977,0.99,0.985,0.992,0.992,0.983,0.987,0.993,0.993,0.99,0.995,0.99,0.989,0.994,0.993,0.983,0.994,0.994,0.995,0.98,0.985,0.99,0.992,0.983,0.994,0.994,0.982,0.978,0.989,0.988,0.986,0.987,0.979,0.972,0.993,0.941,0.995,0.994,0.993,0.981,0.988,0.98,0.992,0.991,0.99,0.992,0.981,0.985,0.993,0.987
0.45,0.978,0.994,0.993,0.995,0.994,0.972,0.982,0.983,0.984,0.992,0.991,0.992,0.993,0.989,0.982,0.995,0.988,0.986,0.982,0.992,0.993,0.992,0.995,0.98,0.984,0.972,0.99,0.995,0.995,0.994,0.986,0.994,0.985,0.996,0.992,0.992,0.992,0.989,0.992,0.992,0.994,0.979,0.977,0.993,0.99,0.962,0.993,0.984,0.995,0.985,0.992,0.985,0.995,0.978,0.986,0.987,0.993,0.986,0.978,0.993,0.994,0.991,0.994,0.992,0.994,0.99,0.996,0.98,0.988,0.982,0.984,0.994,0.991,0.986,0.99,0.989,0.978,0.992,0.991,0.988,0.987,0.995,0.993,0.993,0.987,0.951,0.94,0.987,0.994,0.945,0.993,0.981,0.989,0.995,0.99,0.993,0.986,0.994,0.994,0.993
0.50,0.984,0.996,0.982,0.993,0.994,0.992,0.994,0.977,0.986,0.967,0.996,0.989,0.992,0.959,0.995,0.985,0.986,0.986,0.995,0.992,0.983,0.991,0.992,0.988,0.985,0.985,0.996,0.981,0.994,0.992,0.994,0.992,0.996,0.981,0.986,0.992,0.995,0.991,0.993,0.986,0.995,0.996,0.99,0.991,0.986,0.992,0.993,0.994,0.994,0.988,0.985,0.987,0.986,0.994,0.988,0.981,0.991,0.984,0.992,0.993,0.985,0.995,0.994,0.994,0.985,0.991,0.993,0.987,0.99,0.995,0.984,0.985,0.994,0.992,0.985,0.985,0.988,0.987,0.987,0.987,0.984,0.994,0.992,0.985,0.993,0.995,0.993,0.983,0.988,0.986,0.993,0.984,0.99,0.994,0.994,0.993,0.996,0.993,0.994,0.995
0.55,0.989,0.991,0.981,0.99,0.996,0.992,0.996,0.988,0.992,0.994,0.991,0.992,0.994,0.995,0.994,0.992,0.994,0.995,0.993,0.993,0.993,0.984,0.995,0.989,0.993,0.995,0.995,0.996,0.987,0.994,0.996,0.996,0.858,0.994,0.988,0.99,0.995,0.993,0.996,0.995,0.993,0.996,0.992,0.984,0.982,0.99,0.991,0.995,0.995,0.995,0.984,0.988,0.994,0.985,0.991,0.967,0.994,0.995,0.99,0.988,0.988,0.989,0.994,0.995,0.996,0.994,0.991,0.995,0.985,0.978,0.993,0.993,0.99,0.993,0.993,0.995,0.993,0.99,0.979,0.985,0.994,0.991,0.991,0.989,0.991,0.994,0.992,0.985,0.984,0.991,0.992,0.994,0.944,0.988,0.975,0.991,0.995,0.996,0.995,0.993
0.60,0.993,0.989,0.969,0.991,0.995,0.992,0.988,0.991,0.988,0.994,0.996,0.993,0.993,0.996,0.99,0.994,0.993,0.995,0.985,0.992,0.99,0.995,0.955,0.99,0.994,0.994,0.991,0.996,0.989,0.991,0.99,0.995,0.995,0.994,0.986,0.996,0.994,0.991,0.977,0.995,0.994,0.994,0.993,0.993,0.994,0.996,0.993,0.994,0.99,0.994,0.985,0.987,0.991,0.995,0.988,0.99,0.982,0.985,0.994,0.984,0.994,0.978,0.995,0.995,0.99,0.984,0.994,0.994,0.993,0.985,0.993,0.994,0.995,0.994,0.993,0.982,0.992,0.995,0.987,0.993,0.996,0.994,0.948,0.988,0.993,0.985,0.996,0.995,0.993,0.995,0.993,0.995,0.975,0.996,0.995,0.996,0.987,0.995,0.992,0.993
0.65,0.988,0.995,0.989,0.986,0.994,0.985,0.994,0.993,0.993,0.995,0.984,0.991,0.99,0.986,0.972,0.989,0.989,0.996,0.996,0.994,0.984,0.995,0.99,0.995,0.992,0.994,0.994,0.995,0.995,0.995,0.995,0.993,0.989,0.994,0.995,0.993,0.99,0.986,0.991,0.994,0.99,0.995,0.995,0.995,0.994,0.996,0.995,0.983,0.991,0.995,0.984,0.995,0.996,0.992,0.992,0.995,0.993,0.994,0.995,0.995,0.994,0.986,0.989,0.995,0.994,0.986,0.992,0.995,0.993,0.994,0.995,0.995,0.988,0.995,0.989,0.992,0.987,0.995,0.987,0.995,0.988,0.993,0.995,0.995,0.995,0.992,0.994,0.995,0.985,0.995,0.995,0.993,0.989,0.996,0.996,0.994,0.988,0.989,0.996,0.982
