ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-0.87,0.718,0.488,-1.508,-4.126,-1.007,0.663,0.555,0.107,0.635,0.268,-0.234,0.068,0.509,0.101,0.539,0.552,-0.463,0.61,0.196,-12.521,-0.702,0.619,0.646,0.623,0.738,0.649,-0.338,0.515,0.474,0.642,-0.306,0.584,0.614,0.659,0.15,0.485,0.093,0.641,0.613,0.206,0.418,0.699,0.632,0.703,0.491,0.511,0.485,0.461,0.323,0.736,0.694,0.438,-0.465,0.604,0.684,0.561,-0.105,0.628,0.482,0.192,-0.41,-0.069,-0.956,0.593,0.567,-11.964,0.438,0.682,-5.193,0.296,-0.874,-3.58,0.443,-10.206,0.647,0.253,0.249,0.741,0.633,0.641,0.784,0.466,0.572,0.434,0.64,0.284,-0.003,0.67,0.474,-0.967,0.62,-5.409,0.589,0.493,0.666,0.377,0.704,0.694,0.686
0.10,0.249,0.72,0.793,0.644,0.708,0.824,0.894,0.631,0.729,0.756,0.608,0.748,0.526,0.591,0.554,0.88,0.276,0.668,0.629,0.588,-158.929,0.713,0.701,0.733,0.735,0.421,0.657,0.842,0.679,-20.509,-4.134,0.706,-2.514,0.548,0.486,-3.375,0.671,0.697,0.645,0.73,0.321,0.67,0.804,0.691,0.707,-0.13,0.096,0.733,0.622,-0.323,0.891,0.682,0.462,0.744,0.696,0.691,-3.291,0.882,0.659,-11.634,0.743,0.433,0.806,0.51,0.679,0.704,0.676,0.805,0.679,0.702,0.713,0.549,0.553,0.683,-1.426,0.603,0.756,0.567,0.726,0.557,0.722,0.753,0.637,0.629,0.693,-0.617,0.522,0.731,0.685,0.711,0.742,0.74,0.562,0.653,0.676,0.671,0.711,0.444,0.803,0.684
0.15,0.816,0.895,0.863,0.679,0.733,0.772,0.749,0.731,0.734,0.694,0.84,0.662,0.765,0.724,0.832,0.621,0.695,0.715,0.685,0.745,-11.109,0.731,0.717,0.889,0.833,0.51,0.682,0.873,0.72,0.909,0.87,0.712,-1.81,0.669,0.676,0.43,0.75,0.696,-0.124,0.59,0.814,0.867,0.751,0.739,0.697,0.884,0.661,0.734,0.708,0.805,0.904,0.791,0.746,0.709,0.691,0.722,0.442,0.741,0.636,0.841,0.903,0.895,0.732,0.916,0.721,0.683,0.118,-0.325,0.709,0.688,0.777,0.57,0.926,0.735,0.731,0.766,0.812,0.824,0.644,0.563,0.868,0.912,0.655,0.684,0.641,0.742,0.561,0.618,0.703,0.716,0.739,0.698,0.399,0.801,0.862,0.715,0.634,0.859,0.713,0.734
0.20,0.871,0.705,0.805,0.741,0.734,0.62,0.93,0.774,0.731,0.74,0.481,0.902,-5.036,0.907,0.812,0.74,0.9,0.721,0.899,0.722,0.713,0.829,0.73,0.9,0.732,0.571,0.745,0.893,0.742,0.836,0.825,0.757,0.203,0.713,0.734,0.825,0.777,0.885,0.731,0.731,0.883,0.888,0.557,0.752,0.919,0.855,0.76,0.728,0.908,0.793,0.919,0.437,0.898,0.71,0.694,0.908,0.81,0.827,0.646,0.875,0.904,0.781,0.769,0.903,0.729,0.756,0.703,0.787,0.728,0.932,0.8,0.72,0.874,0.852,0.762,0.872,0.908,0.831,0.83,0.732,0.725,0.916,0.904,0.928,0.898,0.743,0.894,0.781,0.644,0.867,0.746,0.908,0.78,0.925,0.698,0.745,0.722,0.659,0.887,0.922
0.25,0.899,0.834,0.921,0.729,0.822,0.632,0.925,0.722,0.74,0.884,0.891,0.709,0.712,0.925,0.827,0.936,0.895,0.884,0.789,0.801,0.762,0.851,0.729,0.806,0.825,0.676,0.789,0.897,0.734,0.899,0.888,0.782,0.864,0.93,0.733,0.886,0.816,0.917,0.923,0.797,0.917,0.903,0.729,0.745,0.924,0.876,0.657,0.89,0.732,0.742,0.907,0.773,0.737,0.731,0.905,0.769,0.722,0.901,0.648,0.855,0.815,0.892,0.85,0.902,0.738,0.84,0.809,0.624,0.737,0.907,0.679,0.902,0.749,0.75,0.895,0.731,0.892,0.882,0.807,0.742,0.852,0.926,0.751,0.734,0.914,0.755,0.834,0.874,0.815,0.733,0.897,0.899,0.736,0.914,0.749,0.748,0.741,0.766,0.869,0.921
0.30,0.897,0.942,0.818,0.926,0.834,0.87,0.92,0.713,0.738,0.715,0.921,0.854,0.771,0.934,0.929,0.937,0.897,0.729,0.92,0.923,0.323,0.753,0.819,0.827,0.901,0.766,0.93,0.89,0.753,0.862,0.918,0.705,0.84,0.797,0.698,0.785,0.808,0.945,0.796,0.908,0.93,0.718,0.908,0.752,0.931,0.923,0.792,0.681,0.902,0.893,0.918,0.722,0.737,0.745,0.929,0.718,0.721,0.925,0.916,0.928,0.914,0.893,0.736,0.615,0.842,0.919,0.749,0.905,0.776,0.924,0.888,0.732,0.768,0.907,0.943,0.809,0.871,0.881,0.867,0.745,0.894,0.924,0.744,0.911,0.933,0.925,0.857,0.848,0.893,0.743,0.931,0.909,0.764,0.904,0.924,0.765,0.737,0.935,0.737,0.933
0.35,0.909,0.802,0.913,0.924,0.9,0.869,0.945,0.732,0.726,0.825,0.928,0.907,0.865,0.927,0.929,0.93,0.673,0.727,0.929,0.94,0.928,0.9,0.92,0.822,0.841,0.664,0.824,0.909,0.766,0.711,0.806,0.841,0.719,0.721,0.922,0.858,0.742,0.904,0.905,0.742,0.753,0.941,0.786,0.902,0.94,0.949,0.723,0.847,0.935,0.92,0.927,0.804,0.921,0.927,0.916,0.72,0.725,0.723,0.869,0.895,0.953,0.934,0.908,0.932,0.796,0.913,0.733,0.885,0.655,0.946,0.75,0.78,0.93,0.771,0.89,0.893,0.934,0.901,0.818,0.859,0.866,0.899,0.912,0.92,0.893,0.739,0.943,0.895,0.729,0.735,0.918,0.93,0.759,0.838,0.744,0.809,0.719,0.91,0.81,0.929
0.40,0.937,0.94,0.853,0.843,0.896,0.116,0.936,0.731,0.784,0.919,0.933,0.886,0.774,0.939,0.919,0.924,0.73,0.73,0.94,0.85,0.946,0.946,0.906,0.938,0.804,0.397,0.912,0.934,0.763,0.671,0.935,0.92,0.903,0.724,0.822,0.864,0.915,0.857,0.842,0.741,0.915,0.944,0.929,0.907,0.931,0.938,0.788,0.841,0.943,0.899,0.932,0.941,0.713,0.93,0.936,0.718,0.935,0.92,0.917,0.9,0.903,0.918,0.746,0.937,0.95,0.914,0.948,0.892,0.751,0.865,0.909,0.892,0.884,0.868,0.771,0.918,0.884,0.825,0.924,0.912,0.87,0.925,0.752,0.912,0.925,0.905,0.856,0.937,0.856,0.759,0.928,0.905,0.76,0.813,0.927,0.81,0.708,0.917,0.727,0.927
0.45,0.926,0.945,0.854,0.924,0.903,0.608,0.863,0.729,0.923,0.9,0.919,0.93,0.655,0.915,0.94,0.923,0.876,0.719,0.908,0.937,0.742,0.925,0.903,0.943,0.928,0.869,0.817,0.931,0.766,0.804,0.935,0.911,0.745,0.9,0.898,0.905,0.926,0.928,0.936,0.931,0.931,0.746,0.93,0.878,0.93,0.94,0.926,0.664,0.912,0.69,0.923,0.792,0.88,0.933,0.927,0.904,0.851,0.867,0.899,0.84,0.898,0.933,0.874,0.751,0.726,0.913,0.739,0.922,0.749,0.925,0.88,0.849,0.93,0.909,0.912,0.918,0.856,0.9,0.897,0.934,0.896,0.899,0.939,0.93,0.749,0.912,0.893,0.945,0.885,0.858,0.918,0.932,0.757,0.918,0.936,0.726,0.94,0.941,0.901,0.897
0.50,0.902,0.941,0.877,0.949,0.636,0.901,0.817,0.895,0.742,0.919,0.941,0.94,0.928,0.922,0.949,0.941,0.645,0.72,0.878,0.85,0.726,0.914,0.918,0.827,0.918,0.869,0.88,0.83,0.764,0.949,0.943,0.908,0.801,0.833,0.892,0.768,0.848,0.935,0.951,0.88,0.896,0.953,0.932,0.775,0.921,0.91,0.913,0.916,0.924,0.912,0.943,0.927,0.934,0.93,0.758,0.732,0.931,0.939,0.806,0.782,0.824,0.937,0.892,0.911,0.934,0.921,0.844,0.902,0.953,0.763,0.876,0.89,0.927,0.76,0.892,0.927,0.912,0.814,0.933,0.921,0.919,0.923,0.902,0.917,0.924,0.895,0.927,0.913,0.912,0.887,0.912,0.914,0.765,0.832,0.943,0.934,0.955,0.92,0.872,0.897
