ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.763,0.256,0.676,0.846,0.469,0.621,0.793,0.46,0.584,0.49,0.728,0.79,0.828,0.76,0.656,0.768,0.835,-0.102,0.628,0.856,-0.368,0.678,0.79,0.885,0.791,0.147,0.068,0.349,0.695,0.706,0.6,0.813,0.398,0.751,0.777,0.78,0.151,0.8,0.574,0.445,0.347,0.658,0.684,0.743,0.046,0.745,0.788,0.521,0.692,0.363,0.682,0.748,0.531,0.002,0.839,0.717,0.807,0.758,0.706,0.792,0.8,0.638,0.77,0.807,-0.123,0.696,0.864,0.861,0.849,0.383,0.772,0.884,0.691,0.767,0.728,-4.175,0.635,0.77,0.442,0.841,0.871,0.741,0.61,0.754,0.728,0.671,0.89,0.918,0.636,0.681,0.648,0.7,0.881,0.61,0.879,0.759,0.367,0.739,0.539,0.819
0.10,0.767,0.864,0.85,0.843,0.918,0.888,0.873,0.707,0.874,0.68,0.86,0.851,0.624,0.858,0.892,0.865,0.892,0.816,0.827,0.872,0.813,0.846,0.813,0.842,0.822,0.887,0.749,0.728,0.865,0.855,0.919,0.888,0.141,0.792,0.867,0.847,0.917,0.772,0.28,0.876,0.871,0.83,0.832,0.894,0.733,0.769,0.784,0.697,0.714,0.82,0.841,0.842,0.91,-0.499,0.923,0.898,0.86,0.869,0.901,0.896,0.866,0.89,0.88,0.573,0.789,0.874,0.848,0.918,0.765,0.862,0.836,0.855,0.856,0.8,0.939,0.54,0.881,0.841,0.896,0.745,0.87,0.905,0.86,0.853,0.921,0.87,0.897,0.799,0.746,0.646,0.851,0.835,0.894,0.004,0.884,0.844,0.92,0.729,0.74,0.848
0.15,0.909,0.793,0.883,0.659,0.913,0.878,0.723,0.879,0.887,0.895,0.784,0.776,0.882,0.911,0.909,0.788,0.895,0.868,0.885,0.742,0.821,0.925,0.806,0.863,0.885,0.922,0.664,0.638,0.918,0.87,0.922,0.895,0.675,0.874,0.945,0.835,0.817,0.9,0.494,0.93,0.863,0.877,0.947,0.941,0.883,0.839,0.875,0.931,0.956,0.853,0.883,0.737,0.876,0.574,0.894,0.881,0.814,0.898,0.899,0.885,0.64,0.946,0.807,0.819,0.852,0.871,0.934,0.925,0.929,0.927,0.877,0.898,0.925,0.878,0.804,0.314,0.88,0.913,0.746,0.889,0.876,0.73,0.756,0.913,0.844,0.821,0.904,0.881,0.856,0.835,0.88,0.912,0.876,0.845,0.889,0.885,0.941,0.876,0.914,0.863
0.20,0.888,0.957,0.903,0.835,0.871,0.825,0.875,0.902,0.919,0.907,0.946,0.886,0.924,0.918,0.72,0.861,0.938,0.95,0.915,0.938,0.93,0.937,0.906,0.863,0.939,0.917,0.937,0.898,0.931,0.891,0.908,0.915,0.926,0.899,0.882,0.919,0.95,0.922,0.77,0.946,0.732,0.922,0.942,0.877,0.836,0.835,0.965,0.949,0.824,0.903,0.912,0.904,0.903,0.93,0.873,0.843,0.845,0.929,0.948,0.881,0.891,0.925,0.893,0.782,0.863,0.911,0.917,0.931,0.94,0.956,0.865,0.908,0.921,0.864,0.938,0.855,0.941,0.918,0.936,0.904,0.909,0.928,0.897,0.938,0.689,0.92,0.886,0.947,0.94,0.954,0.912,0.963,0.844,0.813,0.899,0.949,0.902,0.81,0.896,0.922
0.25,0.907,0.587,0.937,0.943,0.944,0.916,0.95,0.938,0.934,0.958,0.855,0.934,0.728,0.952,0.888,0.94,0.797,0.946,0.915,0.927,0.89,0.911,0.919,0.925,0.871,0.829,0.948,0.829,0.894,0.952,0.939,0.954,0.921,0.908,0.862,0.963,0.749,0.939,0.964,0.908,0.852,0.925,0.953,0.905,0.877,0.877,0.894,0.88,0.715,0.901,0.874,0.927,0.877,0.889,0.895,0.937,0.902,0.941,0.944,0.875,0.92,0.939,0.906,0.95,0.931,0.941,0.936,0.93,0.96,0.918,0.868,0.904,0.476,0.949,0.954,0.916,0.858,0.926,0.942,0.892,0.847,0.939,0.94,0.937,0.961,0.901,0.884,0.947,0.949,0.895,0.949,0.966,0.856,0.909,0.895,0.955,0.919,0.744,0.927,0.796
0.30,0.91,0.939,0.938,0.95,0.94,0.925,0.945,0.957,0.937,0.9,0.85,0.907,0.897,0.95,0.915,0.951,0.955,0.954,0.921,0.921,0.964,0.953,0.849,0.936,0.957,0.96,0.947,0.922,0.94,0.962,0.967,0.946,0.943,0.97,0.935,0.924,0.969,0.965,0.945,0.933,0.908,0.957,0.959,0.922,0.908,0.924,0.967,0.924,0.968,0.912,0.964,0.924,0.943,0.957,0.955,0.942,0.972,0.941,0.952,0.922,0.953,0.959,0.924,0.94,0.96,0.926,0.909,0.92,0.961,0.937,0.945,0.934,0.776,0.908,0.954,0.895,0.948,0.914,0.942,0.84,0.919,0.952,0.94,0.936,0.947,0.961,0.907,0.962,0.964,0.951,0.935,0.966,0.92,0.929,0.938,0.887,0.942,0.955,0.955,0.957
0.35,0.943,0.942,0.953,0.95,0.947,0.941,0.95,0.965,0.924,0.915,0.924,0.949,0.959,0.965,0.829,0.953,0.954,0.96,0.939,0.931,0.953,0.951,0.873,0.949,0.946,0.973,0.941,0.936,0.902,0.953,0.965,0.955,0.962,0.86,0.962,0.933,0.969,0.96,0.956,0.954,0.948,0.961,0.948,0.956,0.955,0.895,0.953,0.893,0.956,0.94,0.958,0.929,0.952,0.972,0.928,0.93,0.969,0.966,0.966,0.913,0.961,0.96,0.953,0.959,0.959,0.929,0.954,0.927,0.956,0.969,0.928,0.958,0.948,0.951,0.933,0.866,0.956,0.954,0.948,0.94,0.954,0.924,0.964,0.965,0.961,0.95,0.959,0.965,0.946,0.936,0.95,0.964,0.927,0.948,0.955,0.903,0.954,0.922,0.967,0.936
0.40,0.944,0.975,0.959,0.943,0.938,0.954,0.961,0.969,0.918,0.973,0.976,0.968,0.851,0.979,0.914,0.974,0.957,0.945,0.954,0.922,0.948,0.974,0.964,0.943,0.928,0.932,0.943,0.841,0.947,0.921,0.963,0.964,0.944,0.958,0.965,0.915,0.967,0.931,0.958,0.944,0.958,0.962,0.919,0.926,0.916,0.885,0.968,-1.265,0.962,0.952,0.94,0.953,0.956,0.967,0.964,0.953,0.942,0.882,0.939,0.945,0.973,0.939,0.948,0.946,0.969,0.956,0.951,0.939,0.968,0.976,0.931,0.957,0.92,0.959,0.951,0.912,0.956,0.94,0.955,0.974,0.932,0.946,0.949,0.962,0.957,0.908,0.937,0.929,0.842,0.937,0.956,0.953,0.956,0.957,0.931,0.959,0.961,0.933,0.962,0.957
0.45,0.903,0.968,0.958,0.953,0.91,0.957,0.967,0.93,0.883,0.972,0.958,0.933,0.95,0.963,0.937,0.946,0.951,0.934,0.959,0.95,0.956,0.956,0.958,0.959,0.96,0.965,0.913,0.932,0.958,0.938,0.958,0.95,0.958,0.959,0.95,0.943,0.963,0.937,0.95,0.947,0.928,0.967,0.955,0.973,0.969,0.851,0.97,0.963,0.483,0.951,0.944,0.938,0.966,0.954,0.88,0.955,0.972,0.948,0.967,0.952,0.96,0.964,0.948,0.958,0.963,0.969,0.952,0.955,0.952,0.97,0.954,0.964,0.894,0.966,0.972,0.922,0.94,0.933,0.941,0.955,0.978,0.953,0.939,0.962,0.956,0.952,0.959,0.953,0.918,0.955,0.95,0.944,0.941,0.968,0.947,0.958,0.92,0.917,0.973,0.959
0.50,0.96,0.957,0.952,0.96,0.944,0.906,0.925,0.965,0.943,0.961,0.939,0.963,0.94,0.981,0.946,0.949,0.959,0.964,0.964,0.936,0.961,0.945,0.95,0.963,0.977,0.95,0.934,0.964,0.956,0.955,0.978,0.952,0.973,0.934,0.943,0.919,0.966,0.957,0.971,0.959,0.976,0.95,0.95,0.963,0.963,0.93,0.97,0.973,0.955,0.965,0.944,0.967,0.958,0.97,0.872,0.937,0.96,0.964,0.979,0.953,0.948,0.97,0.975,0.958,0.968,0.96,0.974,0.943,0.967,0.971,0.957,0.97,0.938,0.958,0.977,0.917,0.958,0.917,0.933,0.965,0.961,0.943,0.972,0.954,0.968,0.913,0.933,0.956,0.949,0.955,0.951,0.956,0.941,0.959,0.946,0.963,0.963,0.928,0.97,0.962
