ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-7.586,-3.089,-0.232,-5.98,-2.162,-0.363,-1.521,0.155,-0.791,-3.626,-5.444,-0.336,0.288,-0.172,-0.045,-0.158,-0.968,-0.437,-0.145,-0.007,-1.0,0.241,0.232,-0.078,-2.282,-1.112,-0.877,0.115,-0.158,0.237,-1.37,0.233,-0.516,-65.744,-27.914,0.283,-0.039,0.248,-0.504,-0.425,0.206,-0.307,-0.175,-0.032,-0.13,0.277,0.265,-2.888,0.277,-0.833,0.037,0.121,-0.203,0.035,-2.256,-2.378,-34.778,0.136,0.139,-2.857,0.06,-0.593,-0.256,-0.554,-0.675,-0.34,-1.321,-0.13,-2.245,-1.164,-3.683,0.248,-3.552,-0.477,0.024,0.109,0.124,0.451,-2.791,-1.506,-0.121,0.177,-0.7,-0.109,-1.535,-5.441,-0.13,0.264,0.12,-1.957,-0.015,-2.033,0.206,-1.207,-2.705,0.271,-537.835,-0.639,0.193,0.359
0.10,0.389,-2.145,-0.811,0.145,0.313,-7.766,-0.138,0.336,0.129,-1.052,-0.012,0.117,0.243,0.09,0.47,0.149,0.468,0.156,-3.527,0.359,0.364,0.584,0.193,-0.284,0.235,0.66,-0.39,0.274,0.152,0.138,-0.174,0.305,0.006,0.054,0.443,-0.1,0.483,0.475,-0.085,0.077,0.369,0.407,0.48,-0.075,0.37,-0.319,0.24,0.548,0.368,0.34,-0.134,0.322,0.575,0.138,0.594,-0.218,0.21,0.658,-0.677,0.53,0.652,-0.275,0.322,0.575,-0.695,-0.782,0.03,0.725,-1.705,0.567,0.636,0.545,-2.937,0.563,0.56,0.294,-0.399,0.401,0.084,-0.101,-1.287,-1.284,0.142,-0.824,0.516,0.349,0.26,0.34,-0.793,0.122,0.158,0.471,0.315,-0.061,0.477,-7.087,-0.243,-0.253,0.454,-1.686
0.15,0.113,0.416,0.484,0.642,0.61,0.366,0.52,0.295,0.532,0.684,0.471,0.216,0.307,0.546,0.758,0.725,0.675,0.562,0.198,0.374,0.526,0.693,0.372,0.669,0.699,0.389,0.207,0.508,0.708,0.418,0.433,0.372,0.381,0.201,0.351,-0.032,0.648,0.495,0.679,0.47,0.708,-1.452,0.586,0.673,-0.486,0.578,0.441,0.711,0.75,0.272,0.25,0.659,0.625,0.34,0.682,0.515,0.174,0.389,0.484,0.27,0.548,0.636,0.626,0.145,0.368,0.678,0.302,0.686,-0.167,-1.654,0.631,0.708,0.488,0.744,0.461,0.334,0.339,0.398,0.214,0.572,0.447,-0.069,-0.272,-38.934,0.464,-0.47,0.576,0.194,0.446,-3.055,0.719,0.561,0.697,-0.272,0.518,0.593,0.67,0.606,0.744,0.457
0.20,-0.084,0.162,0.686,0.323,0.677,0.797,0.694,0.322,0.724,0.354,0.563,0.464,0.557,0.387,0.181,0.64,0.318,0.685,0.293,0.173,0.402,0.167,0.478,0.765,0.324,0.357,0.642,0.402,0.713,0.673,0.236,0.353,0.649,0.734,0.661,0.165,0.574,0.725,-0.108,0.705,0.455,0.754,0.563,0.379,0.141,0.317,0.738,0.046,0.715,0.485,0.682,0.446,0.728,0.342,0.754,0.249,0.702,0.395,0.753,0.825,0.578,0.24,0.543,0.549,0.7,0.432,0.369,0.553,-0.208,0.571,0.446,0.465,0.667,0.65,0.613,0.686,0.828,0.409,-0.354,0.702,0.611,0.628,0.631,-0.855,0.694,0.562,0.477,0.586,0.838,-1.214,0.564,0.694,0.416,0.42,0.261,0.263,0.3,0.546,0.781,0.21
0.25,0.68,-2.109,0.748,0.375,0.326,0.831,0.772,0.709,0.648,0.279,0.729,0.304,0.71,0.397,0.791,0.605,0.323,-1.128,0.652,0.806,0.753,0.623,0.284,0.786,0.753,0.718,0.411,0.429,0.791,0.23,0.555,0.345,0.679,0.256,0.739,0.792,0.748,0.026,0.748,0.661,0.689,0.742,0.676,0.528,0.72,0.715,0.74,0.773,0.534,0.612,0.512,0.662,0.797,0.733,0.742,0.759,0.582,0.382,0.422,0.835,0.665,0.191,0.769,0.511,0.768,0.432,0.375,0.715,0.789,0.723,0.525,0.501,0.316,0.701,0.343,0.669,0.494,0.736,0.734,0.765,0.645,-0.364,0.582,0.771,0.733,0.462,0.408,0.692,0.382,0.632,0.301,0.821,0.583,0.175,0.763,0.813,0.754,0.526,0.406,0.654
0.30,0.698,0.714,0.709,0.686,0.343,0.412,0.73,0.352,0.269,0.824,0.764,0.348,0.368,0.41,0.792,0.677,0.345,0.757,0.637,0.825,0.798,0.727,0.785,0.805,0.756,0.759,0.106,0.417,0.764,0.177,0.678,0.789,0.385,0.834,0.766,0.383,0.555,0.113,-0.007,0.689,0.812,0.412,0.586,0.105,0.766,0.697,0.69,0.624,0.818,0.732,0.657,0.662,0.39,0.694,0.519,0.339,0.586,0.339,0.775,0.847,0.743,0.151,0.307,0.75,0.521,0.391,0.741,0.624,0.679,0.78,0.702,0.704,0.844,0.736,0.675,0.696,0.522,0.819,0.095,0.779,0.185,0.453,0.742,0.042,0.858,0.422,0.134,0.516,0.83,0.725,0.243,0.793,0.81,0.362,0.274,0.446,0.67,-0.136,0.794,0.735
0.35,0.623,0.425,0.782,0.445,0.782,0.804,0.791,0.418,0.764,-0.46,0.579,0.834,0.788,0.796,0.799,0.799,0.829,0.367,0.814,0.413,0.811,0.702,0.788,0.844,0.685,0.686,0.121,0.421,0.825,0.717,0.865,0.834,0.837,0.665,0.688,0.778,0.805,-0.358,0.754,0.71,0.748,0.417,0.727,0.646,0.841,0.657,0.719,0.846,0.342,0.383,0.718,0.782,0.727,0.822,0.718,0.75,0.21,0.798,0.655,0.817,0.666,0.061,0.818,0.575,0.662,0.76,0.831,0.731,0.787,0.848,0.154,0.71,0.408,0.75,0.756,0.725,0.815,0.798,0.608,0.701,0.648,0.602,0.727,0.771,0.79,0.487,0.796,0.691,0.768,0.843,0.805,0.335,0.773,-0.788,0.286,0.387,0.847,0.299,0.396,0.307
0.40,0.789,0.733,0.819,0.813,0.75,0.849,0.818,0.482,0.648,0.891,0.33,0.795,0.822,0.794,0.679,0.818,0.366,0.82,0.745,0.384,0.801,0.739,0.517,0.852,0.217,0.772,0.059,0.704,0.815,0.721,0.813,0.861,0.696,0.749,0.686,0.814,0.748,-0.483,-0.228,0.335,0.556,0.405,0.811,0.636,0.782,0.761,0.779,0.75,0.689,0.446,0.771,0.78,0.863,0.8,0.768,0.801,0.747,0.753,0.753,0.851,0.703,0.691,0.831,0.596,0.852,0.367,0.758,0.651,0.418,0.864,0.672,0.538,0.837,0.828,0.719,0.662,0.811,0.793,0.817,0.734,0.703,0.755,0.751,0.678,0.862,-0.281,0.809,0.484,0.845,0.71,0.808,0.709,0.786,0.719,0.809,0.724,0.739,0.516,0.83,0.714
0.45,0.71,0.693,0.834,0.471,0.776,0.831,0.815,0.801,0.561,0.279,0.34,0.831,0.424,0.849,0.771,0.415,0.83,0.81,0.81,0.83,0.83,0.258,0.646,0.843,0.781,0.817,0.758,0.811,0.818,0.194,0.395,0.866,0.779,0.793,0.615,0.797,0.653,0.763,-0.35,0.335,0.711,0.7,0.832,0.699,0.798,0.35,0.725,0.819,0.302,0.806,0.718,0.808,0.379,0.701,0.723,0.667,0.65,0.842,0.786,0.392,0.716,0.821,0.849,0.671,0.739,0.729,0.8,0.667,0.767,0.869,0.653,0.775,0.846,0.883,0.801,0.846,0.785,0.775,0.855,0.693,0.729,0.801,0.723,0.766,0.852,0.586,0.721,0.608,0.416,0.825,0.769,0.816,0.803,-0.644,0.737,0.782,0.649,0.311,0.839,0.802
0.50,0.567,0.724,0.664,0.862,0.8,0.431,0.822,0.433,0.638,0.778,0.778,0.357,0.821,0.739,0.79,0.409,0.354,0.816,0.841,0.837,0.759,0.81,0.538,0.877,0.76,0.799,0.627,0.849,0.843,0.724,0.807,0.779,0.778,0.857,0.833,0.782,0.752,0.756,0.761,0.632,0.825,0.449,0.829,0.57,0.847,0.327,0.768,0.799,0.818,0.891,0.715,0.834,0.564,0.716,0.764,0.766,0.591,0.53,0.757,0.827,0.708,0.794,0.8,0.722,0.87,0.419,0.822,0.728,0.844,0.806,0.699,0.81,0.617,0.842,0.81,0.828,0.67,0.841,0.784,0.645,0.767,0.434,0.707,0.874,0.751,0.746,0.785,0.801,0.847,0.869,0.737,0.848,0.794,0.63,0.843,0.755,0.8,0.834,0.787,0.779
