ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-0.59,0.768,0.424,0.613,0.43,0.85,0.813,0.865,0.712,0.744,0.62,0.499,0.558,0.444,0.791,0.393,0.431,0.825,0.268,0.553,0.53,0.74,0.598,0.625,0.655,0.582,0.722,0.728,0.777,0.681,0.564,0.768,0.703,0.396,0.539,0.374,0.832,0.762,0.622,0.754,0.81,0.636,0.527,0.47,0.474,0.51,-0.346,0.648,0.812,0.676,0.445,0.852,-0.325,0.848,0.748,0.788,0.724,0.33,0.68,0.637,0.779,0.638,0.578,0.798,0.298,0.558,-0.263,0.64,0.567,0.664,0.894,0.428,0.814,0.538,0.657,0.872,0.765,0.631,0.782,0.671,0.481,0.841,0.769,0.615,0.332,0.583,0.81,0.891,0.21,0.661,0.629,0.578,0.864,0.769,0.633,0.727,0.704,0.651,0.714,0.786
0.10,0.756,0.871,0.918,0.909,0.751,0.703,0.9,0.727,0.71,0.88,0.912,0.895,0.91,0.848,0.925,0.643,0.935,0.94,0.91,0.928,0.922,0.891,0.708,0.712,0.687,0.718,0.921,0.936,0.892,0.909,0.726,0.915,0.686,0.877,0.892,0.918,0.722,0.884,0.905,0.874,0.92,0.895,0.739,0.784,0.928,0.869,0.934,0.927,0.857,0.754,0.866,0.929,0.838,0.895,0.927,0.906,0.877,0.919,0.926,0.913,0.936,0.914,0.905,0.907,0.78,0.848,0.753,0.901,0.9,0.725,0.908,0.716,0.883,0.918,0.79,0.719,0.695,0.911,0.905,0.914,0.761,0.881,0.925,0.895,0.915,0.855,0.912,0.759,0.903,0.908,0.912,0.908,0.777,0.854,0.842,0.933,0.633,0.945,0.898,0.887
0.15,0.94,0.943,0.893,0.93,0.909,0.92,0.861,0.934,0.937,0.895,0.774,0.925,0.889,0.941,0.945,0.753,0.939,0.742,0.94,0.938,0.88,0.906,0.93,0.926,0.941,0.941,0.941,0.906,0.896,0.934,0.915,0.734,0.907,0.942,0.933,0.93,0.755,0.907,0.915,0.926,0.94,0.927,0.752,0.788,0.942,0.936,0.938,0.944,0.915,0.921,0.916,0.937,0.94,0.937,0.931,0.939,0.914,0.95,0.921,0.944,0.935,0.905,0.901,0.946,0.914,0.9,0.796,0.936,0.913,0.933,0.951,0.937,0.934,0.859,0.942,0.927,0.907,0.932,0.942,0.943,0.918,0.94,0.909,0.955,0.907,0.713,0.909,0.918,0.96,0.95,0.929,0.762,0.949,0.933,0.757,0.902,0.925,0.935,0.929,0.921
0.20,0.916,0.941,0.938,0.941,0.955,0.944,0.934,0.92,0.949,0.912,0.953,0.935,0.947,0.893,0.92,0.882,0.949,0.78,0.959,0.947,0.921,0.931,0.922,0.945,0.817,0.9,0.905,0.949,0.938,0.935,0.963,0.86,0.782,0.949,0.945,0.937,0.915,0.948,0.941,0.933,0.914,0.955,0.941,0.928,0.879,0.912,0.949,0.956,0.916,0.929,0.929,0.932,0.939,0.937,0.943,0.953,0.929,0.831,0.928,0.948,0.908,0.944,0.931,0.963,0.922,0.836,0.931,0.925,0.949,0.922,0.934,0.938,0.879,0.958,0.912,0.928,0.919,0.942,0.943,0.941,0.926,0.91,0.929,0.962,0.954,0.959,0.96,0.934,0.933,0.948,0.933,0.773,0.932,0.946,0.951,0.905,0.951,0.914,0.944,0.94
0.25,0.957,0.955,0.944,0.951,0.932,0.928,0.937,0.953,0.936,0.949,0.904,0.953,0.953,0.939,0.948,0.825,0.959,0.928,0.942,0.93,0.919,0.947,0.927,0.783,0.784,0.93,0.955,0.928,0.904,0.944,0.96,0.928,0.948,0.948,0.941,0.944,0.94,0.956,0.963,0.933,0.95,0.926,0.931,0.762,0.951,0.749,0.939,0.95,0.878,0.929,0.958,0.94,0.949,0.965,0.943,0.933,0.954,0.958,0.941,0.935,0.917,0.77,0.931,0.927,0.887,0.948,0.927,0.923,0.938,0.902,0.947,0.947,0.918,0.963,0.784,0.932,0.925,0.959,0.952,0.941,0.928,0.932,0.952,0.925,0.947,0.945,0.953,0.928,0.953,0.931,0.945,0.926,0.954,0.955,0.935,0.779,0.944,0.928,0.931,0.947
0.30,0.862,0.93,0.955,0.958,0.918,0.964,0.946,0.935,0.94,0.929,0.955,0.953,0.949,0.928,0.955,0.95,0.959,0.927,0.951,0.961,0.937,0.737,0.935,0.955,0.936,0.959,0.952,0.933,0.931,0.937,0.94,0.953,0.942,0.951,0.928,0.96,0.955,0.927,0.941,0.951,0.935,0.952,0.935,0.931,0.959,0.895,0.934,0.954,0.929,0.921,0.959,0.95,0.915,0.952,0.947,0.951,0.951,0.943,0.962,0.937,0.961,0.927,0.929,0.882,0.956,0.908,0.941,0.927,0.946,0.956,0.944,0.955,0.935,0.953,0.94,0.929,0.874,0.934,0.954,0.965,0.961,0.958,0.948,0.932,0.943,0.959,0.961,0.95,0.943,0.948,0.948,0.937,0.967,0.953,0.949,0.95,0.952,0.767,0.927,0.94
0.35,0.953,0.943,0.949,0.962,0.919,0.924,0.925,0.931,0.953,0.951,0.948,0.959,0.931,0.951,0.939,0.912,0.927,0.933,0.946,0.958,0.919,0.957,0.962,0.934,0.933,0.904,0.879,0.933,0.932,0.939,0.948,0.946,0.941,0.949,0.961,0.948,0.958,0.942,0.94,0.955,0.927,0.966,0.924,0.943,0.954,0.926,0.953,0.955,0.946,0.954,0.947,0.963,0.942,0.913,0.96,0.947,0.955,0.725,0.93,0.961,0.948,0.92,0.927,0.942,0.968,0.942,0.914,0.911,0.94,0.961,0.951,0.959,0.94,0.95,0.946,0.962,0.952,0.932,0.96,0.95,0.944,0.947,0.943,0.877,0.945,0.942,0.958,0.953,0.955,0.958,0.932,0.737,0.947,0.953,0.959,0.968,0.94,0.939,0.958,0.956
0.40,0.956,0.945,0.93,0.932,0.915,0.933,0.953,0.902,0.957,0.922,0.957,0.922,0.933,0.918,0.859,0.918,0.924,0.924,0.948,0.947,0.916,0.916,0.941,0.921,0.952,0.935,0.887,0.934,0.939,0.946,0.942,0.961,0.955,0.851,0.954,0.929,0.961,0.859,0.942,0.927,0.915,0.895,0.929,0.931,0.913,0.961,0.937,0.952,0.95,0.931,0.806,0.927,0.956,0.957,0.956,0.921,0.933,0.928,0.926,0.966,0.955,0.945,0.966,0.923,0.961,0.945,0.962,0.849,0.919,0.961,0.94,0.962,0.92,0.933,0.921,0.909,0.929,0.955,0.946,0.926,0.944,0.948,0.944,0.951,0.923,0.935,0.958,0.954,0.958,0.941,0.941,0.73,0.947,0.928,0.958,0.953,0.955,0.928,0.943,0.926
0.45,0.961,0.957,0.96,0.926,0.917,0.958,0.932,0.932,0.954,0.923,0.904,0.949,0.955,0.918,0.92,0.946,0.941,0.947,0.947,0.937,0.962,0.929,0.961,0.937,0.896,0.945,0.943,0.945,0.936,0.922,0.939,0.942,0.953,0.956,0.945,0.941,0.959,0.937,0.903,0.94,0.927,0.91,0.925,0.949,0.921,0.92,0.951,0.926,0.934,0.925,0.944,0.955,0.88,0.927,0.952,0.905,0.922,0.926,0.959,0.943,0.947,0.951,0.944,0.938,0.945,0.941,0.958,0.939,0.949,0.941,0.936,0.943,0.954,0.81,0.928,0.947,0.926,0.934,0.936,0.949,0.959,0.95,0.946,0.906,0.934,0.941,0.96,0.941,0.945,0.947,0.922,0.945,0.942,0.955,0.948,0.959,0.961,0.92,0.955,0.925
0.50,0.946,0.959,0.937,0.899,0.915,0.95,0.903,0.947,0.943,0.799,0.936,0.958,0.955,0.922,0.919,0.952,0.953,0.896,0.918,0.938,0.88,0.959,0.917,0.925,0.923,0.896,0.931,0.956,0.939,0.953,0.944,0.933,0.906,0.91,0.922,0.929,0.96,0.943,0.925,0.93,0.932,0.965,0.95,0.948,0.961,0.927,0.959,0.927,0.91,0.924,0.949,0.944,0.85,0.912,0.943,0.951,0.954,0.849,0.946,0.953,0.944,0.935,0.934,0.922,0.936,0.962,0.905,0.896,0.932,0.959,0.949,0.946,0.922,0.909,0.927,0.923,0.856,0.928,0.943,0.894,0.956,0.941,0.91,0.938,0.938,0.948,0.959,0.929,0.858,0.934,0.905,0.923,0.903,0.949,0.937,0.93,0.95,0.932,0.952,0.955
