ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.823,0.677,0.09,0.736,-0.206,0.713,0.781,0.81,0.389,0.131,0.806,0.502,0.637,-6.371,0.741,-0.234,0.683,0.645,0.595,0.108,0.703,-2.579,0.011,0.521,0.085,0.822,0.77,0.501,0.752,0.682,0.103,0.737,0.845,0.664,0.499,-1.267,-2.749,0.757,0.611,0.723,0.581,0.69,0.813,0.723,0.84,0.554,0.501,0.675,-0.625,0.459,0.159,0.749,0.586,0.057,0.737,-2.262,0.701,0.749,0.716,0.774,0.665,0.718,0.378,0.805,0.628,-0.005,0.683,0.791,0.593,0.498,0.278,0.768,0.751,0.826,0.383,0.377,0.819,0.692,0.403,0.558,0.346,0.616,0.501,0.203,-0.227,0.227,-1.021,0.821,-0.56,-6.225,0.301,0.793,0.77,0.76,0.645,0.735,0.787,0.744,0.74,0.39
0.10,0.8,0.635,0.805,0.489,0.683,0.679,0.574,0.861,0.855,0.541,0.729,0.401,0.892,0.742,0.847,0.85,0.575,0.538,0.77,0.716,0.826,0.745,0.269,0.693,0.682,0.678,0.795,0.824,0.667,0.706,0.82,0.436,0.798,0.877,0.758,0.416,0.818,0.82,-9.444,0.687,0.777,0.853,0.745,0.817,0.72,0.809,0.597,0.792,0.458,0.587,0.407,0.856,0.821,0.57,0.658,0.862,0.49,0.589,0.119,0.748,0.735,0.834,0.736,0.737,0.184,0.759,0.676,0.777,0.801,0.747,0.82,0.839,0.846,0.745,0.799,-0.283,0.834,0.018,0.825,0.726,-0.374,0.709,0.773,0.77,0.653,0.774,0.634,0.802,0.242,0.455,0.843,0.625,0.874,0.599,0.617,0.841,0.755,0.653,0.486,0.692
0.15,0.812,0.822,0.897,0.748,0.844,0.742,0.903,0.902,0.734,0.828,0.883,0.855,0.888,0.871,0.853,0.86,0.86,0.828,0.633,0.614,0.466,0.865,0.851,0.605,0.744,0.898,0.428,0.764,0.807,0.633,0.788,0.9,0.854,0.843,0.908,0.402,0.679,0.903,0.072,0.902,0.859,0.847,0.554,0.856,0.842,0.775,0.915,0.752,0.809,0.845,0.842,0.731,0.867,0.87,0.156,0.868,0.903,0.852,0.658,0.86,0.772,0.81,0.819,0.847,0.434,0.841,0.881,0.922,0.8,0.891,0.841,0.822,0.672,0.853,0.762,0.784,0.881,0.843,0.774,0.769,0.862,0.857,0.913,0.887,0.257,0.711,0.849,0.836,0.904,-4.083,0.793,0.699,0.864,0.828,0.814,0.867,0.809,0.859,0.843,0.809
0.20,0.883,0.793,0.861,0.843,0.843,0.663,0.91,0.913,0.892,0.901,0.908,0.897,0.904,0.877,0.917,0.871,0.872,0.855,0.887,0.825,0.844,0.878,0.837,0.886,0.755,0.875,0.863,0.876,0.861,0.831,0.921,0.912,0.885,0.845,0.876,0.79,0.882,0.894,0.899,0.896,0.873,0.883,0.838,0.868,0.908,0.871,0.881,0.892,0.871,0.789,0.868,0.874,0.857,0.886,0.426,0.811,0.912,0.855,0.923,0.898,0.845,0.718,0.861,0.878,0.815,0.889,0.74,0.908,0.828,0.81,0.893,0.848,0.862,0.899,0.861,0.898,0.905,0.811,0.876,0.885,0.862,0.888,0.884,0.893,0.918,0.879,0.88,0.771,0.882,0.482,0.896,0.815,0.911,0.829,0.794,0.858,0.892,0.901,0.743,0.904
0.25,0.867,0.921,0.888,0.809,0.891,0.86,0.868,0.793,0.892,0.921,0.932,0.905,0.896,0.841,0.925,0.903,0.885,0.871,0.875,0.85,0.844,0.902,0.795,0.925,0.895,0.848,0.882,0.913,0.843,0.923,0.913,0.889,0.867,0.88,0.923,0.9,0.883,0.892,0.732,0.896,0.857,0.912,0.917,0.855,0.887,0.881,0.826,0.886,0.927,0.881,0.862,0.88,0.872,0.876,0.854,0.874,0.926,0.888,0.872,0.913,0.938,0.876,0.899,0.818,0.92,0.878,0.926,0.893,0.897,0.833,0.928,0.813,0.871,0.882,0.881,0.917,0.881,0.915,0.864,0.828,0.889,0.915,0.827,0.876,0.893,0.883,0.899,0.847,0.877,0.931,0.824,0.892,0.925,0.9,0.927,0.874,0.869,0.824,0.884,0.907
0.30,0.874,0.902,0.891,0.915,0.918,0.879,0.901,0.933,0.897,0.935,0.882,0.931,0.887,0.928,0.898,0.919,0.895,0.926,0.915,0.885,0.856,0.918,0.919,0.944,0.897,0.924,0.901,0.935,0.89,0.931,0.874,0.879,0.879,0.878,0.917,0.92,0.909,0.924,0.919,0.918,0.938,0.925,0.914,0.883,0.923,0.905,0.918,0.887,0.883,0.916,0.923,0.929,0.915,0.908,0.871,0.898,0.921,0.889,0.896,0.925,0.928,0.928,0.921,0.886,0.925,0.89,0.884,0.889,0.912,0.889,0.884,0.89,0.898,0.885,0.943,0.939,0.878,0.88,0.876,0.888,0.875,0.878,0.893,0.9,0.858,0.917,0.929,0.923,0.895,0.829,0.883,0.895,0.846,0.922,0.898,0.861,0.902,0.865,0.929,0.918
0.35,0.926,0.875,0.919,0.895,0.927,0.887,0.934,0.914,0.874,0.911,0.936,0.898,0.902,0.932,0.909,0.938,0.896,0.924,0.893,0.901,0.889,0.938,0.89,0.934,0.904,0.926,0.915,0.933,0.928,0.927,0.895,0.898,0.886,0.891,0.923,0.89,0.925,0.92,0.924,0.94,0.913,0.91,0.856,0.891,0.922,0.922,0.894,0.909,0.929,0.926,0.887,0.923,0.912,0.901,0.9,0.921,0.927,0.819,0.937,0.917,0.929,0.902,0.903,0.883,0.924,0.913,0.888,0.931,0.897,0.897,0.926,0.879,0.913,0.905,0.937,0.9,0.925,0.897,0.908,0.865,0.875,0.89,0.931,0.919,0.885,0.935,0.88,0.919,0.893,0.916,0.936,0.888,0.912,0.92,0.912,0.917,0.887,0.906,0.934,0.925
0.40,0.902,0.922,0.939,0.908,0.943,0.924,0.887,0.933,0.905,0.903,0.901,0.931,0.93,0.889,0.918,0.905,0.941,0.933,0.891,0.922,0.856,0.915,0.919,0.93,0.879,0.925,0.925,0.9,0.889,0.935,0.874,0.949,0.887,0.902,0.922,0.933,0.93,0.92,0.912,0.925,0.933,0.906,0.908,0.889,0.901,0.93,0.923,0.897,0.903,0.926,0.917,0.924,0.924,0.909,0.883,0.92,0.943,0.911,0.899,0.926,0.931,0.907,0.941,0.882,0.93,0.92,0.928,0.938,0.919,0.941,0.895,0.92,0.899,0.936,0.89,0.943,0.881,0.911,0.854,0.914,0.872,0.931,0.924,0.92,0.921,0.895,0.888,0.923,0.892,0.898,0.94,0.92,0.916,0.875,0.922,0.929,0.933,0.918,0.928,0.918
0.45,0.923,0.921,0.917,0.919,0.926,0.91,0.926,0.926,0.935,0.92,0.885,0.918,0.932,0.894,0.908,0.946,0.886,0.921,0.916,0.942,0.928,0.899,0.893,0.931,0.926,0.94,0.94,0.933,0.873,0.931,0.923,0.907,0.893,0.902,0.921,0.927,0.934,0.881,0.921,0.885,0.899,0.915,0.907,0.909,0.928,0.923,0.925,0.928,0.94,0.907,0.919,0.934,0.922,0.921,0.936,0.926,0.902,0.91,0.922,0.912,0.913,0.935,0.92,0.924,0.939,0.897,0.881,0.942,0.901,0.938,0.943,0.918,0.932,0.93,0.937,0.897,0.91,0.935,0.9,0.902,0.879,0.923,0.937,0.905,0.895,0.896,0.926,0.896,0.929,0.929,0.908,0.887,0.899,0.898,0.917,0.933,0.89,0.899,0.923,0.921
0.50,0.894,0.931,0.95,0.932,0.91,0.916,0.92,0.9,0.935,0.902,0.93,0.898,0.935,0.888,0.912,0.938,0.941,0.927,0.947,0.943,0.897,0.901,0.933,0.935,0.938,0.942,0.94,0.921,0.917,0.924,0.934,0.913,0.936,0.902,0.909,0.921,0.941,0.913,0.929,0.937,0.844,0.918,0.918,0.897,0.938,0.929,0.93,0.945,0.943,0.897,0.941,0.943,0.94,0.91,0.925,0.896,0.924,0.923,0.835,0.928,0.916,0.898,0.933,0.913,0.943,0.905,0.879,0.925,0.937,0.939,0.944,0.924,0.917,0.941,0.953,0.936,0.906,0.948,0.902,0.91,0.869,0.927,0.937,0.926,0.895,0.926,0.889,0.893,0.905,0.903,0.942,0.921,0.931,0.932,0.958,0.897,0.887,0.945,0.931,0.943
