ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.775,0.668,0.973,0.954,0.976,0.812,0.61,0.968,0.946,0.991,0.987,0.83,0.41,0.757,0.958,0.835,0.864,0.685,0.975,-0.148,0.972,0.973,0.975,0.818,-0.22,-0.375,0.868,0.848,0.368,0.976,0.941,0.578,0.839,0.77,0.977,0.952,0.793,0.973,0.581,0.875,0.871,0.26,0.436,0.692,0.951,0.981,0.621,0.743,0.984,0.945,0.972,0.98,0.908,0.808,-0.056,0.412,0.746,0.991,0.907,0.99,-33.685,0.988,0.954,0.913,0.968,0.235,0.73,-1.471,0.93,-5537.419,0.89,0.955,0.1,0.97,0.971,0.94,-2.192,0.187,0.967,-0.596,0.866,0.976,0.974,0.903,0.068,0.636,0.786,0.981,0.822,0.953,0.91,0.975,0.759,0.992,0.755,0.898,0.712,0.989,0.828,0.956
0.10,0.987,0.998,0.993,0.991,0.999,0.995,0.999,0.984,0.993,0.997,0.999,0.998,0.982,0.979,0.988,0.986,1.0,0.985,0.996,0.96,0.999,0.998,0.578,0.963,0.999,0.996,0.621,0.639,0.992,0.997,0.995,0.628,0.992,0.989,0.596,0.996,0.985,0.999,0.996,0.999,0.998,0.967,0.999,0.995,0.992,0.991,0.756,0.995,0.958,0.997,0.994,0.993,0.997,0.839,0.993,0.996,0.982,1.0,0.999,0.99,0.996,0.99,0.982,0.996,0.996,0.927,0.989,0.996,0.999,0.784,0.989,0.981,0.911,1.0,0.994,0.844,0.948,0.577,0.999,0.998,1.0,0.538,0.998,0.992,0.981,0.604,0.998,0.999,0.976,0.997,1.0,0.998,0.999,0.975,0.494,0.992,0.997,0.995,0.998,0.967
0.15,0.612,0.624,0.618,0.998,0.998,0.998,1.0,0.999,0.995,0.988,0.999,0.986,1.0,1.0,0.999,1.0,0.998,0.995,0.997,0.532,0.99,0.994,0.608,0.995,0.593,0.997,0.995,0.989,0.594,1.0,0.999,0.998,0.999,0.996,0.615,1.0,0.996,0.999,0.987,0.983,0.999,0.618,0.982,1.0,1.0,1.0,0.642,0.994,0.997,0.999,1.0,0.999,0.996,0.992,0.627,1.0,0.994,1.0,0.995,0.992,0.988,1.0,1.0,0.997,0.995,0.997,1.0,0.981,0.995,0.587,0.999,0.993,1.0,0.998,1.0,0.999,0.999,1.0,1.0,0.994,0.996,0.995,0.646,0.999,0.996,0.996,0.999,0.998,0.999,1.0,0.996,0.991,1.0,0.997,0.994,0.984,0.642,1.0,0.615,0.986
0.20,0.996,0.999,0.999,0.619,1.0,0.997,0.994,0.999,1.0,0.993,0.976,1.0,1.0,0.999,0.605,1.0,0.987,1.0,0.999,0.643,0.998,0.983,0.615,0.999,1.0,0.643,0.606,0.613,0.629,1.0,1.0,0.986,0.994,0.999,1.0,1.0,0.998,0.998,0.998,0.995,0.997,1.0,0.647,0.994,0.999,0.998,0.995,0.997,0.995,0.995,1.0,0.997,0.988,1.0,1.0,0.997,1.0,1.0,0.998,1.0,0.996,0.591,0.975,1.0,0.999,1.0,1.0,0.629,0.994,0.975,0.999,1.0,0.991,0.999,0.997,0.643,1.0,0.998,1.0,0.997,1.0,0.998,0.995,1.0,1.0,0.622,0.996,0.995,0.989,1.0,1.0,1.0,1.0,0.999,0.999,0.604,0.999,0.997,0.999,0.971
0.25,0.633,0.99,1.0,1.0,1.0,0.967,0.995,0.999,0.998,0.999,0.995,0.998,0.999,0.999,0.986,1.0,0.999,0.998,1.0,1.0,0.995,0.994,0.632,1.0,1.0,0.635,0.984,1.0,0.982,1.0,0.973,0.995,0.994,1.0,0.999,0.998,0.999,0.997,0.999,0.998,1.0,0.996,0.998,0.995,0.994,1.0,0.628,0.995,1.0,1.0,1.0,1.0,0.999,0.904,0.995,1.0,1.0,0.999,1.0,0.646,0.999,0.614,0.985,1.0,1.0,1.0,1.0,0.623,1.0,1.0,0.999,1.0,0.998,0.999,0.996,0.648,0.999,0.997,1.0,0.999,0.999,1.0,0.996,1.0,1.0,1.0,0.543,1.0,1.0,1.0,0.999,0.995,0.999,0.999,1.0,0.618,0.999,0.636,1.0,0.994
0.30,0.998,1.0,0.995,0.998,1.0,0.998,1.0,1.0,0.654,1.0,1.0,0.997,0.999,1.0,1.0,1.0,1.0,1.0,1.0,0.664,0.641,0.999,1.0,1.0,0.999,1.0,0.999,0.999,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995,1.0,0.631,1.0,0.999,0.998,0.998,1.0,1.0,1.0,0.998,0.999,1.0,1.0,1.0,1.0,1.0,0.998,0.999,0.995,1.0,1.0,0.653,0.999,0.984,0.995,1.0,1.0,0.995,1.0,0.999,1.0,1.0,0.999,1.0,1.0,0.615,0.999,1.0,0.999,1.0,1.0,1.0,1.0,0.641,0.995,0.999,0.997,1.0,0.642,1.0,0.629,0.999,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.998,1.0,0.998
0.35,0.974,1.0,0.621,1.0,1.0,0.999,0.976,1.0,0.658,1.0,1.0,1.0,1.0,1.0,0.637,1.0,1.0,0.999,1.0,0.671,1.0,0.996,0.974,1.0,1.0,0.996,1.0,1.0,1.0,0.973,1.0,0.999,0.996,0.999,1.0,1.0,1.0,0.995,1.0,1.0,0.999,0.999,1.0,0.998,0.996,0.995,1.0,0.986,0.999,1.0,1.0,0.995,1.0,0.6,0.999,0.999,0.997,0.636,0.99,0.653,0.999,0.999,0.984,0.654,1.0,0.997,0.634,0.999,0.999,0.994,1.0,1.0,0.999,0.998,0.999,1.0,0.999,0.985,1.0,0.994,0.996,0.991,1.0,1.0,1.0,1.0,0.637,1.0,1.0,1.0,0.998,1.0,1.0,1.0,0.999,0.997,0.656,1.0,0.974,1.0
0.40,0.999,1.0,0.629,0.997,0.995,0.999,1.0,1.0,0.653,1.0,0.998,1.0,1.0,0.999,0.625,0.991,0.999,1.0,1.0,1.0,0.652,0.995,0.628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.998,0.658,1.0,1.0,1.0,0.999,0.999,0.998,0.995,0.999,1.0,0.643,1.0,0.997,1.0,1.0,1.0,0.999,1.0,1.0,0.973,1.0,0.994,0.998,1.0,1.0,0.999,0.999,0.66,0.999,0.63,0.997,0.985,1.0,1.0,1.0,0.999,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,1.0,0.996,1.0,0.995,0.999,0.654,0.994,1.0,1.0,1.0,0.632,0.999,0.998,1.0,0.998,1.0,1.0,1.0,1.0,0.999,0.999,1.0,1.0,0.999
0.45,1.0,1.0,1.0,0.998,0.999,0.997,1.0,0.995,0.656,0.995,1.0,1.0,1.0,1.0,0.641,0.987,1.0,1.0,0.999,0.659,0.653,1.0,0.642,1.0,1.0,0.986,1.0,1.0,0.996,0.995,1.0,0.999,0.998,0.999,0.975,1.0,0.999,0.999,1.0,1.0,1.0,0.997,0.64,1.0,0.999,1.0,1.0,0.997,1.0,1.0,1.0,1.0,0.999,1.0,0.999,1.0,1.0,1.0,0.996,0.987,0.969,1.0,0.999,0.998,0.999,1.0,0.999,1.0,0.987,0.994,0.999,1.0,0.999,1.0,1.0,1.0,1.0,0.995,1.0,0.999,1.0,0.649,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,1.0,1.0,1.0,1.0,0.998,0.999,1.0,1.0
0.50,0.999,1.0,0.995,1.0,0.999,1.0,1.0,1.0,0.647,1.0,0.995,1.0,1.0,1.0,0.634,1.0,1.0,1.0,1.0,1.0,0.995,1.0,0.995,1.0,1.0,1.0,0.999,1.0,1.0,0.999,0.999,0.998,1.0,1.0,0.995,0.999,1.0,0.998,1.0,1.0,1.0,1.0,0.647,1.0,1.0,1.0,1.0,0.999,1.0,0.99,1.0,1.0,0.995,1.0,0.995,0.999,1.0,1.0,0.999,0.986,0.998,0.975,1.0,0.99,1.0,1.0,1.0,0.649,0.999,0.999,0.995,1.0,1.0,1.0,0.998,1.0,0.995,1.0,1.0,0.995,0.999,0.643,1.0,1.0,1.0,1.0,0.974,1.0,0.999,1.0,0.999,1.0,1.0,1.0,0.999,0.999,1.0,1.0,1.0,1.0
