ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-1.515,-0.653,-0.913,-0.903,0.674,0.55,-0.676,-0.133,-0.401,-7.245,-1.637,-1.072,0.253,0.067,0.152,-1.643,-24.632,0.111,0.043,-1.077,-0.416,0.328,-3.817,-0.66,0.189,0.505,0.234,-0.006,-48.131,0.64,0.443,-1.176,-0.326,0.163,0.216,0.26,0.256,0.617,-0.356,-0.263,0.01,-0.093,-2.852,0.242,0.029,-0.427,-0.329,-1.339,0.177,-0.053,0.392,0.21,0.171,-2.039,-2.064,0.35,-0.56,-0.111,0.355,-1.41,0.3,-1.597,-15.921,-5.373,0.001,-0.356,-0.07,-1.022,-0.104,-7.179,0.084,0.154,-0.353,-1.446,-8.346,0.156,-0.398,0.094,-0.208,-0.116,-0.653,0.153,-0.889,-0.019,-0.07,-0.4,0.163,-2.033,0.291,0.095,0.382,-5.731,0.551,-0.028,-0.661,-1.873,0.287,0.122,-3.591,-0.445
0.10,0.772,0.731,0.293,0.009,0.661,0.747,-0.534,0.273,0.266,0.27,0.11,0.229,0.311,0.742,0.025,-0.304,0.261,0.472,0.632,-0.497,0.524,0.267,-0.042,0.636,0.232,0.588,0.719,0.522,0.131,0.604,0.033,0.358,0.487,0.415,0.489,0.034,0.496,0.557,0.603,0.209,-1.975,-0.461,0.458,0.363,0.334,0.013,-0.814,0.754,0.297,0.617,0.152,-0.276,0.514,-1.159,0.597,0.415,0.108,0.226,0.368,0.257,0.318,0.411,-3.284,0.258,0.292,0.68,0.348,0.097,-0.145,0.368,0.202,-1.541,0.546,0.22,0.473,0.634,0.302,0.356,0.552,0.371,0.5,0.566,0.384,0.375,0.403,0.45,0.418,0.438,0.357,-0.348,0.273,0.119,0.574,0.602,-1.995,0.374,-0.228,0.347,0.362,0.389
0.15,0.448,0.715,0.77,-0.033,0.731,0.642,0.504,0.353,0.707,0.755,0.546,0.709,0.757,0.255,0.792,0.427,0.78,0.46,0.599,0.73,0.687,0.354,0.636,0.579,0.663,0.7,0.397,0.204,0.632,0.772,0.55,0.71,0.479,0.811,0.745,0.794,0.729,0.392,0.61,0.722,0.613,0.415,0.792,0.389,0.626,0.783,0.601,0.72,0.359,0.695,0.307,0.748,0.794,0.575,0.757,0.757,-5.726,-0.463,0.515,0.765,0.365,0.189,0.283,0.379,0.523,0.707,0.735,0.49,-0.022,0.558,0.545,-1.565,-0.025,0.603,0.567,0.727,0.758,0.677,0.469,0.499,0.713,0.547,0.77,0.331,0.335,0.774,0.276,0.75,0.387,0.644,0.609,0.354,0.771,0.766,0.739,0.624,0.598,0.659,0.393,-1.007
0.20,0.593,0.777,0.782,0.776,0.721,0.747,0.83,0.398,0.777,0.761,0.698,0.757,0.739,0.348,0.38,0.711,0.581,0.401,0.839,0.785,0.726,0.68,0.726,0.743,0.416,0.677,0.225,0.277,0.743,0.428,0.384,0.374,0.7,0.791,0.61,0.755,0.737,0.368,0.774,0.763,0.777,0.582,0.724,0.723,0.711,0.742,0.688,0.755,0.718,0.785,0.525,0.866,0.368,0.677,0.375,0.724,0.716,0.783,0.773,0.346,0.808,0.819,0.833,0.723,0.733,0.512,0.764,0.664,0.466,0.739,0.782,-0.048,0.744,0.728,0.772,0.792,0.765,0.798,0.288,0.763,0.662,0.633,0.399,0.805,0.818,0.735,0.574,0.791,0.83,0.584,0.827,0.202,0.797,0.678,0.717,0.694,0.736,0.714,0.751,0.609
0.25,0.757,0.773,0.779,0.592,0.814,0.835,0.767,0.417,0.774,0.718,0.794,0.345,0.707,0.855,0.787,0.816,0.601,0.829,0.78,0.687,0.748,0.665,0.774,0.604,0.414,0.411,0.78,0.791,0.719,0.761,0.369,0.784,0.425,0.801,0.742,0.859,0.805,0.396,0.772,0.791,0.814,0.739,0.815,0.537,0.785,0.822,0.743,0.831,0.696,0.811,0.625,0.846,0.814,0.76,0.7,0.804,0.779,0.754,0.791,0.734,0.775,0.755,0.798,0.668,0.834,0.879,0.761,0.296,0.69,0.806,0.392,0.815,0.778,0.755,0.726,0.814,0.758,0.695,0.341,0.4,0.687,0.838,0.691,0.653,0.357,0.751,0.654,0.815,0.813,0.356,0.788,0.847,0.857,0.836,0.724,0.777,0.762,0.718,0.68,0.757
0.30,0.842,0.646,0.772,0.845,0.764,0.829,0.813,0.707,0.747,0.786,0.861,0.798,0.801,0.427,0.789,0.812,-0.335,0.815,0.8,0.319,0.769,0.745,0.749,0.813,0.738,0.89,0.738,0.787,0.679,0.813,0.811,0.77,0.765,0.791,0.831,0.846,0.779,0.432,0.814,0.593,0.755,0.357,0.841,0.732,0.809,0.771,0.757,0.856,0.379,0.822,0.747,0.81,0.74,0.851,0.738,0.761,0.637,0.727,0.777,0.847,0.825,0.857,0.799,0.848,0.817,0.816,0.806,0.626,0.718,0.805,0.838,0.801,0.73,0.795,0.816,0.804,0.794,0.763,0.386,0.763,0.882,0.753,0.807,0.788,0.786,0.808,0.848,0.787,0.808,0.418,0.83,0.797,0.817,0.829,0.346,0.818,0.754,0.41,0.873,0.779
0.35,0.814,0.768,0.368,0.456,0.79,0.825,0.788,0.683,0.821,0.776,0.856,0.835,0.836,0.451,0.887,0.79,0.381,0.74,0.802,0.815,0.795,0.816,0.823,0.765,0.732,0.844,0.741,0.852,0.493,0.835,0.373,0.733,0.838,0.803,0.723,0.852,0.797,0.851,0.865,0.797,0.68,0.861,0.827,0.824,0.797,0.87,0.75,0.412,0.804,0.813,0.761,0.785,0.826,0.808,0.373,0.809,0.734,0.823,0.781,0.807,0.806,0.382,0.807,0.682,0.829,0.779,0.786,0.357,0.76,0.832,0.842,0.708,0.835,0.76,0.806,0.797,0.792,0.833,0.409,0.395,0.89,0.831,0.813,0.77,0.802,0.818,0.828,0.847,0.773,0.803,0.858,0.828,0.828,0.869,0.837,0.856,0.842,0.426,0.729,0.806
0.40,0.883,0.807,0.846,0.835,0.75,0.835,0.807,0.78,0.815,0.815,0.816,0.795,0.827,0.443,0.848,0.812,0.83,0.82,0.786,0.839,0.83,0.875,0.83,0.766,0.806,0.809,0.755,0.435,0.851,0.753,0.828,0.82,0.772,0.792,0.853,0.821,0.831,0.864,0.865,0.801,0.705,0.874,0.882,0.823,0.748,0.838,0.856,0.839,0.782,0.776,0.78,0.807,0.374,0.808,0.362,0.832,0.689,0.819,0.82,0.838,0.755,0.859,0.807,0.784,0.852,0.771,0.812,0.326,0.85,0.853,0.858,0.827,0.39,0.836,0.826,0.872,0.842,0.822,0.894,0.756,0.855,0.835,0.8,0.829,0.82,0.824,0.88,0.815,0.824,0.816,0.771,0.84,0.856,0.872,0.397,0.881,0.877,0.812,0.844,0.82
0.45,0.835,0.824,0.813,0.853,0.823,0.808,0.839,0.854,0.77,0.79,0.779,0.845,0.816,0.425,0.842,0.71,0.813,0.866,0.766,0.855,0.785,0.857,0.814,0.838,0.842,0.86,0.8,0.839,0.844,0.866,0.445,0.438,0.838,0.818,0.864,0.839,0.843,0.862,0.863,0.833,0.797,0.872,0.895,0.857,0.796,0.846,0.807,0.855,0.84,0.76,0.827,0.766,0.816,0.842,0.85,0.856,0.773,0.862,0.873,0.828,0.846,0.857,0.803,0.846,0.857,0.863,0.819,0.819,0.749,0.85,0.873,0.791,0.827,0.739,0.774,0.84,0.846,0.797,0.393,0.757,0.891,0.844,0.803,0.784,0.369,0.828,0.876,0.851,0.844,0.825,0.842,0.851,0.862,0.736,0.419,0.827,0.863,0.845,0.846,0.83
0.50,0.881,0.831,0.795,0.92,0.802,0.781,0.851,0.803,0.746,0.808,0.814,0.852,0.826,0.431,0.832,0.809,0.883,0.878,0.903,0.867,0.866,0.888,0.834,0.867,0.714,0.353,0.405,0.897,0.841,0.818,0.885,0.851,0.874,0.802,0.827,0.908,0.858,0.859,0.801,0.872,0.734,0.861,0.896,0.888,0.763,0.849,0.818,0.851,0.915,0.769,0.814,0.843,0.86,0.818,0.885,0.882,0.781,0.876,0.845,0.873,0.776,0.869,0.862,0.835,0.851,0.882,0.813,0.258,0.376,0.868,0.877,0.806,0.859,0.835,0.839,0.841,0.833,0.845,0.818,0.295,0.9,0.831,0.799,0.851,0.877,0.833,0.855,0.827,0.849,0.843,0.844,0.843,0.84,0.861,0.401,0.877,0.847,0.802,0.861,0.869
