ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-1.805,-3.977,-7.599,-14.632,-223.62,-18.568,0.226,-252.654,-0.378,-77.835,-8.61,-1.692,-7.661,-8.269,-8.045,-1.231,-14.749,-15.657,-10.721,-65.714,-1358.463,-0.737,-3.195,0.203,-26.038,-228.508,-50.159,-0.071,-4873.21,-3.998,-0.824,-1.581,-0.81,-31.345,0.367,-5.69,-1058.281,-5.958,-2.032,-275.963,0.227,-1.546,-0.79,-0.075,-33.342,-3.406,-0.371,-11.372,-2.197,-545.923,-177.025,-4.29,-1273.107,-2.273,-156.139,-2.558,-4.11,-1.059,-1139.544,-4.212,-1.16,-23.821,0.156,-8.946,-0.522,-4.795,-10.193,-0.838,-5.216,-9.909,-23.982,0.109,-4.656,-117.609,-93.089,-2.711,-295.271,-3.43,0.4,-4.073,-1.165,-5.511,-2.952,-462.239,0.109,0.118,-54.295,-0.186,-8.514,-5628.683,-3.488,-2.484,-1.499,-591.242,-3.687,-53.68,-0.479,-0.295,-88.676,-17.134
0.10,0.858,0.331,0.396,0.892,-0.831,0.826,-0.877,-1.506,-18.118,0.159,-1.578,-1.334,-2.057,0.5,-0.422,0.094,-0.265,-0.0,-0.273,0.453,-0.155,0.343,-0.567,0.126,-0.615,-5.737,-6.214,0.014,-29.517,-0.142,-1.729,0.155,0.153,0.835,-0.642,-0.363,0.665,0.845,-0.477,-2.763,0.281,0.224,-0.609,0.477,0.283,-0.012,0.857,0.656,-0.228,-0.12,-5.448,-0.187,-4.266,-1.693,-1.825,0.479,-2.657,0.456,-0.263,-7.439,-1.517,-0.124,-5.467,0.26,-0.024,-9.626,0.474,-0.208,-0.544,-0.62,-0.233,0.537,-0.304,-3.228,0.394,0.863,0.106,0.324,0.247,0.797,0.547,-0.368,-0.017,-14.607,0.125,0.551,-3.664,0.516,-0.179,-13.768,0.807,0.397,-1.217,-0.364,-0.345,-0.059,0.356,-0.596,0.033,-0.222
0.15,0.497,0.894,0.47,0.846,0.162,0.399,0.553,0.215,0.725,0.21,-0.114,0.188,-0.37,0.325,0.62,-0.103,0.581,0.116,0.395,0.388,0.427,-1.102,0.506,0.897,-0.034,0.165,0.697,-1.582,0.152,-3.763,-5.934,0.28,0.068,-0.206,0.825,0.501,-2.068,0.744,-0.08,0.015,-0.062,0.235,-0.21,0.259,0.227,0.097,0.022,0.448,0.664,-0.059,0.49,0.883,0.145,0.545,-1.334,0.282,0.86,0.467,0.745,-0.061,-0.148,0.821,0.884,0.462,-1.264,0.51,0.81,0.417,0.581,0.252,0.57,0.893,0.414,0.89,0.442,0.339,0.833,0.073,0.34,0.85,0.868,-0.873,0.198,0.128,0.258,-0.497,-0.634,0.504,0.278,0.189,0.828,0.413,0.437,0.436,0.139,0.357,0.81,0.408,0.468,0.355
0.20,0.821,0.717,0.733,0.897,0.878,0.209,0.866,-0.222,0.778,0.15,-0.403,0.82,0.371,0.921,0.939,-0.147,0.425,0.818,0.738,0.365,0.373,0.44,-0.427,0.524,-6.498,0.29,0.486,0.846,0.804,0.467,-0.465,0.738,0.861,0.139,0.518,0.166,0.113,-0.056,0.32,0.806,-1.209,0.739,0.67,0.38,0.93,0.816,0.871,0.377,0.607,0.307,0.343,0.91,0.494,0.876,-0.163,0.428,0.502,0.922,0.595,0.847,0.758,0.362,0.645,0.522,-6.178,0.905,0.824,0.24,0.449,-0.295,0.814,0.545,0.85,0.907,0.561,0.63,0.442,0.469,0.481,0.909,0.73,0.348,0.288,-11.121,0.328,0.476,-1.001,0.861,0.452,0.295,0.008,0.346,-0.49,0.914,0.54,-2.864,0.894,0.577,0.757,0.397
0.25,0.425,0.913,0.388,0.873,0.849,0.472,0.324,0.882,0.878,0.93,0.27,0.857,0.88,0.891,0.463,0.895,0.912,0.896,0.524,0.486,0.361,0.464,-0.334,0.906,0.802,0.884,0.538,0.925,0.934,0.554,-0.514,0.388,0.826,0.864,0.557,0.866,0.318,0.827,0.745,0.797,-0.413,0.359,0.566,0.853,0.934,0.632,0.779,0.885,0.592,0.122,0.221,0.682,0.448,0.295,0.074,0.887,0.637,0.921,0.9,0.824,-0.059,0.05,0.948,0.921,0.881,0.912,0.874,0.153,0.041,0.247,0.85,0.926,0.345,0.564,0.535,0.559,0.395,0.913,0.799,0.515,0.845,0.909,0.91,0.861,0.194,0.453,0.826,0.546,0.929,0.331,-0.567,0.518,0.44,0.925,0.934,0.344,0.788,0.941,0.665,0.337
0.30,0.21,0.371,0.902,0.461,0.856,0.414,0.922,0.426,0.889,0.93,0.774,0.534,0.94,0.545,0.343,0.346,0.846,0.199,0.885,0.531,0.873,0.417,-0.057,0.496,0.301,0.916,0.903,0.885,0.935,0.923,0.067,0.502,0.535,0.329,0.524,0.546,0.371,0.539,0.823,0.384,0.551,0.299,0.856,0.88,0.915,0.369,0.894,0.242,0.298,0.447,0.457,0.523,0.876,0.872,0.159,0.69,0.636,0.933,0.916,0.478,0.338,0.251,0.938,0.561,0.843,0.441,0.92,0.637,-0.055,0.419,0.942,0.548,0.395,0.937,0.543,0.927,0.812,-0.097,0.473,0.568,0.438,0.925,0.931,0.852,0.451,0.467,-1.596,0.895,0.408,0.457,0.811,0.429,0.282,0.513,0.523,0.235,0.808,0.716,0.602,0.931
0.35,0.254,0.94,0.843,0.806,0.836,0.778,0.903,0.452,0.893,0.932,0.924,0.937,0.915,0.928,0.556,0.911,0.602,0.387,0.906,0.913,0.79,0.423,-0.084,0.595,0.865,0.926,0.808,0.892,0.733,0.513,0.926,0.496,0.561,0.425,0.54,0.42,0.324,0.447,0.749,0.798,0.868,0.328,0.631,0.45,0.94,0.449,0.536,0.486,0.857,0.887,0.911,0.938,0.535,0.856,0.249,0.931,0.508,0.912,0.93,0.892,0.916,0.394,0.949,0.892,0.4,0.879,0.868,0.422,-0.282,0.443,0.947,0.606,0.283,0.559,0.524,0.898,0.442,0.926,0.438,0.933,0.841,0.253,0.318,0.897,0.386,0.441,-0.797,0.513,0.902,0.48,0.463,0.812,0.905,0.918,0.583,0.119,0.436,0.358,0.88,0.939
0.40,0.289,0.9,0.517,0.826,0.848,0.351,0.874,0.556,0.802,0.94,0.936,0.941,0.901,0.569,0.952,0.458,0.908,0.894,0.903,0.846,0.895,0.376,0.036,0.555,0.818,0.47,0.85,0.553,0.911,0.494,0.941,0.475,0.62,0.432,0.514,0.913,0.461,0.93,0.54,0.288,0.469,0.434,0.937,0.922,0.239,0.89,0.539,0.529,0.887,0.903,0.491,0.499,0.943,0.49,0.925,0.472,0.445,0.925,0.88,0.58,0.379,0.299,0.945,0.945,0.447,0.543,0.918,0.409,0.94,0.47,0.559,0.937,0.316,0.567,0.907,0.899,0.918,0.566,0.488,0.936,0.485,0.46,0.332,0.86,0.3,0.919,0.312,0.908,0.925,0.486,0.847,0.504,0.904,0.515,0.57,0.305,0.543,0.337,0.424,0.95
0.45,0.885,0.448,0.491,0.937,0.612,0.406,0.413,0.842,0.463,0.508,0.394,0.879,0.923,0.943,0.803,0.935,0.642,0.422,0.925,0.499,0.458,0.404,0.299,0.944,0.929,0.497,0.899,0.902,0.928,0.49,0.922,0.492,0.625,0.455,0.537,0.931,0.459,0.872,0.439,0.281,0.455,0.343,0.923,0.921,0.924,0.494,0.886,0.53,0.531,0.801,0.569,0.458,0.956,0.916,0.22,-0.457,0.384,0.931,0.923,0.569,0.931,0.521,0.618,0.415,0.898,0.483,0.524,0.377,0.918,0.478,0.934,0.474,0.466,0.535,0.525,0.936,0.513,0.953,0.396,0.535,0.568,0.919,0.42,0.506,0.526,0.496,0.633,0.467,0.873,0.907,0.912,0.516,0.883,0.527,0.55,0.282,0.844,0.406,0.446,0.537
0.50,0.672,0.46,0.929,0.908,0.621,0.467,0.406,0.9,0.505,0.499,0.549,0.954,0.889,0.587,0.954,0.539,0.595,0.472,0.519,0.549,0.924,0.518,0.413,0.934,0.835,0.421,0.548,0.913,0.61,0.904,0.485,0.498,0.602,0.448,0.535,0.322,0.905,0.924,0.465,0.882,0.42,0.443,0.917,0.884,0.916,0.92,0.947,0.889,0.561,0.435,0.845,0.924,0.939,0.426,0.369,0.946,0.5,0.359,0.928,0.562,0.913,0.826,0.506,0.915,0.458,0.472,0.892,0.371,0.94,0.511,0.925,0.56,0.387,0.524,0.536,0.537,0.573,0.905,0.32,0.93,0.576,0.644,0.924,0.432,0.518,0.51,0.255,0.902,0.904,0.392,0.882,0.491,0.9,0.882,0.539,0.368,0.413,0.919,0.489,0.514
