ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-3.511,-0.294,0.208,-0.887,0.469,-0.623,-0.013,0.481,-0.289,0.008,0.277,0.273,-23.835,-0.208,-2.882,0.565,-0.146,0.164,0.648,-58.114,0.104,0.296,0.332,0.143,0.247,-0.924,0.521,0.237,0.131,0.398,0.562,-1.033,-0.07,0.025,0.121,0.549,0.442,-1.66,-0.282,0.192,0.416,-0.024,0.247,-2.751,-0.241,-0.477,0.607,-2.359,0.28,0.492,0.455,-0.374,0.452,0.329,0.036,-0.153,0.626,0.28,-0.326,-0.293,-0.109,-1.081,0.537,0.12,-0.256,-0.07,0.202,0.362,-0.61,-0.082,0.397,0.382,-5.048,-0.471,0.244,-0.148,-2.186,-1.491,0.488,0.748,-1.065,0.063,-0.276,0.258,0.692,0.444,-0.279,0.751,0.555,0.53,-2.695,0.601,0.387,-0.463,0.339,-1.312,-0.094,0.462,0.123,-0.567
0.10,0.52,0.514,0.447,0.169,0.26,-2.452,-1.215,0.521,0.157,0.692,0.189,-0.73,0.429,0.317,0.494,0.348,0.481,-3.797,0.558,0.835,-1.379,0.552,0.754,0.577,0.629,0.537,0.194,-1.033,0.409,0.528,0.509,0.576,0.411,0.66,-8.185,0.741,0.681,0.664,-2.161,0.371,0.711,0.497,0.644,0.578,0.575,0.608,0.282,0.448,0.252,0.442,0.546,0.339,0.292,0.121,0.757,0.661,0.863,0.508,0.413,0.566,0.37,0.629,0.602,0.639,0.483,0.225,0.398,0.377,0.101,0.503,-1.064,0.575,0.385,0.251,0.594,0.324,0.446,-0.282,0.338,0.571,0.784,-0.297,0.507,0.683,0.405,-2.625,0.227,0.416,0.678,0.466,0.884,0.852,0.566,0.559,0.644,0.622,0.625,0.256,0.416,0.527
0.15,0.699,0.708,-0.478,0.556,0.337,0.63,0.895,0.154,0.8,0.25,0.586,0.625,0.408,-1.011,0.87,0.833,0.657,0.903,0.88,0.841,0.883,0.328,0.721,0.507,0.547,0.716,0.812,0.905,0.394,0.84,-0.613,0.764,0.066,0.768,0.837,0.864,0.788,0.818,0.82,0.25,0.541,0.396,0.861,0.622,0.906,0.435,0.623,-0.253,0.842,0.747,0.908,0.69,0.872,0.659,0.453,0.71,0.718,0.664,0.658,0.851,-0.833,0.498,0.709,0.626,0.702,0.877,0.856,0.801,0.875,0.643,0.578,0.605,0.85,0.254,0.569,0.637,0.41,0.223,0.864,0.665,0.892,0.89,0.729,0.615,0.342,0.519,0.768,0.515,0.928,0.776,0.839,0.858,0.917,0.631,0.658,0.659,0.932,0.921,0.612,0.586
0.20,0.781,0.925,0.727,0.671,0.867,0.806,0.809,0.921,0.724,0.761,0.928,0.69,0.917,0.849,0.926,0.894,0.834,0.877,0.721,0.94,0.926,0.634,0.742,0.672,0.919,0.952,0.946,0.915,0.794,0.941,0.928,0.638,0.368,0.518,0.846,0.843,0.795,0.934,0.957,0.634,0.323,0.767,0.87,0.659,0.948,0.762,0.54,0.236,0.838,0.913,0.748,0.541,0.864,0.839,0.879,0.914,0.735,0.941,0.933,0.944,0.857,0.939,0.688,0.641,0.885,0.955,0.831,0.911,0.728,0.449,0.902,0.74,0.753,0.632,0.745,0.596,0.737,0.496,0.925,0.942,0.917,0.907,0.802,0.393,0.909,0.908,0.83,0.784,0.949,0.736,0.87,0.682,0.712,0.616,0.912,0.728,0.943,0.807,0.766,0.567
0.25,0.919,0.929,0.709,0.484,0.562,0.583,0.931,0.758,0.894,0.827,0.933,0.767,0.913,0.402,0.913,0.914,0.918,0.819,0.615,0.941,0.934,0.924,0.927,0.624,0.929,0.931,0.961,0.706,0.588,0.938,0.942,0.602,0.77,0.928,0.822,0.851,0.822,0.904,0.944,0.605,0.606,0.953,0.934,0.777,0.871,0.728,0.805,0.755,0.914,0.814,0.954,0.956,0.76,0.92,0.892,0.868,0.527,0.854,0.865,0.918,0.799,0.791,0.648,0.745,0.758,0.86,0.953,0.928,0.826,0.911,0.952,0.809,0.948,0.933,0.763,0.932,0.608,0.564,0.953,0.945,0.915,0.82,0.704,0.974,0.928,0.917,0.905,0.373,0.722,0.92,0.96,0.903,0.932,0.827,0.938,0.856,0.901,0.954,0.866,0.77
0.30,0.757,0.928,0.977,0.589,0.817,0.815,0.894,0.911,0.91,0.752,0.959,0.802,0.949,0.901,0.957,0.791,0.821,0.941,0.717,0.946,0.975,0.945,0.79,0.891,0.928,0.935,0.964,0.658,0.738,0.965,0.961,0.741,0.955,0.908,0.76,0.785,0.855,0.956,0.877,0.629,0.917,0.95,0.942,0.96,0.958,0.959,0.841,0.74,0.965,0.884,0.958,0.959,0.926,0.957,0.948,0.922,0.842,0.775,0.806,0.943,0.768,0.809,0.951,0.938,0.92,0.881,0.936,0.917,0.943,0.949,0.965,0.719,0.909,0.714,0.714,0.852,0.936,0.75,0.94,0.915,0.812,0.94,0.957,0.759,0.935,0.931,0.892,0.926,0.887,0.747,0.958,0.766,0.775,0.75,0.94,0.756,0.939,0.949,0.819,0.963
0.35,0.683,0.98,0.965,0.942,0.942,0.833,0.934,0.969,0.933,0.721,0.947,0.899,0.964,0.901,0.958,0.924,0.961,0.823,0.947,0.947,0.951,0.958,0.964,0.825,0.932,0.962,0.966,0.928,0.832,0.961,0.948,0.931,0.945,0.973,0.928,0.965,0.801,0.938,0.964,0.737,0.926,0.964,0.974,0.962,0.798,0.905,0.954,0.724,0.918,0.945,0.817,0.956,0.927,0.93,0.438,0.925,0.929,0.963,0.947,0.958,0.954,0.807,0.968,0.889,0.905,0.962,0.94,0.928,0.938,0.958,0.97,0.796,0.9,0.87,0.967,0.85,0.768,0.926,0.943,0.971,0.833,0.929,0.973,0.958,0.741,0.738,0.962,0.784,0.961,0.95,0.96,0.934,0.965,0.946,0.97,0.793,0.964,0.937,0.968,0.683
0.40,0.716,0.721,0.906,0.825,0.949,0.967,0.955,0.956,0.904,0.922,0.947,0.967,0.936,0.966,0.962,0.965,0.975,0.829,0.949,0.976,0.961,0.979,0.91,0.95,0.956,0.97,0.968,0.811,0.971,0.962,0.966,0.924,0.951,0.97,0.927,0.961,0.973,0.961,0.958,0.949,0.935,0.981,0.953,0.949,0.949,0.928,0.756,0.776,0.976,0.808,0.967,0.967,0.954,0.923,0.945,0.956,0.967,0.948,0.93,0.956,0.929,0.826,0.85,0.976,0.809,0.97,0.814,0.944,0.972,0.944,0.966,0.767,0.822,0.921,0.955,0.675,0.949,0.967,0.944,0.951,0.975,0.957,0.934,0.961,0.963,0.727,0.875,0.97,0.964,0.969,0.718,0.84,0.961,0.959,0.967,0.936,0.862,0.937,0.814,0.841
0.45,0.665,0.972,0.979,0.974,0.854,0.94,0.952,0.949,0.938,0.945,0.951,0.958,0.962,0.975,0.969,0.952,0.972,0.94,0.773,0.964,0.974,0.956,0.943,0.973,0.936,0.835,0.955,0.971,0.889,0.972,0.962,0.942,0.792,0.957,0.965,0.933,0.966,0.934,0.97,0.846,0.959,0.969,0.966,0.956,0.94,0.969,0.904,0.257,0.939,0.807,0.937,0.973,0.92,0.964,0.954,0.936,0.789,0.825,0.938,0.8,0.802,0.925,0.972,0.979,0.92,0.957,0.965,0.979,0.974,0.963,0.946,0.75,0.972,0.977,0.973,0.929,0.96,0.956,0.931,0.981,0.975,0.973,0.96,0.975,0.749,0.95,0.964,0.973,0.966,0.971,0.975,0.977,0.976,0.877,0.974,0.962,0.938,0.837,0.81,0.938
0.50,0.747,0.963,0.973,0.976,0.973,0.945,0.958,0.971,0.946,0.965,0.971,0.948,0.977,0.975,0.896,0.97,0.968,0.98,0.951,0.942,0.952,0.802,0.958,0.978,0.626,0.835,0.814,0.818,0.818,0.969,0.963,0.97,0.954,0.978,0.964,0.916,0.956,0.96,0.968,0.97,0.91,0.976,0.967,0.983,0.963,0.954,0.928,0.902,0.934,0.965,0.952,0.971,0.968,0.949,0.638,0.954,0.834,0.975,0.946,0.721,0.963,0.959,0.941,0.937,0.772,0.983,0.966,0.908,0.932,0.971,0.936,0.964,0.974,0.979,0.917,0.97,0.964,0.963,0.956,0.974,0.819,0.97,0.938,0.917,0.97,0.805,0.508,0.58,0.97,0.972,0.959,0.977,0.98,0.946,0.964,0.949,0.978,0.966,0.969,0.968
