ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.782,0.689,0.799,0.829,0.633,0.783,0.634,0.783,0.76,0.824,0.625,0.776,0.708,0.684,0.794,0.759,0.822,0.739,0.775,0.784,0.715,0.767,0.694,0.817,0.809,0.828,0.619,0.835,0.838,0.784,0.61,0.633,0.769,-1.632,0.804,0.711,0.72,0.582,0.127,0.338,0.574,0.818,0.844,0.73,0.749,0.54,0.703,0.807,0.749,0.639,0.782,0.854,0.823,0.8,0.76,0.82,0.754,0.655,0.713,0.769,0.347,0.85,0.816,0.794,0.564,0.484,0.838,0.55,0.824,0.835,0.441,0.731,0.728,0.691,0.689,0.793,0.792,0.727,0.564,-0.511,0.766,0.46,0.723,0.711,0.744,0.659,0.721,0.635,0.839,0.783,0.734,0.571,0.844,0.8,0.827,0.459,0.803,0.804,0.864,0.613
0.10,0.845,0.869,0.921,0.927,0.841,0.925,0.822,0.891,0.838,0.843,0.837,0.901,0.831,0.919,0.257,0.852,0.844,0.899,0.893,0.828,0.876,0.881,0.898,0.55,0.699,0.883,0.85,0.906,0.918,0.786,0.854,0.848,0.81,0.913,0.751,0.774,0.754,0.91,0.711,0.833,0.923,0.937,0.911,0.835,0.904,0.86,0.81,0.875,0.843,0.95,0.921,0.845,0.914,0.867,0.833,0.742,0.715,0.844,0.827,0.826,0.883,0.8,0.904,0.835,0.807,0.5,0.847,0.891,0.814,0.852,0.858,0.879,0.788,0.759,-0.057,0.372,0.067,0.835,0.754,-0.134,0.912,0.911,0.908,0.809,0.797,0.791,0.868,0.881,0.905,0.874,0.883,0.913,0.836,0.878,0.919,0.823,0.916,0.912,0.846,0.92
0.15,0.906,0.542,0.926,0.904,0.944,0.922,0.831,0.905,0.919,0.934,0.916,0.893,0.73,0.877,0.917,0.913,0.803,0.914,0.929,0.882,0.86,0.933,0.811,0.406,0.058,0.878,0.855,0.841,0.901,0.869,0.83,0.813,0.908,0.908,0.807,0.869,0.823,0.879,0.89,0.65,0.918,0.89,0.88,0.758,0.933,0.929,0.88,0.89,0.804,0.924,0.894,0.86,0.875,0.906,0.923,0.763,0.928,0.892,0.843,0.871,0.943,0.891,0.917,0.9,0.879,0.769,0.911,0.909,0.85,0.915,0.67,0.866,0.709,0.893,0.828,0.836,0.891,0.886,0.87,0.855,0.93,0.818,0.914,0.927,0.857,0.895,0.938,0.835,0.859,0.879,0.87,0.873,0.909,0.923,0.872,0.927,0.916,0.94,0.845,0.904
0.20,0.924,0.921,0.914,0.949,0.906,0.933,0.928,0.893,0.923,0.891,0.867,0.915,0.707,0.861,0.87,0.882,0.94,0.859,0.906,0.933,0.859,0.955,0.889,0.947,0.786,0.907,0.853,0.831,0.925,0.914,0.831,0.927,0.934,0.833,0.921,0.901,0.868,0.906,0.932,0.876,0.937,0.958,0.958,0.868,0.926,0.885,0.863,0.885,0.871,0.912,0.931,0.952,0.943,0.891,0.91,0.907,0.868,0.91,0.913,0.842,0.93,0.845,0.932,0.915,0.737,0.855,0.878,0.946,0.838,0.901,0.917,0.763,0.834,0.897,0.918,0.94,0.928,0.878,0.863,0.9,0.875,0.923,0.96,0.932,0.918,0.919,0.915,0.935,0.879,0.871,0.848,0.94,0.947,0.883,0.88,0.889,0.805,0.897,0.694,0.861
0.25,0.875,0.232,0.947,0.948,0.902,0.946,0.934,0.9,0.918,0.931,0.934,0.931,0.935,0.945,0.93,0.902,0.942,0.933,0.905,0.903,0.895,0.954,0.835,0.932,0.884,0.902,0.948,0.891,0.949,0.918,0.946,0.933,0.942,0.526,0.84,0.871,0.932,0.907,0.935,0.601,0.905,0.832,0.922,0.869,0.919,0.918,0.941,0.872,0.95,0.938,0.018,0.918,0.941,0.88,0.951,0.959,0.878,0.918,0.867,0.851,0.863,0.918,0.902,0.924,0.963,0.878,0.906,0.944,0.918,0.911,0.935,0.917,0.906,0.728,0.881,0.839,0.944,0.931,0.943,0.927,0.955,0.914,0.717,0.898,0.948,0.931,0.936,0.949,0.918,0.928,0.906,0.911,0.947,0.933,0.841,0.939,0.885,0.905,0.907,0.934
0.30,0.948,0.955,0.882,0.9,0.947,0.956,0.943,0.934,0.954,0.927,0.886,0.934,0.952,0.913,0.927,0.952,0.947,0.918,0.952,0.957,0.927,0.961,0.865,0.963,0.912,0.933,0.896,0.884,0.96,0.93,0.967,0.947,0.958,0.765,0.923,0.944,0.945,0.951,0.895,0.81,0.937,0.944,0.933,0.874,0.922,0.936,0.947,0.908,0.933,0.948,0.95,0.942,0.917,0.875,0.955,0.897,0.87,0.945,0.883,0.877,0.959,0.897,0.914,0.949,0.933,0.95,0.945,0.943,0.934,0.938,0.938,0.94,0.921,0.954,0.928,0.944,0.949,0.931,0.945,0.821,0.945,0.947,0.867,0.948,0.862,0.946,0.951,0.955,0.961,0.929,0.935,0.948,0.942,0.97,0.85,0.879,0.881,0.944,0.952,0.916
0.35,0.953,0.96,0.925,0.953,0.922,0.964,0.94,0.842,0.943,0.943,0.901,0.959,0.945,0.966,0.958,0.931,0.95,0.933,0.959,0.929,0.944,0.963,0.966,0.96,0.943,0.959,0.947,0.898,0.944,0.929,0.957,0.961,0.939,0.868,0.959,0.955,0.941,0.928,0.958,0.943,0.961,0.951,0.956,0.946,0.941,0.95,0.926,0.918,0.949,0.956,0.957,0.956,0.95,0.909,0.958,0.967,0.934,0.925,0.956,0.83,0.952,0.931,0.967,0.963,0.951,0.955,0.67,0.959,0.91,0.939,0.951,0.947,0.947,0.798,0.941,0.935,0.874,0.965,0.938,0.938,0.961,0.941,0.948,0.939,0.919,0.97,0.928,0.954,0.952,0.92,0.888,0.954,0.96,0.954,0.913,0.956,0.963,0.916,0.926,0.943
0.40,0.951,0.952,0.937,0.951,0.94,0.969,0.931,0.958,0.893,0.932,0.95,0.954,0.925,0.963,0.95,0.962,0.951,0.924,0.967,0.959,0.929,0.959,0.968,0.958,0.904,0.95,0.949,0.958,0.946,0.919,0.967,0.961,0.951,0.923,0.951,0.951,0.937,0.959,0.92,0.912,0.971,0.969,0.951,0.946,0.959,0.877,0.948,0.954,0.935,0.972,0.962,0.95,0.956,0.959,0.962,0.968,0.945,0.957,0.962,0.943,0.97,0.954,0.935,0.955,0.948,0.934,0.954,0.943,0.921,0.955,0.954,0.953,0.959,0.896,0.943,0.923,0.94,0.896,0.962,0.938,0.952,0.948,0.966,0.949,0.872,0.955,0.951,0.941,0.966,0.927,0.941,0.955,0.968,0.958,0.953,0.959,0.95,0.964,0.95,0.947
0.45,0.968,0.965,0.958,0.951,0.951,0.962,0.941,0.941,0.954,0.95,0.948,0.964,0.974,0.933,0.954,0.967,0.962,0.969,0.948,0.953,0.944,0.957,0.956,0.96,0.931,0.948,0.953,0.942,0.966,0.953,0.959,0.952,0.97,0.908,0.945,0.958,0.948,0.973,0.951,0.925,0.962,0.969,0.958,0.958,0.946,0.971,0.958,0.937,0.952,0.96,0.971,0.93,0.947,0.962,0.958,0.956,0.902,0.954,0.957,0.964,0.97,0.95,0.961,0.972,0.961,0.876,0.951,0.909,0.917,0.952,0.952,0.949,0.956,0.859,0.954,0.958,0.939,0.961,0.968,0.918,0.961,0.945,0.961,0.954,0.923,0.959,0.964,0.948,0.956,0.941,0.959,0.916,0.958,0.966,0.961,0.908,0.962,0.948,0.947,0.963
0.50,0.966,0.97,0.971,0.923,0.924,0.933,0.932,0.945,0.955,0.944,0.964,0.961,0.971,0.938,0.962,0.967,0.966,0.914,0.97,0.951,0.961,0.976,0.963,0.971,0.943,0.967,0.957,0.964,0.96,0.952,0.975,0.95,0.963,0.95,0.961,0.95,0.935,0.966,0.955,0.976,0.942,0.971,0.963,0.941,0.966,0.926,0.931,0.938,0.961,0.957,0.968,0.968,0.943,0.963,0.968,0.899,0.955,0.964,0.949,0.963,0.966,0.962,0.943,0.979,0.957,0.956,0.944,0.978,0.972,0.941,0.965,0.969,0.87,0.941,0.965,0.873,0.861,0.969,0.96,0.932,0.934,0.954,0.962,0.956,0.947,0.979,0.963,0.933,0.955,0.853,0.969,0.943,0.956,0.964,0.966,0.966,0.959,0.961,0.945,0.914
