ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.427,0.637,0.616,-0.836,0.803,0.475,0.696,0.105,-0.224,0.721,0.444,-0.965,0.71,0.544,-1.352,0.739,-0.24,0.573,0.433,0.647,0.542,0.402,0.791,-2.497,-0.003,0.594,-0.745,0.651,-1.608,0.61,0.556,-0.151,-1.487,0.508,0.426,0.681,0.335,-6.363,-0.11,0.354,0.788,-79.077,0.382,0.472,-10.856,0.293,0.077,0.755,0.15,0.54,-0.511,-2.617,0.485,0.216,0.65,0.851,-0.141,0.588,0.515,0.487,0.81,0.623,0.309,-0.203,0.672,0.548,0.426,0.399,0.71,0.646,0.514,0.745,0.677,0.743,0.546,0.647,0.625,0.782,0.5,-68.119,0.713,0.167,0.158,0.745,0.692,0.319,0.117,0.58,-0.293,0.199,-19.021,-1.419,0.181,-3.095,0.569,0.682,0.365,0.614,0.637,0.685
0.10,0.717,0.744,0.47,-0.276,0.795,0.464,0.773,-0.05,0.661,0.858,0.262,0.694,0.564,0.75,0.718,0.653,-12.486,0.746,0.741,0.717,0.771,-1.443,0.718,-9.718,0.154,0.279,0.704,0.689,0.82,0.485,-4.346,0.783,0.748,-3.088,0.672,0.585,0.738,0.814,0.312,-0.934,0.847,-8.408,0.806,0.757,0.838,0.602,0.705,0.739,-4.546,0.717,0.445,0.788,0.294,0.693,0.725,0.75,-0.629,0.851,0.839,0.372,0.757,0.743,0.52,0.256,-4.868,0.848,0.656,0.81,0.838,0.829,0.72,0.735,0.828,0.792,0.635,0.659,-6.075,0.656,0.747,-0.837,0.776,0.779,0.716,0.789,0.312,-0.359,0.733,0.733,0.748,0.81,-0.861,0.699,0.622,0.585,0.766,0.806,0.696,0.643,-0.191,0.677
0.15,0.147,0.771,0.674,-5.276,0.624,0.843,0.806,0.804,0.658,0.5,0.448,-24.037,0.821,0.842,0.807,0.861,0.786,0.525,0.834,0.68,0.81,0.841,0.807,0.868,0.481,0.849,0.855,0.8,0.828,0.791,0.799,0.796,0.794,0.676,0.806,0.699,0.811,0.859,0.758,-0.507,0.794,0.73,0.822,0.77,0.831,0.806,0.756,0.745,0.767,0.801,0.779,0.707,0.697,0.828,0.042,0.149,0.809,0.805,0.746,0.841,0.765,0.853,0.385,0.551,0.855,0.857,0.773,0.706,0.832,0.863,0.804,0.813,0.821,0.87,0.71,0.717,0.684,0.806,0.584,0.818,0.759,0.642,0.815,0.869,0.6,0.706,0.495,-1.342,0.691,-0.101,0.805,0.767,0.746,0.736,0.843,0.827,0.726,0.781,0.85,0.66
0.20,0.815,0.685,0.822,0.713,0.641,0.83,0.788,0.752,0.816,0.855,0.823,0.887,0.855,0.692,0.673,0.476,0.873,0.862,0.869,0.712,0.346,0.847,0.846,0.611,0.776,0.816,0.817,0.774,0.827,0.787,0.799,0.724,0.872,0.823,0.806,0.825,0.75,0.792,0.818,0.858,0.841,0.756,0.821,0.83,0.844,0.842,0.735,0.78,0.757,0.865,0.878,0.833,0.799,0.806,0.864,-0.013,0.697,0.852,0.784,0.855,-0.748,0.824,0.863,0.825,0.883,0.864,0.83,0.802,0.8,0.769,0.808,0.822,0.752,0.823,0.788,0.771,0.52,0.861,0.832,0.863,0.839,0.688,-0.672,0.762,0.833,-1.878,0.04,0.849,0.818,0.367,0.855,0.882,0.799,0.785,0.847,0.817,0.845,0.725,0.782,0.708
0.25,0.873,0.825,0.822,0.846,0.805,0.859,0.813,0.833,0.755,0.869,0.634,-0.588,0.869,0.788,0.8,0.812,0.889,0.877,0.793,0.831,0.836,0.811,0.83,0.816,0.828,0.888,0.892,0.842,0.881,0.54,0.8,0.589,0.811,0.835,0.864,0.854,0.853,0.841,0.856,0.861,0.872,0.845,0.862,0.869,0.773,0.854,0.884,0.475,0.79,0.873,0.845,0.761,0.724,0.874,0.873,0.833,0.785,0.86,0.815,0.805,0.881,0.793,0.865,0.896,0.865,0.836,0.879,0.758,0.796,0.82,0.848,0.855,0.837,0.745,0.824,0.755,0.86,0.84,0.869,0.884,0.768,0.833,0.806,0.53,-0.441,0.827,0.829,0.856,0.871,0.815,0.866,0.875,0.77,0.791,0.868,0.858,0.882,0.72,0.884,0.875
0.30,0.719,0.866,0.786,0.309,0.882,0.853,0.832,0.863,0.796,0.887,0.084,0.716,0.856,0.826,0.837,0.827,0.893,0.904,0.865,0.849,0.874,0.886,0.817,0.876,0.83,0.804,0.902,0.87,0.877,0.848,0.798,0.855,0.844,0.804,0.853,0.838,0.842,0.845,0.848,0.882,0.862,0.87,0.879,0.808,0.868,0.872,0.774,0.765,0.846,0.873,0.881,0.796,0.827,0.88,0.815,0.881,0.781,0.86,0.87,0.822,0.85,0.821,0.861,0.906,0.861,0.846,0.842,0.78,0.67,0.773,0.849,0.85,0.809,0.85,0.831,0.76,0.862,0.855,0.885,0.853,0.801,0.866,0.795,0.809,0.789,0.779,0.857,0.868,0.815,0.857,0.814,0.877,0.758,0.755,0.916,0.819,0.884,0.873,0.867,0.801
0.35,0.878,0.836,0.798,0.833,0.891,0.834,0.899,0.847,0.879,0.867,0.867,0.868,0.859,0.918,0.851,0.829,0.883,0.886,0.931,0.863,0.843,0.902,0.837,0.865,0.797,0.858,0.903,0.893,0.8,0.969,-2.939,0.854,0.811,0.858,0.854,0.843,0.88,0.888,0.847,0.893,0.87,0.897,0.841,0.797,0.789,0.89,0.65,0.821,0.895,0.897,0.86,0.763,0.857,0.868,0.886,0.891,0.795,0.901,0.883,0.862,0.838,0.822,0.884,0.893,0.852,0.869,0.832,0.852,0.877,0.811,0.847,0.869,0.824,0.765,0.841,0.866,0.659,0.952,0.892,0.882,0.89,0.83,0.853,0.84,0.774,0.827,0.871,0.881,0.864,0.863,0.863,0.875,0.953,0.873,0.895,0.872,0.889,0.829,0.833,0.784
0.40,0.812,0.841,0.715,0.799,0.973,0.812,0.887,0.856,0.831,0.825,0.893,0.906,0.883,0.771,0.878,0.934,0.89,0.886,0.81,0.862,0.879,0.909,0.783,0.879,0.964,0.879,0.897,0.801,0.882,0.876,0.874,0.873,0.866,0.822,0.871,0.776,0.859,0.873,0.859,0.926,0.85,0.883,0.881,0.802,0.959,0.881,0.874,0.858,0.855,0.875,0.903,0.806,0.818,0.866,0.866,0.891,0.771,0.838,0.906,0.831,0.828,0.882,0.842,0.902,0.926,0.879,0.863,0.872,0.83,0.808,0.858,0.841,0.856,0.75,0.855,0.874,0.855,0.865,0.887,0.856,0.841,0.893,0.874,0.809,0.869,0.731,0.857,0.908,0.838,0.817,0.873,0.862,0.765,0.864,0.898,0.867,0.895,0.882,0.789,0.875
0.45,0.859,0.854,0.773,0.898,0.873,0.872,0.863,0.808,0.88,0.865,0.894,0.888,0.872,0.926,0.887,0.856,0.984,0.982,0.934,0.874,0.902,0.905,0.821,0.865,0.876,0.871,0.885,0.889,0.884,0.87,0.857,0.88,0.883,0.909,0.88,0.834,0.835,0.886,0.871,0.868,0.868,0.881,0.871,0.886,0.901,0.955,0.876,0.855,0.891,0.898,0.959,0.849,0.833,0.903,0.87,0.879,0.86,0.866,0.901,0.857,0.835,0.828,0.898,0.89,0.899,0.913,0.873,0.82,0.9,0.767,0.987,0.862,0.891,0.819,0.864,0.877,0.877,0.884,0.895,0.874,0.881,0.952,0.855,0.825,0.879,0.778,0.892,0.907,0.856,0.885,0.86,0.877,0.871,0.891,0.893,0.857,0.887,0.85,0.869,0.941
0.50,0.874,0.838,0.825,0.943,0.877,0.895,0.935,0.859,0.871,0.85,0.956,0.901,0.872,0.875,0.895,0.849,0.884,0.905,0.895,0.93,0.892,0.918,0.863,0.972,0.883,0.871,0.989,0.878,0.87,0.87,0.853,0.896,0.843,0.815,0.891,0.827,0.878,0.968,0.952,0.889,0.87,0.877,0.812,0.895,0.984,0.903,0.883,0.852,0.94,0.861,0.861,0.822,0.86,0.981,0.935,0.904,0.858,0.86,0.902,0.826,0.824,0.824,0.885,0.893,0.952,0.869,0.848,0.832,0.913,0.748,0.974,0.895,0.872,0.953,0.88,0.883,0.885,0.769,0.899,0.812,0.868,0.896,0.863,0.875,0.899,0.796,0.888,0.889,0.841,0.827,0.972,0.874,0.847,0.883,0.887,0.858,0.904,0.926,0.862,0.899
