ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-0.465,0.562,0.296,0.606,0.44,0.61,-0.356,0.572,0.531,0.365,0.727,0.76,-0.881,-0.145,0.155,-0.582,-0.742,-1.442,0.107,-0.811,-0.034,0.785,0.136,0.482,0.55,0.36,0.022,-0.252,-0.364,0.604,0.242,0.673,0.704,0.635,0.344,0.605,0.192,0.049,0.73,-2.817,0.189,0.071,0.718,-0.055,-0.424,0.691,0.57,-1.171,0.668,0.694,0.603,0.509,0.209,0.728,0.52,0.239,0.328,0.711,0.379,0.433,0.347,0.564,0.564,0.117,0.155,-0.36,0.521,0.293,0.812,0.517,0.69,0.68,0.746,-0.105,-0.161,0.376,0.087,0.642,0.462,0.527,0.857,-0.324,-1.671,-0.122,-0.049,0.453,0.46,0.644,-0.769,0.483,0.376,0.035,0.263,-0.296,0.232,0.695,0.498,0.14,0.211,0.596
0.10,0.625,0.864,0.639,0.413,0.951,0.869,0.953,0.859,0.901,0.781,0.861,0.923,0.7,0.848,0.854,0.955,0.919,0.881,0.925,0.888,0.742,0.899,0.654,0.488,0.821,0.879,0.957,0.768,0.916,0.845,0.905,0.857,0.934,0.952,0.661,0.966,0.933,0.932,0.937,0.721,0.738,0.754,0.775,0.808,0.525,0.928,0.924,0.919,0.781,0.784,0.955,0.805,0.667,0.956,0.791,0.535,0.486,0.859,0.852,0.895,0.904,0.628,0.853,0.77,0.832,0.877,0.686,0.708,0.835,0.539,0.895,0.926,0.944,0.924,0.563,0.895,0.323,0.689,0.851,0.768,0.809,0.857,-0.498,0.86,0.598,0.822,0.953,0.771,0.72,0.679,0.601,0.908,0.633,0.626,0.958,0.653,0.937,0.7,0.835,0.89
0.15,0.877,0.959,0.964,0.917,0.965,0.974,0.845,0.978,0.964,0.881,0.944,0.936,0.956,0.939,0.964,0.982,0.914,0.966,0.879,0.982,0.89,0.888,0.872,0.939,0.965,0.955,0.955,0.969,0.76,0.901,0.988,0.972,0.935,0.949,0.963,0.97,0.675,0.954,0.886,0.911,0.899,0.92,0.962,0.97,0.754,0.969,0.972,0.836,0.965,0.917,0.979,0.925,0.977,0.935,0.95,0.934,0.976,0.945,0.908,0.733,0.968,0.937,0.836,0.916,0.946,0.969,0.92,0.945,0.936,0.571,0.964,0.808,0.874,0.976,0.93,0.881,0.774,0.961,0.941,0.906,0.974,0.886,0.925,0.964,0.808,0.726,0.957,0.918,0.899,0.916,0.757,0.901,0.786,0.613,0.759,0.973,0.961,0.964,0.975,0.98
0.20,0.988,0.971,0.99,0.962,0.97,0.957,0.985,0.975,0.975,0.969,0.964,0.973,0.971,0.858,0.99,0.95,0.972,0.961,0.953,0.961,0.976,0.986,0.982,0.932,0.935,0.973,0.989,0.961,0.945,0.98,0.972,0.929,0.957,0.976,0.957,0.979,0.856,0.966,0.983,0.931,0.934,0.968,0.906,0.97,0.973,0.954,0.97,0.956,0.9,0.989,0.975,0.979,0.957,0.973,0.982,0.929,0.96,0.941,0.983,0.99,0.982,0.974,0.976,0.881,0.981,0.941,0.949,0.967,0.962,0.981,0.961,0.991,0.966,0.976,0.981,0.969,0.72,0.967,0.959,0.985,0.98,0.989,0.91,0.967,0.986,0.985,0.983,0.968,0.97,0.961,0.98,0.97,0.978,0.931,0.932,0.922,0.988,0.958,0.983,0.976
0.25,0.933,0.913,0.973,0.99,0.985,0.985,0.975,0.994,0.978,0.992,0.991,0.985,0.971,0.935,0.975,0.982,0.99,0.984,0.972,0.981,0.956,0.98,0.984,0.98,0.956,0.989,0.992,0.985,0.979,0.978,0.993,0.972,0.981,0.967,0.986,0.991,0.979,0.99,0.977,0.993,0.989,0.993,0.978,0.971,0.975,0.983,0.959,0.988,0.979,0.925,0.981,0.989,0.98,0.984,0.986,0.983,0.976,0.968,0.976,0.987,0.994,0.989,0.987,0.87,0.993,0.933,0.987,0.989,0.968,0.983,0.986,0.948,0.982,0.988,0.989,0.984,0.963,0.983,0.98,0.991,0.978,0.985,0.959,0.931,0.98,0.974,0.985,0.968,0.989,0.972,0.979,0.987,0.985,0.95,0.989,0.981,0.985,0.985,0.956,0.974
0.30,0.98,0.977,0.992,0.992,0.991,0.987,0.983,0.979,0.975,0.99,0.981,0.99,0.97,0.987,0.983,0.995,0.988,0.977,0.987,0.988,0.967,0.991,0.992,0.987,0.979,0.992,0.982,0.966,0.982,0.986,0.987,0.974,0.954,0.991,0.989,0.983,0.993,0.994,0.99,0.979,0.989,0.983,0.979,0.969,0.983,0.988,0.965,0.901,0.989,0.986,0.98,0.984,0.992,0.977,0.98,0.982,0.991,0.991,0.974,0.992,0.995,0.983,0.985,0.97,0.982,0.99,0.988,0.944,0.973,0.975,0.979,0.985,0.977,0.992,0.992,0.991,0.973,0.984,0.992,0.983,0.989,0.995,0.984,0.984,0.955,0.966,0.994,0.985,0.991,0.991,0.98,0.993,0.984,0.954,0.976,0.985,0.992,0.993,0.982,0.975
0.35,0.99,0.992,0.985,0.973,0.993,0.992,0.995,0.978,0.932,0.995,0.985,0.985,0.994,0.995,0.992,0.986,0.978,0.981,0.988,0.983,0.989,0.993,0.995,0.987,0.991,0.987,0.974,0.994,0.992,0.993,0.986,0.994,0.993,0.987,0.993,0.978,0.981,0.982,0.98,0.982,0.994,0.987,0.99,0.982,0.991,0.978,0.995,0.917,0.985,0.989,0.993,0.986,0.991,0.99,0.994,0.983,0.979,0.785,0.981,0.993,0.993,0.994,0.985,0.989,0.988,0.947,0.989,0.992,0.978,0.988,0.993,0.985,0.981,0.993,0.975,0.991,0.986,0.962,0.972,0.962,0.975,0.99,0.984,0.991,0.988,0.971,0.989,0.986,0.993,0.988,0.98,0.993,0.989,0.987,0.977,0.989,0.992,0.992,0.993,0.991
0.40,0.984,0.959,0.992,0.985,0.993,0.988,0.988,0.99,0.992,0.993,0.991,0.992,0.991,0.984,0.988,0.98,0.993,0.994,0.987,0.982,0.991,0.994,0.989,0.995,0.974,0.987,0.966,0.993,0.993,0.993,0.981,0.992,0.993,0.996,0.993,0.98,0.992,0.995,0.978,0.992,0.99,0.974,0.983,0.984,0.993,0.974,0.983,0.994,0.989,0.995,0.99,0.991,0.985,0.994,0.994,0.979,0.996,0.993,0.983,0.995,0.97,0.987,0.994,0.99,0.995,0.993,0.984,0.992,0.993,0.991,0.994,0.995,0.992,0.994,0.991,0.993,0.995,0.977,0.989,0.99,0.989,0.993,0.994,0.984,0.993,0.974,0.98,0.989,0.992,0.993,0.985,0.991,0.995,0.992,0.976,0.994,0.985,0.994,0.99,0.995
0.45,0.993,0.986,0.995,0.986,0.994,0.99,0.994,0.995,0.995,0.988,0.994,0.988,0.988,0.994,0.993,0.988,0.993,0.984,0.941,0.985,0.979,0.995,0.991,0.995,0.988,0.995,0.993,0.985,0.984,0.995,0.995,0.994,0.996,0.995,0.995,0.992,0.979,0.993,0.988,0.991,0.97,0.992,0.988,0.995,0.994,0.991,0.983,0.995,0.994,0.995,0.989,0.991,0.988,0.99,0.993,0.981,0.994,0.994,0.984,0.994,0.981,0.99,0.989,0.986,0.994,0.995,0.987,0.926,0.991,0.993,0.985,0.982,0.996,0.989,0.989,0.991,0.995,0.995,0.987,0.993,0.995,0.995,0.994,0.993,0.99,0.989,0.992,0.992,0.994,0.994,0.992,0.994,0.994,0.992,0.987,0.995,0.994,0.986,0.985,0.988
0.50,0.973,0.992,0.995,0.987,0.991,0.991,0.984,0.995,0.99,0.992,0.989,0.983,0.99,0.995,0.995,0.992,0.983,0.985,0.986,0.993,0.993,0.993,0.994,0.993,0.994,0.992,0.986,0.995,0.985,0.995,0.99,0.987,0.994,0.993,0.995,0.995,0.987,0.989,0.995,0.995,0.986,0.987,0.984,0.995,0.985,0.994,0.989,0.994,0.994,0.994,0.99,0.994,0.99,0.989,0.994,0.995,0.992,0.994,0.993,0.994,0.994,0.994,0.994,0.994,0.993,0.989,0.996,0.966,0.981,0.995,0.983,0.967,0.992,0.987,0.99,0.995,0.996,0.987,0.986,0.988,0.993,0.995,0.99,0.985,0.99,0.995,0.993,0.993,0.986,0.991,0.986,0.994,0.993,0.995,0.993,0.989,0.995,0.994,0.987,0.993
