ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.619,0.279,-0.082,0.437,-0.471,-1.655,-0.946,0.22,0.21,-3.723,0.432,0.645,0.743,0.51,-0.005,-2.393,0.438,-0.022,-0.065,-0.248,-8.225,-2.86,-0.078,-0.695,0.12,0.071,0.554,0.588,0.299,0.301,-0.57,-9.544,0.297,0.575,0.705,0.314,-0.156,0.374,0.116,-0.171,-6.037,0.308,0.284,-20.833,0.031,0.392,-10.948,0.046,-5.057,-0.068,0.559,-4.933,-0.295,0.063,-0.731,-1.78,0.454,-16.576,0.133,0.58,0.448,0.322,0.212,-1.972,0.276,0.537,0.585,0.368,-0.53,0.506,0.544,0.046,0.484,-0.329,0.119,-75.091,0.564,-1.539,-0.212,0.703,0.067,0.508,-1.607,0.256,0.659,-0.34,-68.117,-4.317,0.276,0.576,0.107,0.556,-3.347,0.11,-2.354,0.518,0.464,0.57,-2.471,0.455
0.10,0.48,0.597,0.185,-0.248,-4.224,0.545,0.475,0.585,0.155,0.507,0.79,-0.069,0.522,0.52,-0.144,0.534,0.306,0.65,0.046,0.496,0.732,0.042,0.364,-0.51,0.407,0.642,0.557,0.18,0.541,0.238,0.582,0.712,0.374,0.875,0.67,0.645,0.297,0.559,-0.065,0.806,0.129,0.569,0.426,0.489,0.631,0.321,0.191,0.179,0.512,0.731,-0.286,-1.711,0.473,0.483,0.605,0.275,0.144,0.517,0.82,0.506,0.886,0.079,0.609,0.456,0.722,0.654,0.463,0.737,0.602,0.343,0.693,0.689,0.672,-3.607,0.413,0.787,0.513,0.332,0.474,0.614,-1.99,0.634,0.493,0.428,0.852,0.662,-0.804,-0.697,0.081,0.593,-0.737,0.703,0.477,-1.66,0.169,-23.24,0.576,0.328,0.688,0.143
0.15,0.87,0.691,-0.668,0.407,0.635,0.597,0.286,0.749,0.916,0.648,0.673,0.857,0.914,0.893,0.328,0.668,0.878,0.934,0.824,0.742,0.052,-0.602,0.653,0.775,0.562,0.917,0.475,0.656,0.505,0.44,0.829,0.217,0.631,0.917,0.683,0.647,0.556,0.575,0.865,0.449,0.913,0.817,0.579,0.6,0.482,0.184,0.603,0.426,0.639,0.78,0.61,0.592,0.589,0.58,0.717,0.777,0.254,0.774,0.888,0.813,0.585,0.416,0.061,0.386,0.87,0.654,0.663,0.696,0.787,0.715,0.738,0.667,0.76,0.731,0.493,0.836,0.647,0.654,0.705,0.763,0.847,0.156,0.911,0.601,0.791,0.879,0.224,0.43,0.508,0.894,0.167,0.646,0.296,0.927,0.888,0.636,0.879,0.846,0.701,0.433
0.20,0.676,0.809,0.906,0.834,0.906,0.62,0.934,0.819,0.693,0.88,0.671,0.931,0.915,0.894,0.693,0.939,0.872,0.958,0.942,0.848,0.895,0.843,0.802,0.722,0.893,0.825,0.912,0.849,0.911,0.568,0.832,0.801,0.745,0.806,0.897,0.632,0.903,0.937,0.842,0.902,0.942,0.934,0.8,0.763,0.947,0.794,0.756,0.674,0.365,0.93,0.917,0.888,0.602,0.939,0.919,0.72,0.648,0.744,0.914,0.662,0.905,0.502,0.649,0.694,0.897,0.934,0.89,0.942,0.711,0.682,0.859,0.685,0.905,0.749,0.907,0.898,0.462,0.917,0.886,0.884,0.894,0.61,0.914,0.651,0.913,0.89,0.957,0.895,0.86,0.784,0.703,0.689,0.742,0.69,0.953,0.782,0.458,0.931,0.889,0.7
0.25,0.931,0.956,0.937,0.616,0.929,0.687,0.932,0.718,0.933,0.959,0.542,0.931,0.4,0.712,0.791,0.874,0.937,0.924,0.926,0.912,0.631,0.748,0.899,0.918,0.936,0.945,0.776,0.936,0.806,0.765,0.705,0.872,0.59,0.899,0.911,0.851,0.917,0.899,0.576,0.92,0.91,0.925,0.75,0.664,0.945,0.707,0.674,0.858,0.954,0.905,0.905,0.663,0.727,0.959,0.951,0.954,0.881,0.935,0.947,0.706,0.884,0.645,0.688,0.772,0.926,0.908,0.473,0.952,0.964,0.93,0.673,0.706,0.823,0.944,0.928,0.915,0.913,0.911,0.954,0.813,0.608,0.956,0.94,0.759,0.899,0.873,0.935,0.959,0.888,0.827,0.193,0.929,0.892,0.319,0.956,0.915,0.825,0.931,0.947,0.95
0.30,0.908,0.955,0.946,0.663,0.904,0.596,0.957,0.909,0.95,0.964,0.948,0.942,0.959,0.929,0.776,0.952,0.881,0.959,0.942,0.952,0.945,0.779,0.916,0.933,0.96,0.961,0.776,0.846,0.691,0.625,0.949,0.924,0.957,0.964,-0.787,0.93,0.948,0.97,0.949,0.917,0.967,0.889,0.952,0.912,0.959,0.771,0.796,0.942,0.904,0.91,0.949,0.909,0.836,0.765,0.959,0.59,0.718,0.782,0.946,0.947,0.696,0.899,0.908,0.782,0.949,0.86,0.881,0.928,0.954,0.786,0.898,0.91,0.968,0.94,0.958,0.9,0.962,0.912,0.928,0.849,0.83,0.95,0.937,0.955,0.934,0.89,0.909,0.952,0.937,0.9,0.966,0.898,0.927,0.969,0.963,0.741,0.958,0.949,0.938,0.955
0.35,0.966,0.795,0.93,0.956,0.942,0.887,0.955,0.742,0.975,0.933,0.909,0.943,0.937,0.746,0.807,0.942,0.933,0.962,0.943,0.98,0.869,0.802,0.853,0.947,0.966,0.926,0.911,0.942,0.958,0.758,0.977,0.972,0.933,0.753,0.887,0.871,0.977,0.973,0.959,0.961,0.768,0.947,0.741,0.926,0.967,0.765,0.819,0.914,0.938,0.945,0.856,0.932,0.885,0.958,0.93,0.903,0.975,0.835,0.978,0.982,0.824,0.591,0.966,0.935,0.937,0.929,0.949,0.949,0.971,0.777,0.939,0.927,0.928,0.944,0.973,0.959,0.962,0.954,0.942,0.925,0.961,0.963,0.951,0.854,0.937,0.941,0.908,0.968,0.976,0.817,0.97,0.934,0.955,0.882,0.948,0.974,0.954,0.967,0.976,0.968
0.40,0.95,0.956,0.978,0.878,0.972,0.957,0.949,0.778,0.952,0.961,0.941,0.971,0.979,0.789,0.923,0.837,0.878,0.958,0.951,0.957,0.979,0.954,0.905,0.881,0.948,0.959,0.967,0.958,0.95,0.963,0.414,0.962,0.946,0.843,0.932,0.973,0.956,0.977,0.954,0.94,0.956,0.954,0.938,0.957,0.974,0.694,0.966,0.946,0.964,0.956,0.921,0.941,0.747,0.959,0.791,0.686,0.95,0.957,0.956,0.635,0.961,0.973,0.922,0.958,0.923,0.976,0.952,0.953,0.981,0.969,0.967,0.957,0.941,0.979,0.952,0.943,0.94,0.93,0.945,0.907,0.972,0.967,0.923,0.933,0.836,0.971,0.96,0.958,0.95,0.948,0.974,0.973,0.966,0.959,0.976,0.681,0.952,0.961,0.798,0.939
0.45,0.959,0.978,0.974,0.889,0.947,0.761,0.97,0.976,0.968,0.978,0.979,0.972,0.973,0.971,0.952,0.954,0.958,0.973,0.969,0.934,0.965,0.961,0.928,0.959,0.951,0.975,0.96,0.917,0.968,0.96,0.967,0.813,0.847,0.918,0.952,0.943,0.923,0.924,0.968,0.966,0.949,0.969,0.918,0.977,0.979,0.732,0.961,0.967,0.933,0.958,0.81,0.95,0.76,0.966,0.555,0.951,0.98,0.953,0.963,0.93,0.944,0.955,0.722,0.769,0.832,0.966,0.966,0.937,0.951,0.945,0.969,0.967,0.972,0.969,0.944,0.963,0.931,0.969,0.959,0.954,0.97,0.975,0.966,0.949,0.971,0.952,0.971,0.987,0.847,0.971,0.967,0.955,0.746,0.889,0.968,0.924,0.961,0.962,0.93,0.973
0.50,0.982,0.963,0.983,0.965,0.803,0.971,0.978,0.957,0.967,0.966,0.972,0.955,0.972,0.968,0.971,0.936,0.971,0.959,0.971,0.959,0.963,0.946,0.971,0.851,0.981,0.971,0.979,0.956,0.949,0.972,0.961,0.958,0.97,0.829,0.962,0.97,0.98,0.976,0.971,0.924,0.841,0.976,0.831,0.954,0.977,0.963,0.936,0.976,0.973,0.972,0.931,0.963,0.945,0.951,0.682,0.963,0.968,0.829,0.925,0.855,0.967,0.95,0.956,0.963,0.932,0.737,0.799,0.963,0.983,0.977,0.974,0.971,0.974,0.965,0.944,0.961,0.981,0.973,0.955,0.951,0.95,0.975,0.971,0.968,0.983,0.979,0.977,0.97,0.968,0.971,0.98,0.969,0.978,0.845,0.945,0.98,0.968,0.97,0.98,0.977
