ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.034,0.404,-1.456,-0.273,-3.504,0.516,0.543,0.365,0.497,-0.026,-0.291,0.398,0.082,-7.282,-0.982,-0.547,0.556,0.005,-1.905,0.346,0.341,-5.869,-0.74,-5.912,-3.918,0.421,0.333,0.087,-0.012,-0.341,0.267,0.286,-1.424,0.52,-0.001,0.448,-0.542,-0.032,-0.256,0.628,0.147,0.557,0.334,0.256,-1.538,0.164,0.155,-0.179,-0.087,-2.599,0.543,-2.528,-0.762,-0.697,0.032,-6.019,-1.17,-1.781,-0.532,-0.268,-0.239,0.449,0.244,-0.483,0.298,-0.039,0.568,-0.444,-13.032,-0.944,-1.476,-0.002,0.419,0.292,0.055,-3.657,0.636,0.074,-2.912,-0.243,0.471,-3.939,0.078,0.489,-1.466,-6.346,-0.173,0.097,0.512,0.388,0.191,0.601,-4.096,0.167,0.246,0.497,0.614,0.087,0.368,0.134
0.10,0.353,0.676,-1.379,0.797,0.465,0.721,0.011,0.558,0.731,0.119,0.177,0.595,0.574,0.553,0.324,-1.401,0.57,0.637,0.606,0.717,0.524,0.776,0.499,0.729,0.625,0.588,0.387,0.338,0.289,0.861,0.603,0.384,0.146,-6.307,0.383,0.339,0.222,-0.122,-0.958,0.35,0.877,0.475,0.487,-2.469,-0.166,-0.174,0.661,0.513,-15.512,0.075,0.63,0.31,0.098,0.441,0.636,0.632,0.36,0.376,0.529,-0.99,0.01,0.094,0.768,0.51,0.517,0.539,0.381,-0.65,0.085,-0.212,0.534,0.24,0.338,0.437,0.678,0.632,0.716,0.496,0.697,0.445,0.503,0.699,0.671,0.159,0.064,0.649,0.556,0.649,0.081,0.263,-0.271,0.315,0.575,0.505,0.4,0.626,0.567,0.417,0.29,0.597
0.15,0.357,0.771,0.612,0.866,0.926,0.932,0.775,0.858,0.746,0.769,0.649,0.672,0.697,0.192,0.726,0.876,0.606,0.603,0.619,0.488,0.651,0.906,0.792,0.919,0.602,0.638,0.656,0.454,0.803,0.795,0.95,0.688,0.639,0.713,0.764,0.627,0.94,0.865,0.809,0.722,0.9,0.673,0.324,0.839,-1.62,0.891,0.385,0.587,0.648,0.785,-0.168,0.678,0.517,0.388,0.875,0.914,0.854,0.854,0.594,0.941,0.578,0.855,0.727,0.329,0.794,0.633,0.265,0.625,0.465,0.855,0.698,0.604,0.703,0.921,0.653,0.924,0.726,0.935,0.035,0.673,0.872,0.732,0.706,0.869,0.424,0.723,0.643,0.768,0.901,0.73,0.779,0.458,0.579,0.703,0.593,0.575,0.544,0.605,0.643,0.624
0.20,0.859,0.725,0.911,0.938,0.78,0.682,0.946,0.624,0.627,0.932,0.814,0.596,0.566,0.43,0.496,0.902,0.947,0.91,0.921,0.94,0.92,0.947,0.926,0.916,0.91,0.898,0.628,0.9,0.725,0.952,0.905,0.787,0.488,0.622,0.823,0.662,0.916,0.896,0.906,0.594,0.917,0.949,0.777,0.89,-1.052,0.813,0.725,0.884,0.851,0.455,0.909,0.648,0.945,0.875,0.71,0.923,0.902,0.826,0.618,0.933,0.565,0.754,0.906,0.515,0.722,0.285,0.904,0.902,0.797,0.86,0.796,0.945,0.889,0.418,0.841,0.889,0.896,0.719,0.919,0.905,0.716,0.938,0.711,0.829,0.836,0.856,0.91,0.798,0.936,0.918,0.79,0.743,0.481,0.419,0.721,0.691,0.612,0.961,0.882,0.709
0.25,0.928,0.859,0.746,0.857,0.893,0.751,0.802,0.773,0.593,0.923,0.9,0.969,0.922,0.972,0.932,0.935,0.721,0.894,0.939,0.943,0.724,0.951,0.946,0.961,0.864,0.888,0.608,0.708,0.708,0.883,0.894,0.821,0.772,-0.006,0.963,0.842,0.946,0.954,0.701,0.873,0.875,0.95,0.894,0.636,0.932,0.932,0.955,0.939,0.587,0.901,0.769,0.706,0.773,0.828,0.904,0.937,0.959,0.926,0.935,0.911,0.812,0.579,0.491,0.715,0.898,0.781,0.952,0.568,0.936,0.867,0.661,0.363,0.615,0.931,0.931,0.903,0.691,0.934,0.929,0.951,0.723,0.797,0.717,0.93,0.837,0.911,0.925,0.911,0.92,0.888,0.806,0.881,0.815,0.76,0.706,0.938,0.899,0.88,0.761,0.855
0.30,0.796,0.803,0.953,0.893,0.952,0.96,0.937,0.957,0.95,0.962,0.958,0.767,0.709,0.971,0.715,0.843,0.725,0.909,0.916,0.791,0.965,0.809,0.955,0.904,0.916,0.886,0.864,0.943,0.604,0.694,0.957,0.963,0.469,0.96,0.719,0.788,0.975,0.92,0.96,0.76,0.966,0.96,0.956,0.805,0.911,0.848,0.925,0.904,0.951,0.766,0.916,0.941,0.962,0.731,0.921,0.951,0.924,0.797,0.951,0.936,0.955,0.959,0.892,0.921,0.861,0.969,0.968,0.798,0.597,0.942,0.814,0.95,0.913,0.965,0.866,0.955,0.851,0.941,0.958,0.937,0.735,0.927,0.938,0.967,0.907,0.948,0.737,0.958,0.747,0.631,0.946,0.725,0.806,0.947,0.743,0.931,0.88,0.861,0.624,0.963
0.35,0.868,0.87,0.972,0.97,0.947,0.802,0.946,0.924,0.967,0.975,0.258,0.972,0.947,0.937,0.974,0.946,0.936,0.966,0.943,0.96,0.94,0.937,0.976,0.944,0.744,0.901,0.811,0.959,0.747,0.967,0.924,0.969,0.966,0.954,0.959,0.945,0.926,0.958,0.942,0.734,0.971,0.959,0.96,0.948,0.947,0.942,0.857,0.887,0.887,0.927,0.957,0.935,0.818,0.971,0.966,0.959,0.917,0.77,0.962,0.942,0.952,0.961,0.83,0.932,0.899,0.953,0.974,0.76,0.964,0.809,0.909,0.932,0.955,0.971,0.959,0.95,0.915,0.954,0.964,0.934,0.735,0.921,0.956,0.969,0.759,0.973,0.785,0.967,0.948,0.734,0.649,0.808,0.797,0.905,0.917,0.952,0.912,0.734,0.711,0.964
0.40,0.714,0.855,0.974,0.776,0.975,0.931,0.946,0.976,0.963,0.963,0.978,0.98,0.943,0.806,0.945,0.944,0.968,0.958,0.944,0.947,0.969,0.959,0.939,0.964,0.921,0.645,0.922,0.965,0.764,0.799,0.965,0.975,0.974,0.952,0.738,0.959,0.924,0.974,0.963,0.969,0.977,0.934,0.959,0.973,0.963,0.958,0.96,0.972,0.92,0.966,0.942,0.808,0.916,0.969,0.942,0.966,0.957,0.759,0.947,0.942,0.964,0.731,0.968,0.962,0.947,0.953,0.968,0.95,0.972,0.956,0.982,0.874,0.964,0.961,0.972,0.972,0.98,0.971,0.972,0.975,0.932,0.969,0.701,0.954,0.755,0.962,0.735,0.71,0.838,0.959,0.763,0.939,0.964,0.914,0.953,0.953,0.965,0.963,0.971,0.943
0.45,0.98,0.823,0.739,0.959,0.962,0.967,0.935,0.972,0.863,0.956,0.96,0.96,0.957,0.938,0.8,0.908,0.985,0.941,0.963,0.961,0.959,0.946,0.964,0.933,0.881,0.985,0.97,0.911,0.793,0.944,0.97,0.736,0.962,0.965,0.952,0.938,0.962,0.914,0.954,0.964,0.972,0.956,0.934,0.983,0.976,0.96,0.959,0.975,0.953,0.977,0.971,0.936,0.967,0.979,0.964,0.95,0.935,0.934,0.938,0.966,0.762,0.961,0.949,0.953,0.869,0.956,0.972,0.968,0.968,0.706,0.944,0.964,0.953,0.965,0.968,0.858,0.969,0.943,0.959,0.948,0.769,0.959,0.963,0.961,0.938,0.966,0.955,0.975,0.975,0.941,0.95,0.94,0.942,0.951,0.965,0.944,0.939,0.941,0.978,0.98
0.50,0.971,0.775,0.982,0.871,0.914,0.949,0.96,0.983,0.929,0.967,0.978,0.969,0.964,0.952,0.971,0.935,0.976,0.955,0.973,0.974,0.96,0.874,0.964,0.969,0.977,0.973,0.942,0.953,0.827,0.969,0.986,0.967,0.954,0.966,0.972,0.951,0.967,0.956,0.808,0.732,0.965,0.916,0.982,0.969,0.954,0.975,0.968,0.976,0.96,0.976,0.95,0.764,0.954,0.863,0.969,0.978,0.931,0.977,0.947,0.965,0.747,0.953,0.968,0.952,0.978,0.968,0.972,0.746,0.772,0.965,0.784,0.954,0.804,0.986,0.83,0.825,0.978,0.98,0.96,0.971,0.794,0.954,0.956,0.968,0.927,0.957,0.966,0.96,0.982,0.734,0.964,0.965,0.737,0.985,0.974,0.93,0.982,0.931,0.974,0.852
