ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.658,0.716,0.828,0.484,0.885,0.57,0.754,0.809,0.66,0.708,0.645,0.875,0.796,0.836,0.866,0.744,0.857,0.676,0.69,0.773,0.863,0.842,0.784,0.629,0.798,0.749,0.728,0.81,0.795,0.802,0.771,0.665,0.844,0.791,0.868,0.708,0.791,0.705,0.805,0.526,0.755,0.895,0.856,0.685,0.753,0.849,0.864,0.774,0.717,0.747,0.764,0.79,0.48,0.611,0.805,0.697,0.612,0.843,0.746,0.756,0.687,0.856,0.713,0.87,0.818,0.803,0.817,0.713,0.804,0.838,0.662,0.794,0.804,0.673,0.808,0.712,0.812,0.795,0.643,0.744,0.635,0.859,0.801,0.801,0.866,0.866,0.705,0.77,0.758,0.578,0.736,0.665,0.797,0.779,0.497,0.416,0.824,0.754,0.685,0.802
0.10,0.21,0.839,0.503,0.9,0.833,0.741,0.912,0.876,0.903,0.922,0.833,0.829,0.792,0.916,0.86,0.925,0.828,0.851,0.919,0.922,0.887,0.914,0.856,0.898,0.788,0.895,0.813,0.909,0.87,0.847,0.828,0.867,0.927,0.951,0.917,0.666,0.819,0.821,0.826,0.897,0.909,0.873,0.861,0.919,-0.127,0.919,0.882,0.322,0.84,0.866,0.836,0.759,0.77,0.813,0.668,0.773,0.859,0.591,0.825,0.898,0.886,0.862,0.738,0.861,0.927,0.882,0.856,0.854,0.889,0.873,0.827,0.936,0.823,0.92,0.913,0.889,0.86,0.812,0.779,0.894,0.929,0.821,0.775,0.844,0.906,0.9,0.83,0.786,0.863,0.558,0.902,0.903,0.399,0.859,0.829,0.813,0.913,0.905,0.756,0.804
0.15,0.539,0.883,0.698,0.865,0.919,0.897,0.946,0.872,0.902,0.892,0.833,0.945,0.924,0.909,0.779,0.92,0.9,0.826,0.812,0.881,0.892,0.911,0.875,0.918,0.92,0.893,0.826,0.892,0.907,0.895,0.653,0.906,0.853,0.906,0.902,0.909,0.911,0.904,0.931,0.759,0.843,0.801,0.83,0.868,0.904,-0.17,0.923,0.917,0.847,0.893,0.838,0.911,0.872,0.914,0.911,0.739,0.922,0.93,0.938,0.886,0.792,0.71,0.758,0.936,0.882,0.912,0.9,0.893,0.881,0.905,0.938,0.92,0.869,0.725,0.94,0.92,0.931,0.818,0.908,0.778,0.911,0.892,0.912,0.925,0.923,0.929,0.929,0.706,0.823,0.58,0.882,0.908,0.891,0.901,0.848,0.903,0.897,0.922,0.91,0.842
0.20,0.912,0.752,0.731,0.786,0.91,0.941,0.933,0.935,0.88,0.917,0.912,0.91,0.922,0.931,0.944,0.904,0.928,0.89,0.915,0.937,0.938,0.944,0.842,0.945,0.878,0.942,0.756,0.928,0.943,0.847,0.896,0.728,0.92,0.922,0.876,0.853,0.891,0.777,0.893,0.921,0.888,0.92,0.923,0.917,0.926,0.787,0.947,0.942,0.842,0.609,0.936,0.887,0.934,0.836,0.82,0.586,0.941,0.839,0.911,0.937,0.911,0.932,0.959,0.886,0.802,0.895,0.949,0.805,0.92,0.861,0.881,0.856,0.873,0.945,0.953,0.805,0.929,0.938,0.909,0.859,0.916,0.776,0.945,0.913,0.81,0.897,0.962,0.859,0.95,0.936,0.913,0.912,0.82,0.929,0.894,0.928,0.949,0.854,0.863,0.923
0.25,0.94,0.836,0.919,0.929,0.931,0.913,0.952,0.934,0.868,0.853,0.883,0.902,0.945,0.919,0.923,0.939,0.887,0.958,0.9,0.928,0.927,0.802,0.884,0.824,0.763,0.946,0.95,0.89,0.91,0.896,0.918,0.879,0.918,0.952,0.9,0.927,0.94,0.912,0.919,0.913,0.946,0.881,0.248,0.839,0.915,0.931,0.952,0.927,0.907,0.883,0.944,0.936,0.833,0.89,0.908,0.956,0.955,0.951,0.955,0.94,0.957,0.865,0.874,0.805,0.81,0.903,0.932,0.849,0.92,0.907,0.951,0.854,0.948,0.884,0.887,0.946,0.95,0.886,0.922,0.939,0.943,0.966,0.909,0.937,0.92,0.868,0.909,0.86,0.88,0.879,0.92,0.936,0.855,0.862,0.942,0.884,0.844,0.935,0.88,0.951
0.30,0.925,0.882,0.926,0.954,0.943,0.947,0.959,0.826,0.903,0.922,0.911,0.898,0.949,0.953,0.937,0.955,0.929,0.951,0.95,0.961,0.957,0.926,0.942,0.932,0.934,0.947,0.943,0.927,0.943,0.952,0.937,0.939,0.936,0.942,0.94,0.855,0.937,0.921,0.94,0.807,0.784,0.918,0.954,0.945,0.918,0.866,0.957,0.963,0.777,0.933,0.948,0.953,0.828,0.958,0.943,0.946,0.924,0.926,0.953,0.937,0.953,0.9,0.926,0.926,0.891,0.947,0.948,0.945,0.952,0.93,0.929,-0.203,0.959,0.925,0.954,0.965,0.948,0.936,0.958,0.929,0.926,0.944,0.94,0.892,0.911,0.909,0.936,0.882,0.931,0.952,0.96,0.923,0.928,0.678,0.961,0.943,0.886,0.951,0.844,0.95
0.35,0.941,0.949,0.913,0.911,0.963,0.93,0.963,0.796,0.932,0.92,0.938,0.897,0.949,0.962,0.944,0.96,0.955,0.972,0.935,0.949,0.946,0.914,0.935,0.961,0.94,0.908,0.831,0.95,0.957,0.935,0.939,0.935,0.935,0.968,0.946,0.963,0.957,0.934,0.945,0.88,0.851,0.956,0.952,0.932,0.951,0.944,0.954,0.968,0.887,0.905,0.957,0.946,0.962,0.931,0.93,0.956,0.948,0.944,0.91,0.943,0.96,0.907,0.952,0.954,0.82,0.938,0.949,0.755,0.942,0.936,0.895,0.904,0.957,0.942,0.947,0.948,0.949,0.943,0.966,0.885,0.938,0.959,0.899,0.944,0.929,0.868,0.962,0.955,0.936,0.804,0.963,0.959,0.885,0.771,0.941,0.895,0.961,0.906,0.921,0.969
0.40,0.957,0.95,0.935,0.963,0.963,0.958,0.951,0.957,0.939,0.952,0.966,0.944,0.93,0.96,0.96,0.957,0.918,0.966,0.957,0.93,0.951,0.934,0.909,0.96,0.927,0.954,0.946,0.94,0.961,0.936,0.937,0.965,0.945,0.913,0.95,0.969,0.946,0.962,0.961,0.932,0.943,0.956,0.951,0.942,0.949,0.905,0.95,0.941,0.952,0.956,0.951,0.943,0.957,0.905,0.967,0.884,0.952,0.961,0.944,0.961,0.944,0.958,0.955,0.963,0.916,0.948,0.919,0.949,0.944,0.868,0.955,0.932,0.922,0.952,0.961,0.948,0.856,0.917,0.968,0.94,0.946,0.905,0.955,0.956,0.966,0.93,0.967,0.962,0.967,0.938,0.963,0.946,0.927,0.957,0.95,0.953,0.942,0.954,0.946,0.936
0.45,0.96,0.966,0.94,0.961,0.967,0.958,0.956,0.953,0.953,0.96,0.97,0.942,0.963,0.959,0.952,0.96,0.929,0.962,0.947,0.908,0.955,0.885,0.956,0.876,0.952,0.951,0.966,0.962,0.965,0.947,0.919,0.966,0.8,0.979,0.954,0.964,0.939,0.947,0.954,0.94,0.913,0.961,0.954,0.943,0.955,0.953,0.962,0.943,0.939,0.956,0.968,0.967,0.957,0.979,0.968,0.957,0.958,0.965,0.921,0.955,0.952,0.954,0.947,0.96,0.942,0.912,0.952,0.955,0.96,0.896,0.974,0.919,0.972,0.967,0.955,0.922,0.92,0.924,0.955,0.966,0.959,0.966,0.953,0.958,0.943,0.948,0.968,0.962,0.963,0.94,0.961,0.963,0.947,0.962,0.957,0.961,0.959,0.949,0.949,0.942
0.50,0.962,0.941,0.938,0.962,0.972,0.952,0.96,0.958,0.94,0.962,0.954,0.947,0.959,0.969,0.961,0.969,0.962,0.969,0.96,0.962,0.957,0.941,0.966,0.964,0.958,0.975,0.945,0.945,0.957,0.977,0.83,0.969,0.958,0.971,0.94,0.972,0.962,0.955,0.969,0.964,0.974,0.968,0.964,0.952,0.98,0.969,0.965,0.958,0.956,0.961,0.959,0.934,0.954,0.955,0.964,0.875,0.958,0.966,0.967,0.933,0.963,0.948,0.954,0.963,0.929,0.967,0.966,0.948,0.96,0.971,0.973,0.898,0.961,0.962,0.964,0.931,0.921,0.957,0.961,0.958,0.951,0.95,0.943,0.938,0.97,0.953,0.963,0.959,0.955,0.967,0.974,0.952,0.94,0.961,0.958,0.847,0.933,0.948,0.941,0.966
