ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.854,0.612,0.597,0.797,0.806,0.885,0.793,0.388,-0.884,0.783,0.867,0.721,0.845,0.632,0.516,0.443,0.798,0.815,0.552,0.823,0.824,0.794,0.799,0.853,0.838,0.791,0.692,0.494,0.86,0.782,0.748,0.583,0.848,0.867,0.774,0.885,0.786,0.792,0.646,0.779,0.892,0.705,0.78,0.747,0.862,0.697,0.868,0.846,0.936,0.797,0.78,0.884,0.843,0.661,0.821,0.584,0.654,0.843,0.902,0.562,0.773,0.83,0.742,0.724,0.833,-0.225,0.831,0.751,0.785,0.76,0.846,0.787,0.687,0.658,0.677,0.782,0.862,-3.574,0.854,0.837,0.659,0.898,0.785,0.764,0.736,0.762,0.741,0.69,0.819,0.837,0.789,0.752,0.85,0.836,0.573,0.82,0.911,0.536,0.725,0.885
0.10,0.888,0.832,0.245,0.731,0.901,0.9,0.8,0.846,0.85,0.92,0.911,0.852,0.871,0.777,0.902,0.805,0.847,0.897,0.93,0.838,0.751,0.896,0.801,0.898,0.865,0.869,0.879,0.832,0.816,0.863,0.897,0.908,0.844,0.859,0.925,0.797,0.835,0.931,0.874,0.896,0.891,0.899,0.94,0.773,0.874,0.897,0.904,0.766,0.918,0.763,0.884,0.919,0.911,0.882,0.734,0.864,0.877,0.885,0.875,0.809,0.839,0.879,0.69,0.92,0.797,0.839,0.874,0.735,0.866,0.876,0.878,0.821,0.928,0.83,0.832,0.893,0.95,0.645,0.909,0.932,0.426,0.823,0.852,0.91,0.81,0.87,0.892,0.899,0.806,0.892,0.881,0.855,0.837,0.849,0.863,0.9,0.862,0.852,0.86,0.819
0.15,0.836,0.938,0.86,0.91,0.919,0.516,0.904,0.897,0.912,0.909,0.795,0.851,0.926,0.921,0.889,0.799,0.913,0.887,0.936,0.884,0.822,0.894,0.836,0.907,0.884,0.89,0.836,0.902,0.896,0.752,0.856,0.887,0.596,0.891,0.853,0.915,0.801,0.932,0.866,0.774,0.873,0.906,0.917,-0.156,0.813,0.862,0.929,0.82,0.862,0.831,0.837,0.946,0.879,0.733,0.919,0.89,0.865,0.883,0.934,0.878,0.754,0.902,0.852,0.909,0.888,0.885,0.898,0.902,0.817,0.94,0.877,0.821,0.81,0.896,0.88,0.955,0.948,0.942,0.934,0.91,0.911,0.866,0.635,0.868,0.926,0.753,0.927,0.885,0.896,0.908,0.853,0.893,0.848,0.847,0.876,0.918,0.833,0.887,0.917,0.576
0.20,0.91,0.96,0.901,0.873,0.808,0.937,0.907,0.859,0.89,0.929,0.943,0.903,0.937,0.923,0.925,0.881,0.902,0.905,0.933,0.874,0.926,0.903,0.947,0.891,0.859,0.936,0.785,0.877,0.935,0.905,0.771,0.799,0.807,0.897,0.927,0.832,0.762,0.96,0.879,0.935,0.924,0.92,0.915,0.755,0.925,0.931,0.908,0.901,0.743,0.82,0.894,0.917,0.945,0.944,0.834,0.899,0.919,0.917,0.841,0.674,0.879,0.927,0.925,0.931,0.875,0.895,0.913,0.939,0.929,0.919,0.848,0.886,0.847,0.878,0.886,0.94,0.94,0.886,0.955,0.908,0.815,0.754,0.835,0.876,0.904,0.779,0.901,0.908,0.833,0.931,0.924,0.926,0.954,0.822,0.947,0.691,0.84,0.932,0.927,0.921
0.25,0.915,0.898,0.946,0.83,0.929,0.815,0.954,0.918,0.951,0.955,0.938,0.843,0.945,0.922,0.924,0.925,0.956,0.925,0.894,0.904,0.901,0.888,0.881,0.959,0.857,0.954,0.94,0.955,0.919,0.719,0.618,0.908,0.939,0.912,0.917,0.903,0.914,0.944,0.887,0.957,0.955,0.779,0.916,0.922,0.922,0.935,0.817,0.92,0.878,0.914,0.956,0.947,0.924,0.945,0.954,0.833,0.905,0.905,0.911,0.937,0.944,0.94,0.901,0.937,0.924,0.741,0.925,0.887,0.916,0.958,0.867,0.917,0.919,0.941,0.905,0.957,0.951,0.921,0.919,0.904,0.813,0.945,0.889,0.766,0.953,0.787,0.868,0.879,0.886,0.947,0.901,0.938,0.908,0.939,0.934,0.836,0.926,0.938,0.912,0.878
0.30,0.936,0.92,0.911,0.918,0.945,0.909,0.953,0.944,0.944,0.95,0.943,0.954,0.956,0.907,0.908,0.944,0.95,0.923,0.933,0.952,0.89,0.954,0.967,0.932,0.875,0.964,0.91,0.945,0.92,0.638,0.874,0.944,0.957,0.914,0.957,0.961,0.91,0.962,0.962,0.905,0.968,0.935,0.959,0.864,0.909,0.954,0.945,0.941,0.934,0.946,0.93,0.949,0.936,0.897,0.468,0.952,0.912,0.898,0.926,0.75,0.922,0.936,0.915,0.962,0.915,0.923,0.945,0.916,0.925,0.955,0.925,0.921,0.902,0.915,0.945,0.958,0.95,0.922,0.959,0.94,0.911,0.956,0.886,0.945,0.944,0.744,0.944,0.932,0.928,0.931,0.828,0.906,0.955,0.935,0.939,0.811,0.952,0.944,0.897,0.935
0.35,0.958,0.952,0.944,0.916,0.974,0.876,0.953,0.961,0.936,0.932,0.945,0.949,0.948,0.963,0.919,0.96,0.961,0.935,0.907,0.878,0.968,0.948,0.969,0.957,0.935,0.947,0.943,0.944,0.893,0.934,0.96,0.947,0.929,0.724,0.951,0.946,0.911,0.966,0.96,0.932,0.954,0.925,0.945,0.953,0.916,0.963,0.932,0.961,0.951,0.917,0.972,0.954,0.948,0.962,0.905,0.953,0.961,0.952,0.662,0.879,0.971,0.929,0.932,0.958,0.928,0.948,0.92,0.951,0.943,0.958,0.864,0.956,0.938,0.95,0.949,0.959,0.956,0.88,0.956,0.925,0.892,0.925,0.956,0.954,0.94,0.89,0.958,0.948,0.919,0.921,0.952,0.957,0.958,0.957,0.956,0.948,0.94,0.683,0.949,0.961
0.40,0.957,0.94,0.962,0.97,0.965,0.966,0.949,0.96,0.945,0.953,0.956,0.952,0.946,0.957,0.947,0.956,0.964,0.95,0.958,0.932,0.969,0.948,0.963,0.949,0.945,0.962,0.954,0.954,0.925,0.944,0.94,0.873,0.963,0.926,0.965,0.969,0.917,0.972,0.965,0.941,0.964,0.928,0.95,0.971,0.87,0.94,0.937,0.958,0.957,0.941,0.936,0.964,0.969,0.962,0.963,0.684,0.968,0.956,0.96,0.956,0.963,0.925,0.958,0.946,0.942,0.935,0.95,0.963,0.936,0.965,0.868,0.957,0.899,0.949,0.957,0.969,0.963,0.93,0.956,0.962,0.954,0.96,0.959,0.944,0.929,0.949,0.937,0.917,0.96,0.952,0.964,0.949,0.939,0.884,0.947,0.963,0.957,0.261,0.913,0.933
0.45,0.936,0.945,0.964,0.966,0.969,0.959,0.954,0.97,0.961,0.952,0.95,0.952,0.956,0.959,0.963,0.967,0.957,0.958,0.958,0.933,0.942,0.945,0.968,0.967,0.946,0.966,0.937,0.971,0.907,0.95,0.927,0.932,0.96,0.932,0.969,0.951,0.939,0.97,0.967,0.951,0.965,0.847,0.969,0.971,0.963,0.962,0.95,0.953,0.952,0.937,0.961,0.971,0.96,0.95,0.956,0.96,0.945,0.96,0.954,0.915,0.964,0.959,0.954,0.95,0.96,0.951,0.963,0.943,0.954,0.963,0.953,0.967,0.821,0.959,0.959,0.969,0.966,0.946,0.96,0.958,0.965,0.912,0.915,0.953,0.962,0.935,0.974,0.936,0.945,0.946,0.952,0.964,0.953,0.965,0.967,0.963,0.965,0.947,0.891,0.964
0.50,0.959,0.955,0.943,0.969,0.977,0.971,0.934,0.964,0.956,0.967,0.979,0.957,0.963,0.971,0.968,0.971,0.945,0.976,0.957,0.943,0.947,0.947,0.962,0.969,0.961,0.944,0.935,0.967,0.971,0.97,0.936,0.964,0.964,0.973,0.958,0.972,0.945,0.961,0.948,0.947,0.974,0.943,0.97,0.96,0.958,0.96,0.969,0.961,0.943,0.943,0.959,0.971,0.96,0.96,0.973,0.962,0.971,0.955,0.956,0.97,0.966,0.957,0.968,0.962,0.951,0.916,0.957,0.959,0.958,0.964,0.969,0.962,0.915,0.967,0.952,0.94,0.947,0.966,0.969,0.969,0.971,0.933,0.938,0.948,0.961,0.947,0.967,0.935,0.961,0.951,0.943,0.955,0.965,0.966,0.974,0.968,0.96,0.931,0.971,0.954
