ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-0.063,0.82,0.791,0.636,0.854,0.657,0.771,0.619,0.515,0.776,0.857,0.809,0.758,0.869,0.722,0.877,0.836,0.629,0.832,0.747,-0.069,0.676,0.785,0.847,0.778,0.786,0.737,0.682,-0.546,0.888,0.785,0.72,0.694,0.804,0.679,0.759,0.701,0.808,0.86,0.73,0.824,0.735,0.708,0.82,0.626,0.422,0.71,0.667,0.751,0.805,0.848,0.656,0.695,-0.303,0.783,0.79,0.449,0.851,0.716,0.797,0.742,0.486,0.618,0.853,0.868,0.847,0.807,0.918,0.822,-6.869,0.814,0.641,0.741,0.655,0.645,0.755,0.627,0.816,0.798,0.791,0.821,0.578,0.878,0.73,-0.566,0.82,0.819,0.858,0.848,0.736,0.864,0.791,0.805,0.839,0.0,0.813,0.65,0.754,0.663,0.827
0.10,0.73,0.857,0.906,0.809,0.873,0.853,0.822,0.908,0.89,0.729,0.75,0.809,0.897,0.757,0.915,0.831,0.785,0.864,0.89,0.704,0.706,0.878,0.821,0.872,0.902,0.878,0.83,0.839,0.912,0.649,0.874,0.865,0.791,0.767,0.896,0.846,0.906,0.882,0.923,0.904,0.907,0.888,0.799,0.823,0.875,0.765,0.848,0.67,0.859,0.874,0.882,0.692,0.794,0.85,0.719,0.731,0.804,0.873,0.658,0.882,0.831,0.932,0.748,0.697,0.785,0.874,0.804,0.917,0.855,0.848,0.892,0.872,0.927,0.852,0.896,0.784,0.87,0.845,0.853,0.931,0.78,0.932,0.774,0.868,0.824,0.8,0.886,0.869,0.834,0.924,0.85,0.839,0.678,0.806,0.481,0.918,0.853,0.924,0.864,0.917
0.15,0.891,0.882,0.93,0.826,0.873,0.883,0.953,0.839,0.832,0.9,0.892,0.867,0.689,0.812,0.922,0.891,0.885,0.774,0.504,0.91,0.892,0.872,0.865,0.928,0.932,0.902,0.887,0.875,0.866,0.916,0.878,0.895,0.926,0.821,0.92,0.894,0.862,0.881,0.931,0.871,0.918,0.848,0.697,0.918,0.87,0.772,0.94,0.624,0.826,0.913,0.842,0.892,0.868,0.792,0.813,0.911,0.914,0.923,0.907,0.921,0.879,0.953,0.94,0.817,0.91,0.893,0.889,0.896,0.85,0.902,0.723,0.923,0.939,0.911,0.788,0.764,0.817,0.908,0.873,0.886,0.805,0.921,0.878,0.756,0.875,0.923,0.902,0.884,0.841,0.946,0.846,0.845,0.905,0.859,0.877,0.796,0.876,0.935,0.883,0.871
0.20,0.886,0.877,0.908,0.909,0.923,0.899,0.957,0.873,0.681,0.915,0.909,0.945,0.915,0.867,0.896,0.925,0.958,0.91,0.887,0.883,0.883,0.551,0.932,0.776,0.929,0.863,0.911,0.944,0.884,0.91,0.909,0.929,0.909,0.881,0.944,0.48,0.955,0.931,0.939,0.871,0.923,0.912,0.93,0.895,0.921,0.796,0.897,0.902,0.883,0.867,0.923,0.887,0.887,0.91,0.876,0.89,0.947,0.918,0.939,0.954,0.808,0.953,0.919,0.778,0.925,0.904,0.938,0.946,0.914,0.655,0.905,0.947,0.884,0.817,0.924,0.924,0.875,0.938,0.926,0.862,0.915,0.834,0.924,0.917,0.946,0.922,0.942,0.917,0.914,0.932,0.869,0.839,0.937,0.933,0.906,0.885,0.856,0.858,0.932,0.93
0.25,0.957,0.93,0.947,0.921,0.903,0.905,0.961,0.917,0.84,0.945,0.926,0.931,0.925,0.931,0.933,0.938,0.951,0.845,0.904,0.953,0.887,0.333,0.428,0.913,0.887,0.886,0.939,0.93,0.936,0.914,0.917,0.91,0.939,0.95,0.928,0.897,0.945,0.954,0.944,0.931,0.765,0.955,0.913,0.885,0.946,0.832,0.963,0.896,0.911,0.874,0.915,0.941,0.94,0.932,0.941,0.916,0.927,0.96,0.944,0.935,0.953,0.955,0.926,0.939,0.936,0.906,0.924,0.949,0.837,0.86,0.94,0.931,0.914,0.936,0.951,0.858,0.947,0.87,0.908,0.896,0.937,0.823,0.893,0.946,0.882,0.949,0.902,0.935,0.865,0.89,0.959,0.881,0.933,0.935,0.928,0.732,0.841,0.904,0.961,0.947
0.30,0.953,0.942,0.964,0.921,0.928,0.878,0.959,0.911,0.937,0.956,0.958,0.939,0.939,0.867,0.947,0.927,0.957,0.917,0.927,0.925,0.905,0.928,0.771,0.953,0.959,0.954,0.951,0.941,0.934,0.939,0.903,0.908,0.91,0.913,0.902,0.954,0.912,0.922,0.967,0.944,0.896,0.927,0.953,0.936,0.958,0.905,0.96,0.938,0.931,0.92,0.949,0.215,0.861,0.889,0.912,0.853,0.955,0.949,0.946,0.942,0.954,0.935,0.893,0.917,0.957,0.946,0.937,0.951,0.96,0.797,0.943,0.955,0.933,0.832,0.949,0.937,0.94,0.957,0.89,0.904,0.951,0.902,0.937,0.957,0.911,0.931,0.925,0.855,0.926,0.949,0.946,0.891,0.939,0.969,0.8,0.857,0.821,0.925,0.842,0.97
0.35,0.969,0.939,0.961,0.904,0.938,0.964,0.968,0.937,0.792,0.962,0.943,0.932,0.93,0.951,0.952,0.924,0.97,0.948,0.928,0.938,0.943,0.895,0.942,0.947,0.937,0.952,0.937,0.912,0.961,0.951,0.948,0.942,0.951,0.946,0.973,0.96,0.929,0.946,0.967,0.957,0.833,0.964,0.948,0.885,0.958,0.923,0.961,0.935,0.96,0.941,0.952,0.943,0.887,0.939,0.914,0.931,0.949,0.951,0.972,0.917,0.953,0.952,0.94,0.925,0.929,0.902,0.933,0.959,0.946,0.927,0.941,0.948,0.94,0.936,0.951,0.946,0.927,0.959,0.911,0.891,0.966,0.955,0.941,0.959,0.938,0.958,0.933,0.918,0.882,0.97,0.952,0.926,0.938,0.958,0.884,0.931,0.943,0.945,0.953,0.967
0.40,0.954,0.958,0.956,0.952,0.945,0.969,0.964,0.942,0.93,0.963,0.95,0.917,0.941,0.927,0.927,0.953,0.944,0.907,0.918,0.935,0.927,0.921,0.941,0.957,0.956,0.949,0.965,0.923,0.955,0.962,0.913,0.952,0.942,0.96,0.968,0.961,0.962,0.953,0.963,0.941,0.948,0.937,0.923,0.881,0.95,0.881,0.955,0.909,0.936,0.939,0.938,0.919,0.946,0.962,0.939,0.951,0.945,0.943,0.968,0.93,0.963,0.963,0.924,0.924,0.967,0.942,0.933,0.966,0.935,0.927,0.969,0.952,0.933,0.935,0.974,0.928,0.94,0.953,0.883,0.958,0.96,0.935,0.952,0.949,0.946,0.952,0.936,0.959,0.94,0.962,0.95,0.881,0.925,0.862,0.953,0.96,0.951,0.942,0.96,0.944
0.45,0.967,0.968,0.957,0.963,0.967,0.918,0.959,0.93,0.954,0.951,0.97,0.957,0.958,0.946,0.945,0.946,0.958,0.972,0.953,0.941,0.953,0.944,0.953,0.962,0.943,0.953,0.972,0.969,0.954,0.945,0.887,0.955,0.915,0.96,0.965,0.963,0.939,0.964,0.973,0.954,0.922,0.945,0.935,0.951,0.976,0.929,0.953,0.93,0.955,0.972,0.952,0.966,0.854,0.963,0.937,0.966,0.951,0.958,0.97,0.954,0.944,0.97,0.957,0.952,0.965,0.961,0.961,0.966,0.956,0.962,0.968,0.953,0.952,0.923,0.96,0.925,0.959,0.966,0.943,0.946,0.95,0.955,0.959,0.959,0.92,0.955,0.938,0.974,0.927,0.96,0.953,0.969,0.962,0.953,0.935,0.954,0.957,0.933,0.946,0.971
0.50,0.974,0.97,0.961,0.969,0.972,0.97,0.964,0.975,0.957,0.96,0.956,0.947,0.961,0.931,0.965,0.953,0.969,0.966,0.952,0.953,0.916,0.967,0.959,0.954,0.969,0.969,0.977,0.968,0.97,0.966,0.964,0.915,0.946,0.96,0.959,0.954,0.967,0.963,0.927,0.938,0.958,0.972,0.948,0.946,0.947,0.918,0.966,0.964,0.958,0.959,0.954,0.958,0.96,0.967,0.96,0.953,0.94,0.965,0.975,0.94,0.977,0.967,0.961,0.967,0.967,0.969,0.946,0.966,0.966,0.961,0.96,0.965,0.977,0.959,0.947,0.961,0.959,0.959,0.97,0.958,0.953,0.956,0.949,0.954,0.951,0.963,0.959,0.975,0.966,0.955,0.963,0.915,0.97,0.968,0.959,0.957,0.962,0.963,0.962,0.964
