ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.882,0.72,0.847,0.845,0.738,0.695,0.804,0.758,0.897,0.785,0.836,0.835,0.737,0.841,0.829,0.69,0.672,0.65,0.826,0.823,0.724,0.719,0.821,0.859,0.811,0.895,0.74,0.553,0.494,0.704,0.863,0.45,0.569,0.823,0.833,0.833,0.679,0.654,0.69,0.745,0.815,0.917,0.777,0.771,0.882,0.801,0.799,0.853,0.776,0.66,0.442,0.743,0.808,0.728,0.71,0.767,0.691,0.497,0.77,0.619,0.872,0.288,0.8,-0.256,0.649,0.763,0.467,0.843,0.869,0.757,0.526,0.779,0.805,0.605,0.802,0.736,0.822,0.796,0.491,0.811,0.812,0.788,0.765,0.811,0.853,0.726,0.821,0.846,0.781,0.741,0.781,0.891,0.815,0.745,-0.05,0.886,0.845,0.692,0.604,0.684
0.10,0.787,0.727,0.865,0.917,0.923,0.889,0.912,0.721,0.932,0.741,0.787,0.874,0.794,0.737,0.868,0.924,0.917,0.862,0.933,0.933,0.642,0.759,0.91,0.867,0.874,0.879,0.905,0.832,0.907,0.86,0.869,0.926,0.767,0.827,0.88,0.907,0.837,0.791,0.857,0.806,0.868,0.839,0.887,0.891,0.856,0.915,0.863,0.761,0.931,0.928,-0.185,0.855,0.844,0.887,0.884,0.841,0.852,0.882,0.789,0.885,0.828,0.875,0.92,0.889,0.898,0.803,0.733,0.704,0.878,0.903,0.78,0.826,0.911,0.903,0.753,0.835,0.727,0.826,0.759,0.87,0.746,0.809,0.873,0.919,0.927,0.922,0.929,0.897,0.868,0.834,0.779,0.923,0.82,0.864,0.884,0.918,0.408,0.606,0.831,0.882
0.15,0.857,0.928,0.936,0.785,0.848,0.898,0.945,0.659,0.872,0.817,0.83,0.854,0.899,0.722,0.828,0.921,0.914,0.767,0.851,0.757,0.772,0.817,0.7,0.893,0.843,0.819,0.939,0.904,0.912,0.872,0.745,0.937,0.861,0.921,0.879,0.869,0.652,0.894,0.839,0.842,0.87,0.913,0.7,0.877,0.928,0.724,0.801,0.905,0.879,0.924,0.909,0.872,0.887,0.898,0.9,0.874,0.828,0.897,0.894,0.908,0.843,0.892,0.886,0.88,0.816,0.923,0.61,0.887,0.873,0.922,0.805,0.202,0.891,0.932,0.904,0.926,0.858,0.798,0.814,0.75,0.853,0.922,0.904,0.865,0.893,0.763,0.881,0.905,0.879,0.871,0.887,0.919,0.873,0.874,0.911,0.901,0.93,0.854,0.824,0.956
0.20,0.936,0.919,0.938,0.941,0.872,0.913,0.328,0.914,0.915,0.922,0.842,0.885,0.914,0.914,0.898,0.942,0.913,0.932,0.819,0.911,0.781,0.913,0.867,0.954,0.903,0.921,0.923,0.906,0.924,0.868,0.925,0.859,0.921,0.886,0.853,0.884,0.924,0.711,0.933,0.892,0.771,0.905,0.943,0.903,0.943,0.906,0.863,0.914,0.934,0.905,0.663,0.855,0.871,0.925,0.388,0.888,0.911,0.9,0.917,0.862,0.921,0.907,0.896,0.909,0.894,0.951,0.851,0.922,0.856,0.953,0.922,0.912,0.929,0.948,0.904,0.921,0.906,0.843,-1.991,0.917,0.758,0.927,0.95,0.892,0.779,0.809,0.884,0.963,0.854,0.906,0.811,0.923,0.761,0.941,0.892,0.927,0.928,0.893,0.906,0.745
0.25,0.952,0.94,0.885,0.926,0.966,0.947,0.954,0.914,0.935,0.928,0.942,0.895,0.949,0.937,0.93,0.928,0.909,0.932,0.925,0.911,0.942,0.903,0.906,0.959,0.78,0.898,0.941,0.936,0.925,0.921,0.876,0.852,0.931,0.914,0.862,0.867,0.948,0.92,0.893,0.855,0.907,0.953,0.939,0.689,0.951,0.912,0.928,0.898,0.909,0.959,0.883,0.874,0.884,0.87,0.935,0.944,0.898,0.914,0.922,0.958,0.746,0.919,0.932,0.901,0.892,0.945,0.709,0.908,0.906,0.953,0.961,0.948,0.943,0.946,0.898,0.946,0.901,0.866,0.963,0.946,0.931,0.952,0.94,0.872,0.919,0.901,0.884,0.92,0.946,0.896,0.891,0.886,0.873,0.936,0.739,0.775,0.939,0.907,0.94,0.89
0.30,0.929,0.948,0.928,0.909,0.945,0.969,0.971,0.927,0.873,0.899,0.964,0.961,0.906,0.898,0.934,0.898,0.927,0.943,0.931,0.953,0.922,0.945,0.951,0.954,0.93,0.849,0.947,0.944,0.934,0.949,0.912,0.917,0.881,0.778,0.937,0.913,0.952,0.887,0.855,0.941,0.909,0.93,0.952,0.908,0.924,0.944,0.905,0.921,0.966,0.95,0.879,0.891,0.933,0.965,0.932,0.943,0.935,0.928,0.844,0.959,0.937,0.928,0.93,0.943,0.934,0.866,0.901,0.939,0.93,0.956,0.912,0.951,0.947,0.966,0.935,0.958,0.911,0.895,0.849,0.954,0.957,0.958,0.932,0.723,0.953,0.905,0.908,0.953,0.927,0.956,0.868,0.776,0.931,0.941,0.938,0.882,0.941,0.919,0.931,0.723
0.35,0.958,0.926,0.913,0.897,0.943,0.926,0.866,0.948,0.964,0.941,0.933,0.965,0.928,0.914,0.931,0.954,0.944,0.907,0.949,0.951,0.958,0.954,0.956,0.95,0.878,0.958,0.958,0.93,0.931,0.941,0.87,0.96,0.946,0.964,0.908,0.955,0.951,0.953,0.965,0.92,0.933,0.969,0.947,0.938,0.945,0.917,0.964,0.969,0.952,0.958,0.812,0.908,0.948,0.924,0.939,0.929,0.785,0.934,0.939,0.933,0.946,0.944,0.88,0.915,0.937,0.941,0.944,0.933,0.935,0.96,0.941,0.931,0.96,0.969,0.958,0.913,0.931,0.945,0.87,0.958,0.957,0.955,0.939,0.904,0.934,0.941,0.93,0.961,0.956,0.936,0.901,0.508,0.94,0.952,0.919,0.959,0.944,0.915,0.914,0.958
0.40,0.958,0.95,0.948,0.935,0.945,0.95,0.943,0.916,0.973,0.951,0.943,0.95,0.941,0.958,0.943,0.964,0.933,0.938,0.881,0.952,0.949,0.939,0.945,0.96,0.949,0.951,0.961,0.955,0.92,0.931,0.607,0.962,0.944,0.969,0.937,0.947,0.941,0.949,0.943,0.959,0.965,0.967,0.944,0.922,0.957,0.91,0.95,0.959,0.961,0.956,0.962,0.921,0.955,0.944,0.952,0.946,0.833,0.932,0.953,0.944,0.937,0.942,0.882,0.961,0.945,0.955,0.945,0.938,0.947,0.956,0.963,0.967,0.972,0.972,0.957,0.951,0.948,0.951,0.945,0.961,0.952,0.934,0.906,0.869,0.948,0.942,0.889,0.966,0.951,0.955,0.952,0.952,0.959,0.974,0.809,0.901,0.968,0.938,0.943,0.945
0.45,0.96,0.958,0.928,0.93,0.957,0.971,0.96,0.968,0.972,0.955,0.971,0.964,0.965,0.952,0.963,0.858,0.924,0.95,0.906,0.957,0.766,0.972,0.943,0.968,0.958,0.952,0.967,0.961,0.931,0.96,0.969,0.97,0.95,0.967,0.96,0.969,0.967,0.963,0.967,0.945,0.963,0.964,0.952,0.964,0.944,0.938,0.962,0.961,0.959,0.968,0.924,0.939,0.956,0.941,0.958,0.946,0.925,0.937,0.935,0.941,0.928,0.962,0.942,0.936,0.942,0.916,0.958,0.963,0.956,0.948,0.959,0.965,0.97,0.957,0.947,0.96,0.911,0.931,0.964,0.957,0.944,0.965,0.962,0.937,0.959,0.959,0.919,0.961,0.961,0.954,0.964,0.744,0.956,0.968,0.95,0.97,0.957,0.955,0.96,0.968
0.50,0.947,0.95,0.96,0.916,0.969,0.955,0.969,0.966,0.963,0.954,0.963,0.966,0.957,0.895,0.964,0.978,0.96,0.949,0.931,0.947,0.938,0.962,0.905,0.957,0.962,0.97,0.971,0.963,0.934,0.933,0.972,0.958,0.96,0.967,0.955,0.943,0.966,0.966,0.962,0.956,0.973,0.941,0.959,0.968,0.955,0.925,0.969,0.963,0.969,0.965,0.96,0.928,0.932,0.961,0.951,0.961,0.963,0.957,0.968,0.949,0.962,0.96,0.97,0.952,0.96,0.923,0.968,0.952,0.932,0.948,0.95,0.968,0.966,0.977,0.945,0.968,0.948,0.959,0.96,0.962,0.961,0.958,0.973,0.942,0.964,0.962,0.939,0.973,0.952,0.939,0.904,0.96,0.952,0.97,0.888,0.96,0.966,0.956,0.97,0.971
