ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-8.657,-5.013,-1.569,0.633,-0.502,-0.93,-0.107,0.31,-22.152,0.707,-0.251,-0.155,0.74,0.516,0.704,0.655,-1.955,0.677,0.248,0.823,0.151,0.116,-0.789,0.395,-0.113,0.637,-1.835,0.775,0.681,0.391,-0.324,0.263,0.764,0.497,-3.676,-0.919,0.527,0.646,-0.242,0.517,0.17,0.716,0.393,0.12,-0.161,0.145,-0.175,0.838,0.444,0.727,-0.392,0.584,-1.351,0.477,-0.201,-17.128,-1.5,0.583,0.592,0.612,0.771,0.432,0.058,0.343,-0.682,0.795,0.251,-0.075,-1.474,-45.532,0.778,0.651,-0.57,-3461.279,0.562,0.592,0.279,0.728,0.361,-3.485,0.198,-10.755,-0.512,0.704,-3.806,0.763,0.731,-0.964,0.791,-0.558,0.762,0.554,0.455,0.55,0.587,0.834,0.644,0.458,0.611,0.656
0.10,0.748,-0.22,0.753,0.846,0.596,0.807,0.544,0.193,-0.337,-0.65,0.69,0.81,0.802,0.82,0.75,0.802,0.818,0.817,0.572,0.804,0.519,0.827,0.604,0.764,0.305,0.667,0.834,0.352,-0.136,0.858,0.831,-4.729,0.719,0.749,0.752,0.854,0.869,0.716,0.704,0.247,0.332,0.836,0.795,0.661,0.405,0.796,0.612,0.86,-1.301,-6.762,0.78,0.824,0.72,0.799,0.819,0.643,-0.006,0.755,0.823,-0.097,0.804,-0.882,0.86,0.49,0.834,0.617,0.782,0.668,0.799,0.694,0.85,0.816,0.234,0.561,0.585,0.602,0.721,0.729,0.613,0.625,0.728,0.849,0.659,0.796,0.734,0.449,0.788,0.777,0.841,0.644,0.843,0.779,0.269,0.409,0.719,0.724,0.706,0.731,0.8,0.296
0.15,0.875,0.823,0.835,0.853,0.757,0.819,0.81,0.73,0.837,0.768,0.688,0.761,0.519,0.841,0.866,0.766,0.855,0.872,0.692,0.679,0.792,0.858,0.804,0.73,0.631,0.726,0.756,0.84,0.743,0.757,0.724,0.568,0.725,0.777,0.807,0.794,0.772,0.822,0.83,0.8,0.734,0.827,0.837,0.803,0.851,0.854,0.796,0.813,0.845,0.75,0.74,-3.149,0.316,0.733,0.81,0.683,0.821,0.829,0.129,0.831,0.857,-0.725,0.827,-0.006,0.837,0.841,0.88,0.741,0.844,0.866,0.867,0.725,0.261,0.412,0.884,0.827,0.772,0.762,0.882,0.797,0.835,0.805,0.707,0.803,0.775,0.587,0.856,0.674,0.824,0.787,0.73,0.755,0.652,0.859,0.83,0.844,0.768,0.718,0.679,0.873
0.20,0.853,0.781,0.853,0.807,0.85,0.834,0.875,0.83,0.883,0.569,0.836,0.817,0.794,0.865,0.835,0.681,0.865,0.882,0.8,0.751,0.83,0.86,0.795,0.814,0.832,0.845,0.843,0.803,0.868,0.893,0.785,0.684,0.764,0.797,0.858,0.738,0.869,0.775,0.828,0.735,0.726,0.601,0.832,0.632,0.817,0.791,0.835,0.84,0.81,-0.702,0.856,0.791,0.856,0.833,0.884,0.857,0.847,0.839,0.886,0.843,0.875,0.814,0.826,0.833,0.853,0.858,0.845,0.829,0.874,0.858,0.863,0.874,0.838,0.773,0.896,0.8,0.808,0.751,0.839,0.837,0.839,0.852,0.814,0.869,0.801,-1.244,0.795,0.852,0.839,0.82,0.869,0.767,0.825,0.875,0.849,0.796,0.849,0.858,0.853,0.889
0.25,0.864,0.877,0.863,0.745,0.852,0.829,0.878,0.866,0.904,0.817,0.854,0.798,0.851,0.864,0.807,0.855,0.851,0.867,0.87,0.758,0.849,0.84,0.892,0.775,0.757,0.834,0.839,0.85,0.749,0.859,0.792,0.902,0.415,0.787,0.832,0.846,0.793,0.885,0.828,0.838,0.806,0.805,0.876,0.849,0.798,0.876,0.838,0.817,0.858,0.856,0.862,0.82,0.877,0.869,0.855,0.862,0.854,0.873,0.847,0.873,0.866,0.857,0.801,0.744,0.758,0.841,0.889,0.764,0.85,0.815,0.862,0.79,0.865,-0.014,0.842,0.848,0.815,0.869,0.8,0.859,0.663,0.85,0.769,0.834,0.872,0.775,0.845,0.861,0.84,0.757,0.894,0.779,0.826,0.884,0.871,0.874,0.875,0.77,0.859,0.868
0.30,0.84,0.821,0.886,0.736,0.861,0.806,0.864,0.827,0.883,0.856,0.845,0.846,0.862,0.858,0.805,0.856,0.851,0.846,0.846,0.876,0.87,0.803,0.892,0.829,0.838,0.891,0.821,0.767,0.838,0.851,0.874,0.853,0.814,0.953,0.886,0.839,0.815,0.749,0.852,0.816,0.836,0.859,0.863,0.873,0.895,0.867,0.847,0.85,0.879,0.79,0.822,0.836,0.706,0.875,0.887,0.802,0.83,0.862,0.863,0.881,0.859,0.872,0.805,0.839,0.769,0.852,0.896,0.823,0.868,0.872,0.878,0.862,0.846,-0.026,0.886,0.84,0.85,0.855,0.875,0.863,0.872,0.827,0.863,0.862,0.808,0.88,0.755,0.861,0.84,0.904,0.823,0.763,0.808,0.861,0.872,0.865,0.857,0.828,0.887,0.864
0.35,0.884,0.826,0.856,0.766,0.848,0.877,0.892,0.851,0.909,0.824,0.886,0.873,0.765,0.879,0.703,0.865,0.815,0.871,0.829,0.886,0.902,0.936,0.918,0.868,0.83,0.862,0.882,0.859,0.838,0.841,0.86,0.942,0.537,0.881,0.89,0.842,0.834,0.867,0.859,0.857,0.785,0.87,0.873,0.877,0.895,0.841,0.854,0.831,0.872,0.888,0.855,0.842,0.848,0.879,0.869,0.935,0.897,0.9,0.874,0.885,0.879,0.759,0.89,0.882,0.859,0.94,-1.856,0.883,0.894,0.845,0.887,0.853,0.839,0.86,0.87,0.828,0.895,0.644,0.87,0.878,0.883,0.818,0.852,0.889,0.88,0.881,0.817,0.851,0.854,0.819,0.858,0.862,0.845,0.883,0.857,0.88,0.869,0.873,0.891,0.855
0.40,0.59,0.85,0.875,0.809,0.873,0.884,0.934,0.883,0.903,0.783,0.842,0.94,0.841,0.882,0.879,0.86,0.895,0.879,0.832,0.975,0.902,0.962,0.918,0.868,0.821,0.849,0.874,0.928,0.874,0.898,0.857,0.906,0.831,0.969,0.82,0.843,0.863,0.809,0.856,0.854,0.88,0.853,0.886,0.88,0.886,0.868,0.824,0.822,0.843,0.98,0.883,0.851,0.85,0.843,0.903,0.892,0.865,0.855,0.898,0.88,0.877,0.832,0.88,0.874,0.849,0.971,0.891,0.749,0.871,0.824,0.96,0.86,0.841,0.862,0.899,0.826,0.857,0.863,0.856,0.838,0.898,0.805,0.857,0.884,0.923,0.884,0.769,0.836,0.858,0.846,0.875,0.864,0.808,0.906,0.943,0.881,0.894,0.904,0.886,0.927
0.45,0.855,0.872,0.869,0.532,0.89,0.882,0.905,0.849,0.906,0.95,0.885,0.93,0.864,0.828,0.853,0.899,0.964,0.84,0.854,0.9,0.901,0.868,0.923,0.858,0.863,0.864,0.85,0.876,0.876,0.872,0.844,0.982,0.87,0.964,0.865,0.851,0.875,0.873,0.815,0.885,0.834,0.876,0.779,0.945,0.891,0.956,0.896,0.899,0.889,0.857,0.899,0.863,0.845,0.877,0.896,0.885,0.933,0.876,0.899,0.878,0.892,0.774,0.847,0.861,0.888,0.872,0.891,0.867,0.858,0.818,0.885,0.858,0.82,0.87,0.898,0.815,0.867,0.838,0.868,0.879,0.916,0.821,0.849,0.875,0.887,0.811,0.864,0.88,0.873,0.969,0.863,0.864,0.965,0.833,0.875,0.905,0.881,0.871,0.906,0.848
0.50,0.865,0.946,0.879,0.853,0.892,0.948,0.906,0.844,0.913,0.88,0.872,0.973,0.894,0.969,0.864,0.882,0.844,0.841,0.854,0.928,0.924,0.842,0.919,0.851,0.835,0.841,0.887,0.866,0.885,0.898,0.835,0.911,0.763,0.895,0.878,0.826,0.873,0.815,0.824,0.852,0.882,0.986,0.875,0.853,0.902,0.878,0.91,0.917,0.897,0.89,0.893,0.855,0.766,0.886,0.877,0.892,0.844,0.86,0.9,0.88,0.918,0.823,0.83,0.867,0.877,0.867,0.947,0.843,0.852,0.886,0.883,0.846,0.946,0.873,0.932,0.846,0.987,0.804,0.882,0.886,0.883,0.809,0.851,0.867,0.898,0.875,0.865,0.834,0.877,0.832,0.886,0.879,0.89,0.9,0.886,0.913,0.872,0.937,0.91,0.91
0.55,0.879,0.858,0.944,0.847,0.885,0.883,0.977,0.866,0.907,0.901,0.898,0.884,0.881,0.948,0.848,0.943,0.974,0.844,0.873,0.887,0.893,0.887,0.92,0.868,0.847,0.836,0.878,0.908,0.984,0.9,0.88,0.909,0.844,0.886,0.899,0.867,0.879,0.855,0.84,0.857,0.825,0.894,0.934,0.86,0.902,0.877,0.975,0.915,0.858,0.864,0.894,0.802,0.842,0.762,0.873,0.888,0.882,0.887,0.887,0.899,0.882,0.868,0.942,0.873,0.949,0.933,0.883,0.874,0.87,0.924,0.919,0.832,0.947,0.982,0.806,0.752,0.891,0.876,0.875,0.895,0.933,0.82,0.852,0.944,0.877,0.837,0.883,0.862,0.867,0.817,0.877,0.889,0.872,0.906,0.891,0.892,0.878,0.891,0.897,0.942
0.60,0.821,0.885,0.929,0.81,0.876,0.851,0.91,0.841,0.963,0.974,0.892,0.897,0.879,0.893,0.881,0.945,0.915,0.844,0.955,0.941,0.902,0.866,0.903,0.878,0.949,0.852,0.902,0.91,0.878,0.909,0.892,0.888,0.858,0.851,0.897,0.89,0.874,0.879,0.895,0.879,0.888,0.895,0.992,0.876,0.894,0.988,0.933,0.928,0.982,0.888,0.898,0.833,0.984,0.906,0.972,0.93,0.85,0.983,0.852,0.89,0.881,0.975,0.854,0.873,0.896,0.978,0.911,0.983,0.895,0.968,0.973,0.987,0.874,0.91,0.959,0.864,0.954,0.982,0.86,0.971,0.881,0.835,0.972,0.945,0.865,0.85,0.868,0.875,0.874,0.82,0.881,0.872,0.975,0.891,0.865,0.901,0.878,0.851,0.897,0.893
0.65,0.9,0.858,0.865,0.824,0.879,0.979,0.902,0.821,0.93,0.902,0.839,0.888,0.889,0.871,0.979,0.916,0.922,0.986,0.859,0.984,0.888,0.968,0.975,0.9,0.967,0.845,0.94,0.899,0.961,0.878,0.923,0.916,0.869,0.843,0.885,0.865,0.855,0.823,0.893,0.818,0.978,0.897,0.924,0.857,0.908,0.866,0.894,0.935,0.978,0.984,0.886,0.793,0.91,0.912,0.951,0.869,0.834,0.953,0.915,0.881,0.956,0.91,0.881,0.889,0.874,0.883,0.891,0.895,0.844,0.915,0.895,0.831,0.977,0.893,0.94,0.856,0.96,0.891,0.892,0.866,0.904,0.839,0.986,0.921,0.955,0.95,0.861,0.869,0.853,0.976,0.873,0.914,0.86,0.976,0.866,0.884,0.876,0.85,0.872,0.978
0.70,0.886,0.839,0.891,0.829,0.837,0.965,0.959,0.797,0.966,0.956,0.886,0.9,0.895,0.856,0.88,0.978,0.82,0.843,0.878,0.951,0.932,0.952,0.982,0.928,0.84,0.83,0.9,0.977,0.979,0.924,0.889,0.893,0.855,0.971,0.941,0.985,0.805,0.835,0.905,0.855,0.939,0.904,0.875,0.901,0.971,0.98,0.898,0.931,0.917,0.962,0.948,0.912,0.894,0.897,0.99,0.89,0.841,0.954,0.982,0.977,0.829,0.889,0.89,0.866,0.825,0.886,0.975,0.895,0.961,0.922,0.957,0.863,0.924,0.827,0.976,0.877,0.912,0.972,0.887,0.904,0.915,0.824,0.985,0.983,0.978,0.982,0.875,0.855,0.869,0.972,0.88,0.982,0.984,0.979,0.968,0.911,0.86,0.89,0.885,0.913
