ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-1.903,0.444,0.774,0.73,0.526,0.795,0.674,0.493,-0.042,0.724,-0.657,-10.685,-0.905,0.79,0.633,0.629,0.63,-7.444,0.63,0.343,0.726,-0.907,-49.631,-6.152,0.765,-4.811,-0.021,0.581,0.499,-0.128,0.641,0.789,-5.165,0.466,0.577,0.316,0.749,0.332,0.184,0.188,0.801,0.38,0.801,0.671,0.679,0.183,0.577,-2.931,0.097,-0.235,0.692,0.263,0.738,-6.108,0.705,0.677,0.324,0.415,-2.024,-0.867,0.781,0.531,0.406,0.632,0.534,0.726,-0.147,-13.133,0.615,0.682,0.794,-0.49,0.354,0.612,0.699,-1.406,-16.82,0.478,-6.03,-0.417,0.423,0.122,0.411,0.617,0.639,0.604,-1.758,-9.412,-0.819,-0.627,0.539,0.806,0.41,-0.947,0.263,0.583,0.497,0.255,-0.49,0.648
0.10,0.855,0.594,0.824,0.825,0.655,0.827,0.819,0.702,0.762,0.781,0.681,0.763,0.69,0.286,0.259,0.818,0.578,0.53,0.614,0.793,0.696,0.462,0.606,0.753,0.863,0.704,0.349,0.618,0.073,-1.583,0.508,0.252,0.72,0.66,0.77,0.779,0.766,0.707,0.712,0.802,0.6,0.076,0.277,0.779,0.766,0.509,0.461,0.752,0.338,0.683,0.833,0.781,0.778,0.771,0.702,0.805,0.855,0.358,0.732,0.846,0.783,-3.001,0.707,0.791,0.253,0.826,-5.631,0.373,0.414,-2.239,0.651,0.498,-3.682,0.779,0.445,0.568,0.654,0.738,0.48,0.748,0.598,0.619,0.277,0.737,0.601,0.797,0.621,0.734,0.761,0.628,0.764,-0.169,0.724,0.779,0.805,0.765,0.796,0.784,0.551,0.262
0.15,0.767,0.643,0.774,0.865,0.809,0.863,0.707,0.681,0.865,0.722,0.817,0.862,0.686,0.704,0.484,0.797,0.839,0.749,0.787,-0.658,0.749,0.773,0.836,0.76,0.834,0.691,0.613,0.588,0.804,0.704,-0.892,0.873,0.851,0.864,0.844,0.414,0.69,0.673,0.299,0.851,0.847,0.873,0.829,0.713,0.726,0.762,-0.216,0.748,0.802,0.825,0.773,0.833,0.831,0.786,0.763,0.581,0.851,0.123,0.582,0.89,-1.149,0.827,0.804,0.831,0.695,0.566,0.353,0.799,0.807,0.867,0.835,-0.261,0.828,0.851,0.839,0.76,0.804,-0.07,0.519,0.716,0.665,0.817,0.119,0.512,0.748,0.807,0.558,0.238,0.857,0.839,0.293,0.735,0.839,0.762,0.842,0.792,0.828,0.765,0.868,0.715
0.20,0.734,0.799,0.754,0.849,0.786,0.829,0.835,0.76,0.869,0.835,0.809,0.846,0.801,0.764,0.24,0.881,0.853,0.748,0.649,0.872,0.87,0.853,0.843,0.828,0.729,0.525,0.733,0.858,0.858,0.838,0.88,0.742,0.818,0.72,0.814,0.66,0.864,0.736,0.759,0.786,0.873,0.841,0.884,0.754,0.689,0.736,0.724,0.604,0.8,0.852,0.489,0.797,0.802,0.779,0.83,0.786,0.86,0.828,0.749,0.871,0.666,0.858,0.859,0.846,0.811,0.822,0.82,0.668,0.823,0.824,0.848,0.837,0.824,0.841,0.754,0.73,0.738,0.794,0.733,0.832,0.759,0.785,0.825,0.843,0.797,0.799,0.883,0.802,0.844,0.851,0.823,0.843,0.845,0.027,0.852,0.818,0.852,0.831,0.844,0.636
0.25,0.807,0.812,0.771,0.768,0.829,0.891,0.778,0.826,0.881,0.687,0.831,0.866,0.835,0.843,0.652,0.883,0.88,0.641,0.915,0.877,0.865,0.801,0.803,0.85,0.883,0.868,0.842,0.724,0.853,0.769,0.885,0.829,0.867,0.779,0.868,0.842,0.822,0.869,0.677,0.699,0.879,0.785,0.881,0.829,0.811,0.84,0.815,0.869,0.786,0.845,0.846,0.887,0.758,0.839,0.88,0.857,0.827,0.803,0.748,0.902,0.861,0.868,0.835,0.831,0.363,0.774,0.855,0.769,0.876,0.792,0.772,0.828,0.825,0.857,0.782,0.852,0.78,0.859,0.776,0.827,0.68,0.877,0.807,0.861,0.805,0.868,0.879,0.81,0.84,0.863,0.704,0.882,0.829,0.863,0.846,0.849,0.84,0.639,0.837,0.592
0.30,0.789,0.795,0.867,0.798,0.831,0.88,0.776,0.839,0.876,0.877,0.852,0.854,0.85,0.911,0.874,0.874,0.878,0.752,0.862,0.866,0.785,0.87,0.867,0.862,0.882,0.841,0.876,0.817,0.836,0.874,0.881,0.837,0.845,0.812,0.887,0.856,0.85,0.889,0.872,0.814,0.884,0.84,0.882,0.83,0.759,0.834,0.877,0.905,0.845,0.83,0.619,0.873,0.864,0.838,0.881,0.78,0.892,0.861,0.76,0.907,0.867,0.866,0.671,0.877,0.4,0.891,0.854,0.874,0.867,0.855,0.803,0.817,0.868,0.874,0.862,0.773,0.845,0.865,0.778,0.783,0.866,0.722,0.777,0.875,0.856,0.882,0.901,0.845,0.828,0.861,0.839,0.825,0.853,0.872,0.846,0.859,0.867,0.815,0.885,0.768
0.35,0.841,0.733,0.82,0.826,0.838,0.873,0.876,0.863,0.874,0.871,0.863,0.841,0.94,0.855,0.78,0.881,0.891,0.854,0.876,0.863,0.874,0.731,0.869,0.842,0.887,0.862,0.837,0.858,0.671,0.874,0.959,0.889,0.829,0.813,0.843,0.836,0.773,0.805,0.876,0.833,0.884,0.841,0.885,0.813,0.847,0.833,0.881,0.87,0.79,0.921,0.861,0.901,0.879,0.882,0.896,0.877,0.895,0.845,0.879,0.896,0.757,0.878,0.467,0.809,0.807,0.885,0.865,0.873,0.88,0.885,0.818,0.843,0.929,0.914,0.855,0.866,0.711,0.881,0.789,0.832,0.865,0.88,0.863,0.883,0.84,0.876,0.964,0.838,0.869,0.86,0.854,0.83,0.962,0.868,0.864,0.878,0.769,0.823,0.894,0.763
0.40,0.828,0.863,0.832,0.836,0.958,0.87,0.886,0.89,0.878,0.873,0.873,0.83,0.888,0.865,0.829,0.874,0.875,0.827,0.86,0.912,0.83,0.908,0.849,0.859,0.893,0.871,0.867,0.811,0.853,0.862,0.858,0.888,0.802,0.867,0.892,0.94,0.873,0.903,0.879,0.931,0.907,0.876,0.885,0.824,0.842,0.858,0.894,0.885,0.8,0.913,0.901,0.975,0.872,0.845,0.89,0.882,0.895,0.875,0.876,0.896,0.854,0.886,0.819,0.882,0.821,0.848,0.88,0.895,0.86,0.907,0.805,0.872,0.879,0.962,0.873,0.885,0.734,0.842,0.806,0.82,0.886,0.876,0.86,0.869,0.954,0.872,0.912,0.905,0.88,0.865,0.891,0.891,0.9,0.874,0.802,0.88,0.858,0.877,0.881,0.797
0.45,0.822,0.888,0.78,0.887,0.935,0.791,0.891,0.882,0.881,0.92,0.876,0.9,0.901,0.901,0.871,0.941,0.88,0.964,0.878,0.764,0.886,0.884,0.862,0.859,0.885,0.849,0.883,0.851,0.83,0.894,0.885,0.962,0.874,0.87,0.851,0.872,0.886,0.976,0.88,0.877,0.918,0.879,0.881,0.794,0.596,0.872,0.894,0.889,0.854,0.88,0.884,0.89,0.885,0.853,0.892,0.822,0.884,0.883,0.883,0.877,0.849,0.874,0.872,0.873,0.833,0.827,0.869,0.873,0.86,0.93,0.9,0.859,0.878,0.885,0.892,0.873,0.838,0.936,0.81,0.88,0.857,0.88,0.836,0.875,0.87,0.97,0.914,0.892,0.867,0.851,0.874,0.992,0.893,0.907,0.878,0.878,0.952,0.848,0.986,0.811
0.50,0.907,0.872,0.81,0.881,0.871,0.851,0.817,0.894,0.94,0.844,0.83,0.933,0.898,0.886,0.865,0.866,0.903,0.883,0.868,0.886,0.81,0.905,0.978,0.854,0.844,0.869,0.968,0.981,0.896,0.861,0.885,0.888,0.858,0.838,0.841,0.886,0.863,0.948,0.892,0.692,0.919,0.883,0.85,0.857,0.875,0.88,0.893,0.981,0.881,0.87,0.874,0.893,0.945,0.859,0.969,0.894,0.865,0.872,0.861,0.885,0.814,0.879,0.905,0.879,0.853,0.834,0.884,0.883,0.876,0.901,0.874,0.847,0.891,0.934,0.886,0.877,0.886,0.876,0.802,0.975,0.804,0.877,0.858,0.85,0.819,0.839,0.917,0.887,0.892,0.881,0.861,0.991,0.92,0.906,0.899,0.792,0.887,0.851,0.882,0.926
0.55,0.98,0.89,0.876,0.859,0.814,0.894,0.918,0.875,0.885,0.874,0.875,0.933,0.894,0.977,0.884,0.862,0.893,0.898,0.86,0.9,0.899,0.963,0.867,0.879,0.975,0.878,0.975,0.876,0.88,0.899,0.875,0.987,0.866,0.873,0.853,0.9,0.877,0.988,0.891,0.887,0.905,0.868,0.855,0.901,0.888,0.906,0.82,0.893,0.816,0.859,0.889,0.901,0.886,0.889,0.884,0.943,0.934,0.89,0.893,0.893,0.858,0.827,0.859,0.875,0.871,0.866,0.973,0.967,0.872,0.889,0.876,0.839,0.899,0.872,0.956,0.904,0.866,0.875,0.85,0.881,0.894,0.887,0.885,0.83,0.874,0.886,0.919,0.901,0.888,0.887,0.867,0.885,0.95,0.92,0.841,0.977,0.846,0.886,0.962,0.966
0.60,0.954,0.887,0.827,0.981,0.837,0.866,0.916,0.875,0.872,0.977,0.979,0.886,0.97,0.947,0.907,0.891,0.871,0.94,0.86,0.893,0.873,0.901,0.959,0.879,0.98,0.863,0.954,0.895,0.9,0.911,0.891,0.981,0.867,0.839,0.85,0.908,0.865,0.892,0.883,0.896,0.915,0.879,0.866,0.901,0.883,0.916,0.949,0.887,0.846,0.872,0.96,0.898,0.866,0.988,0.895,0.897,0.942,0.892,0.892,0.914,0.886,0.858,0.881,0.882,0.864,0.971,0.896,0.893,0.918,0.91,0.837,0.884,0.949,0.879,0.878,0.898,0.855,0.89,0.854,0.868,0.897,0.891,0.964,0.798,0.881,0.894,0.981,0.984,0.861,0.885,0.96,0.976,0.902,0.919,0.917,0.89,0.889,0.889,0.978,0.979
0.65,0.973,0.869,0.829,0.868,0.823,0.868,0.906,0.866,0.977,0.872,0.832,0.967,0.815,0.974,0.876,0.982,0.677,0.894,0.877,0.981,0.967,0.89,0.966,0.869,0.884,0.879,0.967,0.894,0.893,0.961,0.881,0.878,0.87,0.807,0.978,0.897,0.844,0.955,0.886,0.876,0.917,0.88,0.892,0.9,0.894,0.938,0.779,0.884,0.836,0.95,0.887,0.892,0.864,0.888,0.962,0.941,0.964,0.896,0.979,0.9,0.878,0.842,0.888,0.885,0.939,0.836,0.955,0.925,0.877,0.93,0.896,0.828,0.885,0.879,0.982,0.818,0.904,0.894,0.875,0.93,0.903,0.898,0.953,0.904,0.954,0.957,0.979,0.898,0.807,0.859,0.899,0.976,0.912,0.922,0.88,0.9,0.879,0.907,0.875,0.882
0.70,0.904,0.951,0.967,0.836,0.951,0.943,0.926,0.858,0.975,0.863,0.858,0.955,0.967,0.904,0.891,0.896,0.865,0.907,0.981,0.906,0.908,0.953,0.882,0.866,0.915,0.885,0.984,0.894,0.901,0.972,0.917,0.874,0.88,0.824,0.807,0.872,0.967,0.889,0.802,0.935,0.91,0.869,0.946,0.874,0.975,0.858,0.828,0.885,0.76,0.855,0.893,0.871,0.877,0.856,0.896,0.87,0.933,0.898,0.9,0.931,0.88,0.913,0.913,0.879,0.966,0.977,0.903,0.977,0.869,0.921,0.902,0.93,0.97,0.897,0.893,0.913,0.895,0.869,0.88,0.873,0.916,0.9,0.915,0.885,0.89,0.93,0.987,0.971,0.854,0.835,0.965,0.933,0.898,0.934,0.876,0.884,0.887,0.923,0.873,0.886
0.75,0.891,0.978,0.965,0.822,0.906,0.858,0.914,0.88,0.97,0.901,0.83,0.913,0.89,0.878,0.897,0.893,0.904,0.968,0.838,0.905,0.912,0.915,0.821,0.857,0.992,0.976,0.843,0.889,0.896,0.898,0.957,0.864,0.953,0.84,0.76,0.868,0.827,0.974,0.919,0.976,0.975,0.864,0.892,0.857,0.848,0.947,0.96,0.845,0.958,0.95,0.901,0.888,0.945,0.899,0.891,0.856,0.938,0.972,0.976,0.902,0.893,0.983,0.937,0.979,0.868,0.911,0.979,0.951,0.875,0.94,0.984,0.978,0.976,0.982,0.962,0.92,0.918,0.846,0.878,0.859,0.921,0.897,0.977,0.936,0.902,0.885,0.986,0.921,0.868,0.855,0.948,0.973,0.927,0.982,0.88,0.894,0.863,0.911,0.869,0.902
0.80,0.976,0.91,0.937,0.994,0.965,0.954,0.927,0.872,0.937,0.869,0.809,0.924,0.902,0.986,0.91,0.921,0.877,0.948,0.841,0.981,0.915,0.944,0.917,0.828,0.866,0.902,0.893,0.861,0.917,0.878,0.983,0.858,0.951,0.988,0.971,0.885,0.839,0.908,0.906,0.947,0.929,0.856,0.892,0.884,0.792,0.876,0.976,0.856,0.912,0.852,0.884,0.9,0.989,0.966,0.874,0.843,0.934,0.916,0.929,0.9,0.908,0.825,0.922,0.887,0.964,0.941,0.981,0.953,0.909,0.933,0.985,0.905,0.907,0.921,0.905,0.899,0.977,0.984,0.978,0.834,0.912,0.896,0.9,0.868,0.901,0.908,0.951,0.842,0.893,0.947,0.886,0.974,0.951,0.982,0.901,0.987,0.966,0.944,0.877,0.877
0.85,0.902,0.853,0.869,0.672,0.982,0.867,0.989,0.97,0.98,0.876,0.863,0.904,0.978,0.981,0.905,0.968,0.918,0.918,0.87,0.945,0.974,0.988,0.977,0.889,0.954,0.979,0.98,0.968,0.986,0.823,0.922,0.864,0.952,0.889,0.92,0.888,0.838,0.877,0.989,0.881,0.937,0.986,0.988,0.883,0.911,0.927,0.965,0.845,0.885,0.864,0.983,0.89,0.953,0.907,0.825,0.905,0.94,0.892,0.978,0.89,0.978,0.934,0.979,0.99,0.954,0.922,0.982,0.95,0.974,0.936,0.946,0.859,0.971,0.959,0.889,0.971,0.908,0.818,0.891,0.862,0.971,0.841,0.944,0.9,0.936,0.964,0.98,0.897,0.948,0.843,0.935,0.986,0.99,0.94,0.977,0.905,0.982,0.914,0.888,0.98
