ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.591,-0.446,-0.051,0.118,0.497,0.271,0.201,-0.558,0.584,0.582,0.601,-0.145,0.548,0.669,0.88,0.802,0.591,0.164,0.693,0.232,0.443,-4.021,0.15,0.525,0.723,0.417,-1.533,0.002,0.409,-1.397,-0.083,0.78,0.79,0.562,0.55,0.178,0.5,0.641,0.631,0.766,0.569,0.371,-0.9,0.353,0.665,0.534,0.543,0.398,0.472,0.386,-0.053,0.563,0.553,-0.094,0.727,-0.658,0.426,-0.226,0.705,0.82,0.464,0.635,0.322,0.653,-1.322,0.678,0.435,0.562,0.782,0.537,-0.336,0.65,0.22,0.699,0.307,0.3,0.361,-0.918,0.869,0.234,0.337,-0.376,0.612,0.619,0.745,-2.386,0.561,-0.086,-4.012,0.737,0.596,-0.064,0.43,-0.563,0.747,0.845,0.771,0.213,0.617,0.6
0.10,0.833,0.953,0.733,0.866,0.894,0.865,0.895,0.727,0.889,0.785,0.683,0.971,0.882,0.942,0.935,0.949,0.552,0.898,0.75,0.796,0.868,0.883,0.9,0.711,0.944,0.902,0.954,0.722,0.862,0.798,-0.196,0.946,0.874,0.941,0.929,0.568,0.943,0.931,0.845,0.945,0.911,0.919,0.88,0.943,0.9,0.843,0.899,0.732,0.789,0.661,0.908,0.966,0.748,0.949,0.683,0.564,0.73,0.941,0.896,0.851,0.763,0.49,0.842,0.899,0.527,0.467,0.412,0.715,0.954,0.823,0.817,-0.077,0.73,0.677,0.953,0.128,0.885,0.913,0.884,0.874,0.91,0.934,0.873,0.845,0.959,0.679,0.944,0.924,0.924,0.608,0.67,0.715,0.831,0.945,0.783,0.879,0.96,0.78,0.838,0.92
0.15,0.913,0.912,0.939,0.883,0.921,0.814,0.976,0.969,0.923,0.981,0.791,0.957,0.979,0.954,0.971,0.96,0.761,0.945,0.961,0.968,0.971,0.963,0.966,0.9,0.936,0.965,0.969,0.86,0.982,0.975,0.967,0.87,0.97,0.975,0.934,0.968,0.966,0.868,0.969,0.594,0.935,0.928,0.944,0.97,0.961,0.919,0.973,0.895,0.966,0.921,0.917,0.866,0.973,0.976,0.973,0.837,0.908,0.964,0.962,0.913,0.828,0.642,0.954,0.907,0.926,0.873,0.928,0.745,0.973,0.964,0.928,0.968,0.864,0.717,0.946,0.813,0.958,0.964,0.891,0.955,0.784,0.976,0.9,0.88,0.982,0.976,0.966,0.781,0.972,0.98,0.864,0.929,0.957,0.896,0.888,0.9,0.975,0.925,0.97,0.977
0.20,0.991,0.985,0.972,0.966,0.958,0.988,0.959,0.957,0.971,0.984,0.87,0.953,0.99,0.985,0.964,0.984,0.979,0.979,0.965,0.975,0.982,0.977,0.976,0.962,0.977,0.945,0.973,0.973,0.96,0.974,0.72,0.979,0.982,0.973,0.986,0.96,0.95,0.98,0.965,0.965,0.96,0.984,0.965,0.962,0.977,0.92,0.958,0.974,0.951,0.966,0.976,0.979,0.978,0.978,0.958,0.937,0.967,0.979,0.934,0.98,0.766,0.931,0.978,0.978,0.931,0.72,0.961,0.908,0.948,0.978,0.762,0.965,0.975,0.978,0.981,0.981,0.972,0.979,0.98,0.778,0.927,0.959,0.932,0.964,0.962,0.974,0.972,0.98,0.98,0.985,0.974,0.974,0.975,0.977,0.975,0.985,0.972,0.964,0.991,0.967
0.25,0.979,0.977,0.99,0.913,0.983,0.991,0.972,0.979,0.975,0.983,0.986,0.985,0.981,0.924,0.994,0.97,0.976,0.965,0.992,0.97,0.974,0.979,0.973,0.987,0.973,0.977,0.951,0.977,0.972,0.972,0.994,0.968,0.988,0.976,0.979,0.974,0.977,0.979,0.979,0.975,0.983,0.987,0.99,0.992,0.977,0.991,0.967,0.972,0.967,0.976,0.964,0.809,0.987,0.977,0.979,0.98,0.991,0.988,0.986,0.99,0.923,0.98,0.973,0.991,0.979,0.97,0.967,0.969,0.953,0.975,0.991,0.991,0.979,0.967,0.984,0.987,0.991,0.972,0.994,0.955,0.921,0.963,0.98,0.993,0.988,0.972,0.968,0.994,0.994,0.985,0.981,0.945,0.971,0.988,0.966,0.969,0.981,0.987,0.907,0.983
0.30,0.954,0.989,0.995,0.969,0.98,0.986,0.988,0.986,0.98,0.99,0.988,0.976,0.989,0.974,0.993,0.991,0.988,0.992,0.974,0.992,0.988,0.995,0.973,0.978,0.983,0.987,0.991,0.993,0.928,0.986,0.981,0.995,0.989,0.978,0.993,0.987,0.983,0.901,0.988,0.967,0.976,0.981,0.993,0.995,0.989,0.972,0.972,0.978,0.991,0.981,0.948,0.989,0.992,0.993,0.991,0.979,0.984,0.99,0.986,0.981,0.993,0.986,0.992,0.99,0.991,0.988,0.981,0.987,0.992,0.985,0.979,0.986,0.988,0.985,0.995,0.992,0.988,0.983,0.995,0.974,0.991,0.981,0.976,0.968,0.976,0.991,0.988,0.977,0.994,0.992,0.995,0.988,0.995,0.961,0.993,0.962,0.981,0.984,0.972,0.983
0.35,0.969,0.996,0.984,0.981,0.99,0.947,0.982,0.983,0.995,0.98,0.976,0.993,0.993,0.993,0.982,0.989,0.991,0.992,0.983,0.979,0.98,0.993,0.994,0.995,0.986,0.995,0.992,0.992,0.984,0.981,0.994,0.943,0.988,0.943,0.994,0.994,0.993,0.991,0.991,0.823,0.981,0.99,0.978,0.993,0.985,0.982,0.993,0.995,0.97,0.991,0.804,0.98,0.989,0.987,0.994,0.99,0.989,0.988,0.982,0.982,0.992,0.989,0.993,0.983,0.984,0.987,0.983,0.979,0.988,0.981,0.994,0.982,0.971,0.985,0.984,0.981,0.991,0.977,0.976,0.992,0.985,0.982,0.99,0.962,0.988,0.98,0.994,0.993,0.993,0.982,0.971,0.98,0.987,0.993,0.974,0.995,0.985,0.984,0.982,0.977
0.40,0.994,0.984,0.984,0.993,0.993,0.987,0.994,0.994,0.986,0.985,0.99,0.985,0.987,0.995,0.979,0.985,0.983,0.994,0.99,0.99,0.951,0.979,0.99,0.995,0.993,0.986,0.985,0.987,0.986,0.992,0.992,0.971,0.99,0.983,0.981,0.989,0.99,0.989,0.991,0.977,0.987,0.985,0.995,0.994,0.994,0.981,0.993,0.986,0.984,0.988,0.987,0.991,0.98,0.994,0.993,0.982,0.994,0.993,0.993,0.985,0.995,0.994,0.979,0.995,0.984,0.992,0.984,0.982,0.991,0.964,0.992,0.989,0.981,0.991,0.989,0.986,0.987,0.995,0.993,0.985,0.995,0.993,0.986,0.994,0.993,0.991,0.984,0.991,0.995,0.983,0.995,0.995,0.989,0.993,0.982,0.992,0.992,0.979,0.994,0.989
0.45,0.979,0.994,0.995,0.994,0.979,0.993,0.976,0.992,0.99,0.992,0.993,0.992,0.989,0.988,0.995,0.985,0.992,0.987,0.994,0.994,0.975,0.994,0.988,0.995,0.994,0.994,0.994,0.994,0.992,0.99,0.993,0.995,0.993,0.991,0.989,0.993,0.99,0.979,0.994,0.996,0.982,0.995,0.991,0.993,0.985,0.994,0.988,0.995,0.995,0.989,0.987,0.996,0.985,0.995,0.991,0.986,0.985,0.995,0.994,0.984,0.987,0.986,0.992,0.987,0.991,0.992,0.993,0.976,0.994,0.993,0.992,0.994,0.995,0.995,0.995,0.985,0.986,0.988,0.979,0.987,0.988,0.985,0.978,0.994,0.995,0.983,0.979,0.995,0.985,0.995,0.993,0.985,0.991,0.994,0.989,0.984,0.994,0.985,0.991,0.991
0.50,0.988,0.983,0.984,0.987,0.993,0.995,0.996,0.996,0.981,0.988,0.988,0.988,0.989,0.985,0.992,0.988,0.985,0.995,0.99,0.987,0.99,0.984,0.995,0.995,0.986,0.996,0.989,0.989,0.99,0.994,0.989,0.99,0.987,0.989,0.993,0.995,0.994,0.995,0.992,0.993,0.995,0.993,0.991,0.989,0.992,0.982,0.994,0.993,0.995,0.992,0.983,0.985,0.991,0.989,0.995,0.987,0.989,0.995,0.993,0.994,0.994,0.994,0.985,0.995,0.986,0.995,0.992,0.987,0.95,0.995,0.989,0.988,0.987,0.995,0.993,0.995,0.995,0.978,0.993,0.988,0.994,0.994,0.993,0.995,0.993,0.991,0.995,0.991,0.986,0.995,0.996,0.995,0.99,0.987,0.983,0.991,0.995,0.979,0.995,0.995
