ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.262,0.425,0.468,0.453,-0.051,0.244,0.581,-1.259,-0.372,0.116,0.606,0.494,0.635,0.521,-3.135,0.666,0.57,0.566,0.519,0.548,-3.295,0.502,0.578,0.237,0.59,0.243,0.618,0.667,0.417,0.003,0.536,0.369,0.615,-17.013,0.178,0.521,0.681,0.273,-5.767,-0.012,0.447,0.293,0.588,0.544,-4.734,0.407,0.487,-1.65,0.185,-1.033,0.202,0.22,-0.319,0.547,0.622,0.499,0.426,0.425,0.396,0.255,0.709,-1.47,0.096,0.008,0.459,0.694,-0.44,0.606,0.608,0.019,-5.611,-2.619,0.358,0.619,0.632,0.484,0.534,0.558,-1.098,0.728,0.389,0.557,0.517,-0.086,0.169,0.639,0.654,0.67,-0.103,0.532,-1.082,0.721,0.229,0.161,-0.452,0.678,0.568,0.361,0.403,0.665
0.10,-0.492,0.846,0.63,0.697,0.69,0.651,0.747,0.185,0.551,0.607,0.735,0.416,0.725,0.633,0.698,0.788,0.694,0.889,0.657,0.696,0.705,0.69,0.696,0.657,0.667,0.687,0.675,0.726,0.766,0.632,0.627,0.713,0.601,0.853,-0.486,0.359,0.557,0.541,0.666,0.718,-0.094,0.816,0.73,0.681,0.687,0.639,0.627,-6.443,0.871,0.767,0.521,0.697,0.697,0.514,0.703,0.771,0.523,0.685,0.461,0.773,0.766,0.656,0.849,0.717,0.766,0.708,0.735,0.495,-0.04,0.674,0.704,0.597,0.694,0.705,-28.144,0.76,0.401,0.774,0.346,0.539,0.604,0.711,0.628,0.787,-0.149,0.454,0.663,0.729,0.7,0.698,0.688,0.564,0.736,0.841,0.45,0.707,0.797,0.795,0.692,0.865
0.15,0.741,0.847,0.617,0.717,0.886,0.783,0.878,0.225,0.594,0.726,0.591,0.667,0.893,0.66,0.877,0.613,0.876,0.694,0.704,0.723,0.714,0.756,0.735,0.734,0.763,0.895,0.729,0.742,0.628,0.699,0.7,0.712,0.831,0.709,0.768,0.677,0.56,0.585,0.721,0.683,0.749,0.863,0.685,0.689,0.692,0.868,0.762,0.687,0.933,0.886,0.776,0.701,0.76,0.71,0.906,0.854,0.723,0.729,0.764,0.853,0.776,0.53,0.678,0.729,0.706,0.717,0.693,0.747,0.673,0.698,0.812,0.86,0.71,0.2,0.703,0.376,0.708,0.78,0.783,0.892,0.632,0.775,0.604,0.773,0.816,0.851,0.716,0.745,0.89,0.82,0.69,0.785,0.731,0.859,0.732,0.609,0.795,0.87,0.787,0.788
0.20,0.74,0.738,0.718,0.912,0.71,0.906,0.737,0.769,0.689,0.728,0.694,0.924,0.773,0.721,0.882,0.865,0.791,0.919,0.816,0.721,0.725,0.89,0.759,0.746,0.887,0.704,0.814,0.861,0.861,0.838,0.716,0.694,0.813,0.827,0.869,0.579,0.687,0.892,0.848,0.718,0.754,0.921,0.84,0.787,0.747,0.763,0.75,0.778,0.715,0.777,0.423,0.729,0.907,0.869,0.73,0.921,0.749,0.921,0.879,0.75,0.777,0.875,0.717,0.72,0.894,0.75,0.749,0.837,0.728,0.375,0.797,0.811,0.695,0.6,0.749,0.632,0.91,0.788,-0.043,0.756,0.693,0.867,0.738,0.864,0.846,0.859,0.865,0.922,0.76,0.727,0.712,0.89,0.873,0.736,0.906,0.776,0.904,0.752,0.721,0.897
0.25,0.915,0.846,0.811,0.87,0.925,0.871,0.804,0.878,0.908,0.9,0.919,0.934,0.828,0.819,0.541,0.878,0.748,0.904,0.741,0.833,0.912,0.912,0.935,0.725,0.756,0.937,0.883,0.882,0.671,0.922,0.816,0.736,0.739,0.742,0.714,0.563,0.811,0.901,0.796,0.925,0.747,0.921,0.861,0.723,0.911,0.915,0.746,0.721,0.888,0.903,0.646,0.902,0.924,0.931,0.744,0.921,0.885,0.855,0.933,0.931,0.736,0.758,0.908,0.751,0.915,0.912,0.945,0.627,0.71,0.742,0.748,0.926,0.889,0.733,0.749,0.88,0.738,0.751,0.736,0.925,0.652,0.921,0.636,0.839,0.839,0.851,0.741,0.918,0.839,0.898,0.915,0.752,0.922,0.881,0.811,0.621,0.74,0.889,0.724,0.733
0.30,0.923,0.852,0.718,0.822,0.904,0.92,0.733,0.909,0.927,0.93,0.921,0.938,0.961,0.926,0.915,0.751,0.808,0.833,0.922,0.707,0.909,0.916,0.827,0.719,0.91,0.911,0.84,0.917,0.815,0.81,0.921,0.788,0.732,0.92,0.723,0.932,0.751,0.946,0.936,0.933,0.823,0.803,0.917,0.766,0.858,0.697,0.783,0.746,0.769,0.899,0.917,0.736,0.922,0.936,0.726,0.91,0.812,0.75,0.87,0.896,0.728,0.916,0.914,0.829,0.931,0.926,0.938,0.924,0.892,0.753,0.846,0.929,0.739,0.743,0.736,0.902,0.903,0.807,0.745,0.921,0.924,0.905,0.897,0.866,0.874,0.928,0.739,0.735,0.75,0.864,0.907,0.922,0.735,0.9,0.843,0.901,0.724,0.8,0.728,0.861
0.35,0.902,0.854,0.942,0.922,0.934,0.916,0.774,0.936,0.934,0.95,0.925,0.915,0.94,0.918,0.927,0.923,0.954,0.864,0.888,0.723,0.936,0.931,0.91,0.749,0.942,0.918,0.922,0.761,0.83,0.949,0.915,0.804,0.86,0.928,0.734,0.933,0.921,0.928,0.904,0.941,0.805,0.892,0.946,0.948,0.916,0.853,0.783,0.731,0.935,0.91,0.821,0.925,0.916,0.919,0.72,0.899,0.928,0.947,0.859,0.859,0.858,0.925,0.717,0.866,0.935,0.931,0.935,0.75,0.929,0.933,0.915,0.919,0.823,0.748,0.727,0.832,0.741,0.927,0.807,0.937,0.934,0.904,0.913,0.922,0.932,0.951,0.736,0.753,0.862,0.93,0.937,0.902,0.946,0.863,0.752,0.909,0.919,0.865,0.906,0.799
0.40,0.937,0.91,0.952,0.917,0.946,0.939,0.815,0.763,0.913,0.817,0.914,0.818,0.933,0.924,0.854,0.931,0.933,0.857,0.933,0.927,0.937,0.91,0.937,0.859,0.888,0.74,0.811,0.924,0.94,0.94,0.862,0.951,0.94,0.915,0.937,0.824,0.763,0.748,0.928,0.886,0.87,0.893,0.944,0.939,0.855,0.938,0.946,0.946,0.94,0.931,0.905,0.814,0.88,0.929,0.935,0.736,0.747,0.913,0.936,0.935,0.715,0.764,0.844,0.842,0.913,0.926,0.739,0.938,0.916,0.923,0.928,0.722,0.93,0.913,0.946,0.841,0.931,0.891,0.942,0.941,0.941,0.961,0.738,0.954,0.925,0.952,0.917,0.924,0.93,0.958,0.945,0.756,0.942,0.935,0.938,0.768,0.933,0.925,0.828,0.939
0.45,0.92,0.956,0.955,0.908,0.946,0.944,0.863,0.928,0.908,0.927,0.945,0.822,0.895,0.935,0.925,0.918,0.931,0.925,0.92,0.95,0.936,0.954,0.928,0.917,0.933,0.753,0.948,0.839,0.939,0.938,0.948,0.94,0.882,0.911,0.74,0.919,0.773,0.757,0.929,0.917,0.825,0.912,0.953,0.851,0.94,0.941,0.846,0.916,0.943,0.916,0.938,0.837,0.862,0.927,0.947,0.936,0.936,0.881,0.924,0.925,0.712,0.771,0.941,0.846,0.945,0.946,0.759,0.922,0.917,0.916,0.94,0.737,0.92,0.915,0.947,0.869,0.928,0.864,0.95,0.933,0.949,0.94,0.745,0.758,0.942,0.94,0.947,0.827,0.945,0.847,0.948,0.759,0.952,0.867,0.927,0.767,0.957,0.841,0.745,0.942
0.50,0.936,0.915,0.959,0.929,0.76,0.933,0.952,0.894,0.924,0.845,0.937,0.95,0.956,0.955,0.934,0.949,0.833,0.769,0.937,0.933,0.94,0.94,0.923,0.919,0.951,0.959,0.927,0.934,0.939,0.935,0.94,0.937,0.749,0.903,0.735,0.942,0.923,0.953,0.943,0.945,0.944,0.758,0.922,0.914,0.925,0.939,0.93,0.744,0.921,0.91,0.932,0.932,0.948,0.918,0.913,0.941,0.946,0.79,0.944,0.956,0.757,0.947,0.921,0.929,0.941,0.912,0.95,0.745,0.928,0.932,0.938,0.914,0.913,0.957,0.93,0.939,0.95,0.946,0.926,0.923,0.949,0.938,0.918,0.929,0.937,0.769,0.952,0.93,0.934,0.944,0.927,0.952,0.741,0.946,0.935,0.942,0.947,0.878,0.947,0.894
