ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.715,-0.557,0.43,0.354,0.688,-2.083,0.429,-0.379,-0.072,0.707,0.504,-0.517,0.722,0.584,-1.645,0.299,0.581,0.483,0.457,0.679,0.593,0.708,0.625,0.499,0.615,0.677,0.66,0.731,0.658,0.659,0.674,0.614,0.589,0.639,0.56,-0.971,-6.313,0.62,0.609,0.518,0.41,0.521,0.566,0.553,-0.252,0.056,0.209,0.701,0.59,0.581,0.178,0.23,0.215,0.557,-57.398,0.605,0.63,0.143,0.705,0.513,-1.566,0.645,-4.006,0.686,-0.309,0.576,0.678,0.672,0.291,0.776,-0.058,0.594,0.656,0.655,0.578,0.623,0.579,0.703,0.659,0.604,0.59,0.338,0.042,-0.651,0.361,0.694,0.579,-0.09,0.625,0.514,-0.504,0.693,-0.284,0.568,0.699,0.491,0.63,0.415,0.61,-1.24
0.10,0.777,0.803,0.597,0.761,0.285,0.702,0.257,0.727,-0.972,0.718,0.816,0.456,0.751,0.694,0.633,-0.53,0.557,0.703,0.135,0.734,0.03,0.711,0.012,0.65,0.697,0.89,0.874,-4.541,0.709,0.692,0.854,0.688,0.706,0.892,0.436,0.698,0.705,0.738,0.833,0.531,0.682,0.656,0.232,0.772,0.327,0.649,0.643,0.687,0.71,0.278,0.795,0.697,0.468,0.629,0.729,0.755,0.662,0.81,0.853,0.555,0.667,0.711,0.46,0.69,0.59,0.753,0.726,-2.129,0.64,0.099,0.783,0.646,0.724,0.752,0.691,0.612,0.696,0.743,0.671,0.856,0.122,0.611,0.825,0.668,0.811,0.848,0.457,0.753,0.729,0.537,0.694,0.737,0.558,0.656,0.731,-0.547,0.685,0.602,-0.06,-2.941
0.15,0.732,0.232,0.653,-17.086,0.75,-0.427,0.711,0.614,0.798,0.075,0.667,0.492,0.697,0.615,0.74,0.371,0.84,0.75,0.498,0.74,0.169,0.72,0.83,0.753,0.735,0.745,0.724,-0.949,0.783,0.905,0.843,0.704,0.695,0.862,0.624,0.695,0.861,0.737,0.822,0.861,0.709,0.644,0.872,0.842,0.667,0.525,0.855,0.678,0.737,0.62,0.62,0.052,0.58,0.524,0.806,0.784,0.692,0.819,0.819,0.864,0.693,0.873,0.763,0.743,0.856,0.687,0.603,0.853,0.631,0.778,0.828,0.703,0.742,0.878,0.89,0.63,0.742,0.743,0.893,0.717,0.759,0.886,0.723,0.721,0.7,0.818,0.562,0.633,0.642,0.757,0.695,0.74,0.748,0.626,0.682,0.741,0.714,0.664,0.627,0.913
0.20,0.931,0.741,0.712,0.666,0.768,0.701,0.704,0.787,0.723,0.806,0.845,0.913,0.864,0.928,0.756,0.668,0.923,0.747,-0.242,0.731,0.661,0.695,0.617,0.737,0.807,0.929,0.707,0.74,0.886,0.716,0.851,0.7,0.746,0.899,0.808,0.719,0.886,0.885,0.729,0.721,0.906,0.707,0.927,0.908,0.689,0.704,0.92,0.768,0.694,0.737,0.73,0.739,0.865,0.866,0.746,0.923,0.905,-2.534,0.759,0.854,0.702,0.438,0.737,0.731,0.632,0.717,0.92,0.73,0.874,0.902,0.858,0.901,0.745,0.895,0.889,0.721,0.784,0.762,0.336,0.818,0.77,0.903,0.111,0.919,0.795,0.805,0.595,0.924,0.581,0.756,0.758,0.909,0.743,0.877,0.785,0.735,0.677,0.742,0.903,0.631
0.25,0.927,0.736,0.936,0.712,0.826,0.925,0.888,0.866,0.93,0.932,0.726,0.912,0.889,0.78,0.733,0.721,0.918,0.748,0.846,0.934,0.689,0.72,0.919,0.923,0.713,0.85,0.837,0.603,0.811,0.748,0.886,0.893,0.747,0.935,0.86,0.728,0.849,0.725,0.799,0.739,0.92,0.709,0.93,0.738,0.809,0.92,0.736,0.813,0.935,0.912,0.904,0.854,0.368,0.696,0.925,0.903,0.724,0.844,0.856,0.92,0.886,0.9,0.753,0.772,0.774,0.805,0.927,0.848,0.878,0.748,0.794,0.864,0.76,0.89,0.901,0.648,0.755,0.838,0.907,0.92,0.852,0.792,0.666,0.686,0.944,0.903,0.788,0.935,0.758,0.797,0.723,0.93,0.835,0.905,0.803,0.918,0.653,0.817,0.913,0.906
0.30,0.921,0.905,0.755,0.896,0.925,0.769,0.939,0.919,0.744,0.925,0.74,0.905,0.847,0.925,0.932,0.733,0.924,0.754,0.926,0.809,0.729,0.722,0.871,0.732,0.923,0.946,0.92,0.683,0.909,0.746,0.714,0.922,0.929,0.921,0.919,0.912,0.87,0.731,0.928,0.746,0.922,0.713,0.753,0.941,0.94,0.783,0.753,0.916,0.664,0.76,0.838,0.861,0.916,0.92,0.924,0.819,0.921,0.865,0.907,0.923,0.906,0.73,0.888,0.778,0.926,0.936,0.747,0.919,0.709,0.912,0.942,0.932,0.766,0.92,0.939,0.71,0.921,0.882,-0.259,0.883,0.862,0.922,0.703,0.726,0.943,0.94,0.947,0.859,0.77,0.852,0.934,0.92,0.811,0.846,0.92,0.911,0.708,0.805,0.897,0.883
0.35,0.92,0.938,0.755,0.93,0.936,0.77,0.8,0.93,0.748,0.939,0.939,0.89,0.922,0.913,0.801,0.734,0.75,0.76,0.919,0.873,0.81,0.743,0.908,0.744,0.923,0.948,0.922,0.707,0.749,0.926,0.944,0.834,0.93,0.915,0.908,0.749,0.907,0.924,0.916,0.928,0.93,0.718,0.734,0.943,0.934,0.921,0.803,0.925,0.693,0.854,0.894,0.914,0.942,0.785,0.932,0.803,0.937,0.894,0.936,0.922,0.91,0.743,0.9,0.924,0.869,0.942,0.756,0.907,0.926,0.939,0.817,0.91,0.942,0.739,0.936,0.712,0.941,0.907,0.936,0.928,0.891,0.926,0.767,0.902,0.94,0.735,0.664,0.826,0.864,0.929,0.854,0.939,0.933,0.842,0.923,0.929,0.903,0.9,0.888,0.944
0.40,0.919,0.941,0.753,0.755,0.951,0.949,0.89,0.866,0.927,0.751,0.854,0.846,0.73,0.945,0.934,0.739,0.741,0.936,0.927,0.85,0.825,0.931,0.934,0.931,0.932,0.951,0.86,0.681,0.928,0.857,0.944,0.909,0.946,0.875,0.913,0.739,0.938,0.947,0.923,0.938,0.943,0.715,0.943,0.928,0.937,0.927,0.934,0.847,0.939,0.84,0.94,0.884,0.924,0.791,0.839,0.837,0.943,0.918,0.926,0.922,0.712,0.749,0.94,0.782,0.873,0.955,0.941,0.818,0.897,0.778,0.942,0.939,0.754,0.95,0.936,0.721,0.946,0.954,0.814,0.946,0.82,0.913,0.927,0.713,0.856,0.894,0.947,0.958,0.918,0.949,0.943,0.914,0.929,0.771,0.868,0.922,0.766,0.81,0.909,0.933
0.45,0.939,0.918,0.805,0.907,0.948,0.847,0.94,0.919,0.928,0.752,0.946,0.934,0.928,0.847,0.939,0.781,0.933,0.947,0.965,0.934,0.946,0.94,0.779,0.936,0.936,0.87,0.859,0.894,0.932,0.936,0.944,0.951,0.943,0.931,0.926,0.753,0.914,0.935,0.95,0.743,0.844,0.844,0.92,0.926,0.908,0.928,0.933,0.928,0.95,0.91,0.827,0.923,0.939,0.954,0.934,0.852,0.943,0.926,0.938,0.852,0.927,0.952,0.921,0.778,0.943,0.95,0.875,0.71,0.914,0.943,0.937,0.935,0.918,0.824,0.965,0.934,0.946,0.946,0.742,0.956,0.941,0.756,0.884,0.925,0.944,0.72,0.81,0.939,0.904,0.817,0.937,0.953,0.936,0.86,0.924,0.945,0.945,0.916,0.93,0.936
0.50,0.954,0.928,0.732,0.879,0.837,0.952,0.93,0.929,0.945,0.936,0.916,0.834,0.725,0.904,0.768,0.955,0.938,0.934,0.945,0.937,0.916,0.936,0.955,0.925,0.946,0.878,0.895,0.763,0.728,0.949,0.949,0.944,0.935,0.941,0.939,0.751,0.932,0.865,0.947,0.764,0.771,0.922,0.917,0.946,0.903,0.936,0.94,0.948,0.942,0.932,0.912,0.931,0.935,0.939,0.946,0.844,0.955,0.945,0.868,0.953,0.871,0.932,0.941,0.943,0.948,0.952,0.955,0.838,0.936,0.937,0.946,0.924,0.951,0.925,0.948,0.753,0.936,0.922,0.931,0.918,0.945,0.938,0.867,0.764,0.948,0.924,0.948,0.95,0.914,0.841,0.847,0.949,0.934,0.893,0.825,0.926,0.752,0.912,0.788,0.937
0.55,0.923,0.918,0.738,0.921,0.953,0.957,0.942,0.937,0.943,0.762,0.933,0.893,0.725,0.948,0.766,0.936,0.951,0.933,0.945,0.957,0.898,0.95,0.945,0.939,0.95,0.951,0.926,0.941,0.94,0.841,0.96,0.922,0.917,0.944,0.937,0.753,0.915,0.95,0.955,0.736,0.954,0.69,0.758,0.952,0.739,0.931,0.962,0.895,0.955,0.728,0.817,0.935,0.944,0.941,0.924,0.904,0.905,0.921,0.939,0.95,0.696,0.954,0.94,0.929,0.95,0.939,0.948,0.72,0.94,0.936,0.951,0.927,0.949,0.929,0.952,0.913,0.947,0.943,0.922,0.964,0.932,0.941,0.916,0.941,0.942,0.931,0.952,0.935,0.864,0.947,0.784,0.956,0.943,0.77,0.939,0.922,0.924,0.827,0.904,0.939
0.60,0.948,0.924,0.734,0.918,0.942,0.913,0.943,0.944,0.767,0.949,0.937,0.757,0.752,0.968,0.896,0.926,0.939,0.94,0.936,0.934,0.92,0.865,0.949,0.949,0.928,0.965,0.954,0.955,0.954,0.834,0.955,0.935,0.947,0.936,0.931,0.958,0.937,0.942,0.947,0.928,0.95,0.928,0.922,0.961,0.925,0.936,0.946,0.941,0.949,0.739,0.942,0.938,0.935,0.945,0.921,0.953,0.946,0.955,0.932,0.944,0.942,0.936,0.92,0.927,0.954,0.94,0.968,0.864,0.764,0.953,0.923,0.768,0.928,0.908,0.959,0.726,0.808,0.947,0.935,0.972,0.932,0.947,0.767,0.944,0.974,0.756,0.955,0.904,0.879,0.937,0.96,0.79,0.954,0.946,0.951,0.933,0.948,0.935,0.932,0.91
0.65,0.937,0.928,0.945,0.861,0.949,0.886,0.939,0.929,0.941,0.944,0.958,0.938,0.755,0.945,0.958,0.797,0.958,0.941,0.963,0.91,0.94,0.948,0.947,0.967,0.925,0.96,0.934,0.947,0.946,0.936,0.953,0.933,0.95,0.939,0.942,0.961,0.932,0.955,0.707,0.763,0.957,0.861,0.924,0.933,0.943,0.925,0.963,0.909,0.951,0.966,0.952,0.959,0.934,0.953,0.942,0.92,0.957,0.951,0.952,0.954,0.939,0.954,0.941,0.927,0.959,0.937,0.946,0.918,0.84,0.945,0.953,0.948,0.955,0.947,0.969,0.937,0.934,0.926,0.905,0.979,0.947,0.924,0.939,0.952,0.962,0.942,0.731,0.934,0.927,0.816,0.954,0.78,0.901,0.908,0.938,0.949,0.946,0.934,0.923,0.952
