ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.862,0.718,0.221,0.821,0.776,0.785,0.76,0.795,0.604,0.841,0.851,0.551,0.767,0.845,0.5,0.71,0.559,0.824,0.6,0.715,0.502,0.76,0.761,0.828,0.82,0.809,0.835,0.886,0.683,0.788,0.69,0.723,-0.228,0.578,0.843,0.726,0.525,0.731,-4.638,0.676,0.598,0.309,0.893,0.589,0.903,0.792,0.698,0.46,0.838,0.625,0.749,0.344,0.852,0.339,0.775,0.859,0.681,0.191,0.784,0.796,-0.533,0.765,0.689,-0.47,0.767,0.871,0.724,0.524,0.79,-1.229,0.822,0.636,0.507,-0.246,0.723,0.294,0.584,0.884,0.838,0.86,0.663,0.822,0.805,0.747,0.808,-0.007,0.804,0.753,0.854,-0.033,0.363,0.59,0.556,0.627,0.695,0.577,0.82,0.619,0.772,0.451
0.10,0.892,0.845,0.838,0.829,0.621,0.793,0.645,0.908,0.755,0.722,0.424,0.574,0.892,0.892,0.904,0.848,0.685,0.861,0.791,0.707,0.901,0.86,0.834,0.877,0.917,0.907,0.848,0.877,0.577,0.916,0.874,0.812,0.898,0.899,0.481,0.832,0.818,0.638,0.164,0.438,0.845,0.844,0.849,0.818,0.788,0.753,0.689,0.922,0.884,0.596,0.841,0.885,0.863,0.911,0.921,0.479,0.902,0.906,0.849,0.828,0.836,0.782,0.581,0.814,0.75,0.811,0.86,0.875,0.855,0.703,0.913,0.811,0.844,0.866,0.783,0.777,0.919,0.394,0.791,0.816,0.226,0.869,0.694,0.832,0.883,0.856,0.871,0.882,0.743,0.875,0.854,0.395,0.622,0.798,0.874,0.755,0.799,0.91,0.884,0.887
0.15,0.88,0.908,0.878,0.89,0.908,0.828,0.855,0.881,0.752,0.863,0.878,0.504,0.942,0.926,0.916,0.867,0.834,0.618,0.94,0.869,0.904,0.929,0.892,0.865,0.935,0.849,0.836,0.891,0.94,0.907,0.826,0.885,0.798,0.896,0.689,0.875,0.927,0.658,0.452,0.903,0.682,0.883,0.844,0.928,0.629,0.9,0.896,0.873,0.697,0.921,0.901,0.924,0.823,-0.621,0.799,0.928,0.409,0.909,0.887,0.75,0.923,0.927,0.756,0.919,0.893,0.885,0.827,0.893,0.504,0.923,0.899,0.926,0.918,0.857,0.873,0.916,0.907,0.881,0.804,0.914,0.924,0.818,0.838,0.904,0.905,0.901,0.829,0.881,0.923,0.911,0.921,0.911,0.871,0.876,0.94,0.906,0.787,0.83,0.805,0.93
0.20,0.915,0.935,0.934,0.896,0.82,0.928,0.918,0.88,0.966,0.315,0.878,0.883,0.952,0.931,0.947,0.929,0.905,0.906,0.859,0.305,0.822,0.932,0.921,0.946,0.952,0.826,0.95,0.943,0.697,0.92,0.872,0.881,0.921,0.96,0.948,0.939,0.961,0.79,0.833,0.645,0.897,0.881,0.905,0.878,0.914,0.871,0.943,0.892,0.935,0.945,0.923,0.918,0.867,0.932,0.921,0.837,0.829,0.94,0.919,0.928,0.935,0.886,0.911,0.707,0.941,0.914,0.84,0.915,0.921,0.861,0.876,0.907,0.958,0.957,0.907,0.952,0.909,0.934,0.898,0.869,0.933,0.918,0.887,0.911,0.941,0.905,0.923,0.954,0.376,0.949,0.927,0.959,0.946,0.876,0.922,0.877,0.928,0.904,0.889,0.948
0.25,0.924,0.965,0.956,0.956,0.938,0.94,0.93,0.905,0.965,0.857,0.936,0.92,0.942,0.932,0.943,0.941,0.306,0.94,0.882,0.947,0.929,0.855,0.92,0.956,0.95,0.913,0.956,0.928,0.945,0.907,0.931,0.886,0.91,0.962,0.927,0.921,0.941,0.74,0.926,0.928,0.934,0.906,0.928,0.947,0.949,0.89,0.928,0.945,0.734,0.955,0.827,0.944,0.936,0.957,0.952,0.945,0.937,0.944,0.945,0.936,0.96,0.945,0.916,0.964,0.966,0.959,0.945,0.952,0.908,0.924,0.937,0.938,0.888,0.957,0.958,0.957,0.927,0.951,0.921,0.948,0.97,0.95,0.949,0.938,0.956,0.825,0.917,0.929,0.892,0.908,0.959,0.974,0.952,0.887,0.931,0.94,0.941,0.921,0.943,0.958
0.30,0.953,0.97,0.923,0.953,0.955,0.945,0.945,0.924,0.916,0.85,0.937,0.888,0.917,0.894,0.962,0.938,0.973,0.955,0.942,0.914,0.763,0.903,0.948,0.946,0.914,0.876,0.955,0.952,0.96,0.961,0.919,0.883,0.962,0.962,0.935,0.947,0.948,0.955,0.893,0.931,0.865,0.939,0.953,0.944,0.949,0.958,0.971,0.947,0.929,0.944,0.945,0.95,0.94,0.965,0.96,0.961,0.957,0.961,0.944,0.961,0.953,0.938,0.936,0.954,0.955,0.938,0.909,0.936,0.905,0.964,0.941,0.945,0.966,0.941,0.948,0.96,0.946,0.963,0.935,0.956,0.96,0.962,0.968,0.935,0.962,0.948,0.953,0.955,0.959,0.933,0.941,0.93,0.957,0.911,0.951,0.807,0.962,0.958,0.955,0.952
0.35,0.946,0.953,0.946,0.935,0.956,0.939,0.978,0.949,0.965,0.965,0.956,0.962,0.942,0.949,0.969,0.973,0.811,0.947,0.957,0.958,0.938,0.954,0.957,0.962,0.973,0.968,0.956,0.923,0.976,0.962,0.928,0.959,0.959,0.963,0.967,0.964,0.957,0.878,0.963,0.937,0.957,0.954,0.917,0.962,0.972,0.964,0.932,0.949,0.948,0.967,0.97,0.962,0.971,0.968,0.933,0.947,0.818,0.957,0.966,0.944,0.964,0.962,0.891,0.91,0.939,0.957,0.887,0.954,0.943,0.97,0.958,0.948,0.971,0.973,0.8,0.978,0.953,0.894,0.941,0.945,0.954,0.934,0.964,0.939,0.93,0.952,0.949,0.976,0.929,0.918,0.975,0.957,0.962,0.952,0.957,0.967,0.951,0.961,0.957,0.932
0.40,0.957,0.976,0.968,0.945,0.97,0.944,0.981,0.97,0.965,0.972,0.968,0.937,0.968,0.946,0.964,0.944,0.97,0.953,0.948,0.936,0.959,0.97,0.94,0.975,0.975,0.951,0.94,0.966,0.968,0.965,0.969,0.959,0.972,0.935,0.97,0.951,0.957,0.975,0.958,0.936,0.951,0.974,0.951,0.945,0.966,0.951,0.957,0.96,0.947,0.952,0.945,0.974,0.942,0.981,0.944,0.943,0.927,0.97,0.936,0.961,0.973,0.962,0.953,0.976,0.957,0.955,0.971,0.973,0.959,0.954,0.964,0.961,0.964,0.958,0.964,0.967,0.963,0.957,0.931,0.941,0.976,0.957,0.957,0.97,0.978,0.965,0.949,0.965,0.953,0.954,0.958,0.955,0.962,0.977,0.97,0.951,0.795,0.961,0.978,0.96
0.45,0.966,0.977,0.948,0.94,0.967,0.971,0.975,0.975,0.938,0.981,0.959,0.941,0.957,0.948,0.965,0.972,0.942,0.955,0.959,0.97,0.962,0.973,0.951,0.969,0.956,0.974,0.967,0.981,0.954,0.975,0.968,0.956,0.984,0.98,0.966,0.961,0.979,0.964,0.974,0.983,0.955,0.962,0.961,0.954,0.973,0.966,0.976,0.966,0.974,0.976,0.963,0.95,0.95,0.979,0.967,0.955,0.967,0.962,0.946,0.985,0.955,0.98,0.956,0.978,0.941,0.96,0.975,0.927,0.963,0.97,0.974,0.975,0.965,0.975,0.975,0.968,0.956,0.946,0.97,0.974,0.974,0.96,0.98,0.975,0.971,0.985,0.963,0.954,0.832,0.976,0.975,0.97,0.966,0.961,0.959,0.943,0.966,0.962,0.956,0.981
0.50,0.959,0.981,0.977,0.956,0.963,0.95,0.974,0.981,0.971,0.977,0.971,0.962,0.956,0.977,0.98,0.964,0.968,0.967,0.966,0.915,0.968,0.975,0.953,0.98,0.97,0.964,0.957,0.982,0.965,0.968,0.963,0.975,0.972,0.97,0.965,0.974,0.98,0.97,0.981,0.949,0.982,0.955,0.959,0.967,0.976,0.974,0.976,0.981,0.986,0.956,0.961,0.958,0.945,0.973,0.967,0.934,0.944,0.978,0.985,0.966,0.976,0.965,0.968,0.969,0.971,0.971,0.976,0.969,0.974,0.972,0.977,0.985,0.964,0.973,0.963,0.969,0.975,0.963,0.974,0.968,0.984,0.966,0.98,0.963,0.966,0.97,0.934,0.962,0.958,0.952,0.961,0.973,0.96,0.962,0.974,0.973,0.974,0.976,0.98,0.977
