ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.971,0.925,0.911,0.474,0.901,0.956,0.96,0.955,0.814,0.944,0.968,0.866,0.91,0.853,0.923,0.946,0.761,0.927,0.947,0.903,0.953,0.928,0.784,0.921,0.838,0.883,0.928,0.868,0.953,0.91,0.923,0.941,0.944,0.933,0.901,0.921,0.476,0.881,0.543,0.844,0.91,0.809,0.877,0.87,0.925,0.784,0.886,0.867,0.921,0.942,0.891,0.749,0.866,0.772,0.847,0.79,0.908,-0.351,0.836,0.925,0.957,0.844,0.92,0.901,0.805,0.926,0.933,0.919,0.931,0.968,0.705,0.918,0.936,0.877,0.736,0.965,0.951,0.959,0.944,0.885,0.915,0.754,0.889,0.922,0.882,0.852,0.808,0.92,0.934,0.807,0.868,0.945,0.937,0.956,0.891,0.949,0.935,0.918,0.703,0.907
0.10,0.978,0.957,0.961,0.981,0.912,0.973,0.957,0.973,0.917,0.98,0.959,0.955,0.973,0.971,0.852,0.978,0.867,0.959,0.969,0.942,0.949,0.975,0.96,0.974,0.937,0.98,0.951,0.958,0.96,0.979,0.965,0.974,0.898,0.972,0.908,0.971,0.974,0.98,0.959,0.978,0.908,0.967,0.979,0.914,0.939,0.962,0.955,0.825,0.911,0.98,0.977,0.956,0.971,0.874,0.986,0.958,0.968,0.964,0.943,0.972,0.976,0.954,0.968,0.967,0.914,0.973,0.974,0.968,0.975,0.975,0.951,0.98,0.976,0.966,0.903,0.953,0.975,0.972,0.971,0.974,0.952,0.958,0.96,0.975,0.915,0.983,0.872,0.961,0.966,0.977,0.971,0.981,0.946,0.95,0.837,0.942,0.968,0.965,0.974,0.957
0.15,0.985,0.985,0.982,0.98,0.98,0.985,0.985,0.988,0.965,0.949,0.985,0.972,0.979,0.822,0.978,0.983,0.981,0.986,0.972,0.964,0.987,0.967,0.987,0.983,0.985,0.966,0.978,0.977,0.984,0.987,0.986,0.966,0.94,0.967,0.981,0.969,0.976,0.988,0.964,0.986,0.965,0.985,0.677,0.959,0.983,0.984,0.975,0.976,0.977,0.983,0.983,0.98,0.98,0.979,0.976,0.973,0.98,0.982,0.972,0.986,0.987,0.855,0.981,0.987,0.965,0.982,0.961,0.982,0.985,0.972,0.966,0.981,0.989,0.955,0.983,0.984,0.98,0.983,0.974,0.985,0.974,0.984,0.977,0.973,0.946,0.977,0.982,0.981,0.98,0.984,0.984,0.962,0.967,0.979,0.97,0.976,0.977,0.967,0.963,0.981
0.20,0.973,0.989,0.989,0.988,0.981,0.989,0.986,0.991,0.99,0.984,0.986,0.988,0.986,0.982,0.989,0.991,0.986,0.987,0.991,0.984,0.988,0.991,0.986,0.989,0.984,0.984,0.98,0.988,0.985,0.99,0.988,0.984,0.979,0.985,0.982,0.99,0.978,0.989,0.987,0.986,0.983,0.988,0.982,0.969,0.988,0.985,0.983,0.974,0.99,0.984,0.989,0.982,0.989,0.984,0.98,0.987,0.981,0.97,0.984,0.987,0.987,0.97,0.987,0.988,0.985,0.989,0.978,0.982,0.99,0.983,0.966,0.979,0.991,0.964,0.989,0.989,0.983,0.988,0.991,0.985,0.987,0.988,0.987,0.978,0.979,0.965,0.986,0.986,0.992,0.976,0.989,0.987,0.976,0.977,0.99,0.977,0.99,0.96,0.975,0.988
0.25,0.978,0.985,0.992,0.99,0.985,0.987,0.987,0.991,0.985,0.992,0.988,0.987,0.989,0.989,0.984,0.985,0.982,0.986,0.984,0.983,0.987,0.986,0.98,0.99,0.985,0.989,0.97,0.988,0.989,0.989,0.991,0.981,0.986,0.989,0.988,0.993,0.992,0.992,0.982,0.991,0.993,0.988,0.992,0.989,0.986,0.989,0.982,0.987,0.984,0.985,0.985,0.988,0.989,0.987,0.992,0.987,0.987,0.99,0.978,0.986,0.986,0.984,0.986,0.99,0.991,0.986,0.968,0.987,0.989,0.986,0.952,0.988,0.993,0.986,0.983,0.991,0.992,0.984,0.985,0.986,0.987,0.991,0.991,0.983,0.983,0.987,0.987,0.993,0.99,0.984,0.988,0.988,0.988,0.977,0.991,0.985,0.98,0.984,0.99,0.988
0.30,0.991,0.991,0.992,0.988,0.988,0.992,0.99,0.989,0.99,0.993,0.988,0.988,0.989,0.985,0.993,0.99,0.973,0.991,0.992,0.985,0.993,0.987,0.99,0.986,0.987,0.988,0.987,0.988,0.991,0.992,0.99,0.985,0.99,0.992,0.991,0.987,0.989,0.99,0.987,0.991,0.991,0.988,0.99,0.987,0.989,0.989,0.991,0.986,0.989,0.989,0.987,0.992,0.988,0.99,0.989,0.992,0.99,0.983,0.981,0.991,0.988,0.99,0.99,0.993,0.99,0.99,0.988,0.991,0.992,0.985,0.986,0.991,0.993,0.971,0.984,0.989,0.992,0.99,0.99,0.988,0.992,0.991,0.991,0.99,0.988,0.99,0.988,0.993,0.99,0.992,0.989,0.985,0.988,0.984,0.989,0.99,0.988,0.993,0.989,0.989
0.35,0.982,0.99,0.99,0.992,0.992,0.993,0.993,0.99,0.989,0.99,0.993,0.991,0.993,0.99,0.993,0.992,0.99,0.994,0.992,0.99,0.991,0.992,0.987,0.991,0.988,0.991,0.99,0.993,0.991,0.993,0.991,0.987,0.99,0.989,0.991,0.992,0.993,0.987,0.986,0.989,0.995,0.988,0.991,0.991,0.989,0.992,0.992,0.984,0.991,0.989,0.991,0.992,0.99,0.989,0.992,0.993,0.989,0.994,0.992,0.991,0.974,0.988,0.993,0.995,0.992,0.991,0.991,0.987,0.99,0.989,0.99,0.994,0.991,0.974,0.992,0.989,0.989,0.992,0.991,0.988,0.991,0.991,0.993,0.99,0.991,0.992,0.992,0.993,0.991,0.993,0.992,0.989,0.992,0.988,0.99,0.989,0.989,0.993,0.991,0.991
0.40,0.992,0.992,0.993,0.993,0.988,0.992,0.992,0.99,0.994,0.994,0.989,0.992,0.992,0.992,0.992,0.992,0.992,0.991,0.99,0.987,0.992,0.993,0.991,0.991,0.99,0.992,0.99,0.992,0.991,0.993,0.978,0.991,0.993,0.993,0.993,0.994,0.993,0.994,0.992,0.976,0.993,0.994,0.991,0.991,0.992,0.993,0.99,0.989,0.992,0.991,0.99,0.994,0.994,0.993,0.992,0.991,0.987,0.991,0.966,0.994,0.977,0.988,0.991,0.995,0.991,0.993,0.994,0.993,0.99,0.991,0.987,0.995,0.991,0.993,0.994,0.991,0.987,0.993,0.994,0.993,0.992,0.996,0.993,0.993,0.99,0.991,0.99,0.993,0.992,0.991,0.992,0.993,0.991,0.992,0.993,0.991,0.995,0.992,0.99,0.99
0.45,0.988,0.995,0.994,0.996,0.994,0.993,0.989,0.992,0.991,0.977,0.994,0.994,0.992,0.991,0.99,0.991,0.993,0.991,0.991,0.993,0.993,0.991,0.99,0.992,0.99,0.991,0.992,0.992,0.994,0.993,0.97,0.993,0.992,0.99,0.993,0.976,0.995,0.991,0.991,0.993,0.995,0.992,0.993,0.994,0.988,0.992,0.995,0.994,0.995,0.992,0.99,0.991,0.993,0.991,0.992,0.992,0.995,0.993,0.972,0.995,0.992,0.993,0.992,0.994,0.988,0.992,0.995,0.994,0.991,0.992,0.989,0.994,0.994,0.99,0.994,0.991,0.991,0.992,0.992,0.991,0.992,0.994,0.993,0.995,0.99,0.991,0.993,0.994,0.992,0.993,0.992,0.992,0.993,0.994,0.993,0.995,0.994,0.992,0.975,0.991
0.50,0.993,0.993,0.996,0.994,0.993,0.993,0.995,0.992,0.991,0.995,0.992,0.993,0.993,0.993,0.993,0.992,0.995,0.991,0.993,0.994,0.992,0.992,0.995,0.993,0.992,0.992,0.993,0.994,0.993,0.993,0.994,0.993,0.994,0.993,0.994,0.995,0.992,0.992,0.993,0.993,0.994,0.994,0.995,0.993,0.987,0.993,0.991,0.986,0.992,0.993,0.99,0.994,0.994,0.993,0.994,0.992,0.991,0.991,0.992,0.993,0.992,0.994,0.993,0.995,0.992,0.992,0.993,0.996,0.994,0.992,0.993,0.995,0.991,0.993,0.996,0.993,0.991,0.994,0.995,0.992,0.991,0.995,0.991,0.992,0.991,0.994,0.992,0.993,0.993,0.993,0.995,0.992,0.995,0.989,0.991,0.995,0.994,0.994,0.992,0.994
0.55,0.995,0.992,0.995,0.995,0.994,0.995,0.993,0.993,0.992,0.995,0.99,0.994,0.993,0.994,0.994,0.991,0.991,0.993,0.995,0.992,0.994,0.993,0.988,0.994,0.995,0.992,0.992,0.994,0.991,0.994,0.994,0.994,0.994,0.993,0.995,0.994,0.993,0.994,0.984,0.994,0.995,0.995,0.996,0.994,0.994,0.994,0.993,0.993,0.993,0.992,0.991,0.992,0.993,0.993,0.994,0.992,0.994,0.994,0.994,0.99,0.99,0.994,0.991,0.995,0.992,0.993,0.995,0.993,0.993,0.993,0.994,0.995,0.994,0.993,0.989,0.988,0.993,0.994,0.994,0.987,0.993,0.995,0.991,0.995,0.995,0.994,0.993,0.992,0.99,0.993,0.993,0.992,0.991,0.995,0.993,0.995,0.99,0.994,0.992,0.993
0.60,0.994,0.994,0.993,0.992,0.994,0.993,0.992,0.993,0.992,0.995,0.994,0.995,0.993,0.993,0.994,0.994,0.993,0.988,0.99,0.995,0.994,0.993,0.994,0.991,0.994,0.993,0.995,0.988,0.994,0.995,0.995,0.995,0.992,0.994,0.995,0.995,0.991,0.993,0.99,0.992,0.991,0.992,0.994,0.995,0.994,0.993,0.991,0.99,0.995,0.993,0.992,0.993,0.994,0.994,0.994,0.994,0.991,0.993,0.991,0.994,0.994,0.995,0.991,0.994,0.991,0.992,0.994,0.994,0.992,0.994,0.994,0.995,0.993,0.994,0.995,0.994,0.994,0.995,0.995,0.992,0.975,0.995,0.993,0.993,0.993,0.977,0.996,0.995,0.992,0.995,0.995,0.994,0.994,0.994,0.995,0.994,0.995,0.995,0.975,0.994
0.65,0.994,0.994,0.995,0.996,0.977,0.994,0.994,0.996,0.994,0.996,0.994,0.994,0.991,0.995,0.993,0.995,0.994,0.993,0.994,0.994,0.992,0.994,0.994,0.993,0.992,0.992,0.993,0.993,0.994,0.994,0.994,0.995,0.994,0.992,0.992,0.994,0.977,0.993,0.994,0.994,0.994,0.992,0.994,0.994,0.994,0.991,0.995,0.992,0.994,0.995,0.994,0.993,0.996,0.994,0.994,0.994,0.993,0.995,0.993,0.995,0.992,0.995,0.994,0.994,0.99,0.994,0.995,0.993,0.991,0.994,0.994,0.995,0.993,0.994,0.995,0.995,0.992,0.994,0.993,0.994,0.994,0.995,0.992,0.996,0.995,0.991,0.995,0.996,0.992,0.995,0.993,0.994,0.993,0.995,0.994,0.995,0.995,0.992,0.99,0.99
