ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.819,0.929,0.901,0.698,0.929,0.76,0.909,0.94,0.735,0.937,0.94,0.909,0.909,0.85,0.838,0.848,0.944,0.873,0.953,0.953,0.954,0.727,0.959,0.959,0.88,0.954,0.889,0.907,0.768,0.838,0.93,0.977,0.676,0.771,0.961,0.967,0.936,0.951,0.873,0.896,0.973,0.451,0.884,0.939,0.883,0.956,0.908,0.881,0.941,0.884,0.924,0.927,-0.438,0.918,0.846,0.919,0.891,0.654,0.57,0.963,0.606,0.945,0.929,0.841,0.88,0.942,0.931,0.832,0.898,0.899,0.832,0.75,0.871,0.901,0.946,0.892,0.9,0.914,0.945,0.907,0.851,0.939,0.91,0.954,0.955,0.92,0.949,0.849,0.667,0.897,0.896,0.965,0.877,0.877,0.91,0.833,0.936,0.959,0.842,0.76
0.10,0.957,0.982,0.969,0.943,0.964,0.959,0.971,0.972,0.976,0.973,0.976,0.974,0.979,0.964,0.982,0.963,0.968,0.938,0.957,0.957,0.942,0.939,0.949,0.943,0.945,0.97,0.967,0.963,0.952,0.954,0.977,0.97,0.839,0.956,0.967,0.97,0.976,0.977,0.931,0.962,0.969,0.959,0.966,0.944,0.979,0.979,0.926,0.91,0.966,0.928,0.976,0.958,0.933,0.957,0.939,0.957,0.931,0.917,0.957,0.961,0.96,0.976,0.982,0.981,0.957,0.983,0.97,0.88,0.981,0.961,0.924,0.968,0.971,0.949,0.982,0.984,0.941,0.82,0.974,0.953,0.964,0.982,0.98,0.907,0.977,0.828,0.962,0.975,0.952,0.966,0.959,0.95,0.94,0.981,0.972,0.98,0.945,0.942,0.937,0.984
0.15,0.98,0.986,0.961,0.984,0.978,0.973,0.98,0.976,0.985,0.986,0.95,0.987,0.94,0.985,0.985,0.986,0.979,0.987,0.867,0.988,0.982,0.985,0.985,0.974,0.982,0.954,0.976,0.983,0.762,0.969,0.98,0.985,0.944,0.97,0.974,0.983,0.982,0.973,0.954,0.978,0.97,0.974,0.99,0.982,0.987,0.958,0.978,0.977,0.982,0.966,0.988,0.986,0.978,0.983,0.983,0.982,0.966,0.978,0.976,0.983,0.98,0.98,0.963,0.979,0.978,0.983,0.99,0.98,0.985,0.988,0.985,0.972,0.964,0.982,0.983,0.983,0.973,0.94,0.954,0.984,0.977,0.988,0.987,0.987,0.984,0.92,0.974,0.985,0.98,0.987,0.973,0.984,0.977,0.956,0.971,0.972,0.975,0.984,0.986,0.974
0.20,0.986,0.986,0.979,0.981,0.987,0.989,0.983,0.991,0.99,0.991,0.956,0.984,0.985,0.988,0.987,0.985,0.99,0.98,0.983,0.989,0.986,0.983,0.984,0.985,0.989,0.983,0.99,0.976,0.987,0.962,0.99,0.989,0.978,0.986,0.99,0.987,0.98,0.972,0.984,0.947,0.988,0.989,0.991,0.986,0.983,0.987,0.977,0.984,0.989,0.983,0.984,0.988,0.986,0.98,0.988,0.971,0.982,0.987,0.988,0.972,0.986,0.982,0.979,0.986,0.971,0.989,0.989,0.986,0.985,0.988,0.986,0.975,0.985,0.983,0.985,0.988,0.986,0.973,0.98,0.987,0.981,0.99,0.989,0.981,0.983,0.982,0.987,0.988,0.986,0.989,0.975,0.988,0.984,0.971,0.988,0.986,0.988,0.985,0.99,0.986
0.25,0.987,0.989,0.987,0.992,0.989,0.99,0.993,0.979,0.988,0.987,0.989,0.989,0.992,0.988,0.991,0.989,0.987,0.982,0.974,0.992,0.99,0.971,0.991,0.986,0.992,0.993,0.99,0.987,0.989,0.99,0.989,0.99,0.987,0.987,0.989,0.969,0.987,0.987,0.989,0.969,0.983,0.973,0.991,0.987,0.984,0.991,0.99,0.989,0.981,0.994,0.991,0.988,0.987,0.989,0.983,0.987,0.99,0.987,0.98,0.984,0.98,0.985,0.989,0.991,0.98,0.99,0.984,0.991,0.985,0.993,0.982,0.987,0.99,0.986,0.988,0.988,0.989,0.989,0.985,0.983,0.99,0.989,0.988,0.987,0.975,0.983,0.982,0.988,0.984,0.988,0.985,0.99,0.984,0.987,0.992,0.989,0.983,0.986,0.984,0.989
0.30,0.995,0.988,0.992,0.968,0.992,0.993,0.991,0.99,0.993,0.993,0.985,0.989,0.972,0.99,0.991,0.991,0.992,0.986,0.975,0.994,0.989,0.974,0.974,0.962,0.989,0.99,0.991,0.995,0.993,0.987,0.992,0.992,0.992,0.992,0.989,0.988,0.993,0.988,0.989,0.987,0.972,0.99,0.989,0.989,0.992,0.991,0.992,0.99,0.987,0.992,0.988,0.994,0.978,0.988,0.988,0.99,0.994,0.988,0.986,0.988,0.992,0.986,0.991,0.991,0.993,0.988,0.991,0.992,0.986,0.991,0.993,0.989,0.988,0.987,0.988,0.99,0.991,0.988,0.988,0.99,0.988,0.99,0.993,0.981,0.989,0.99,0.991,0.991,0.99,0.989,0.988,0.984,0.984,0.985,0.989,0.992,0.985,0.988,0.989,0.99
0.35,0.99,0.993,0.992,0.989,0.992,0.99,0.992,0.963,0.989,0.992,0.988,0.988,0.992,0.99,0.992,0.991,0.988,0.988,0.991,0.991,0.993,0.99,0.991,0.989,0.995,0.992,0.992,0.988,0.987,0.985,0.993,0.99,0.996,0.988,0.991,0.994,0.992,0.993,0.991,0.987,0.99,0.991,0.991,0.984,0.992,0.991,0.99,0.989,0.992,0.991,0.99,0.993,0.991,0.992,0.993,0.991,0.987,0.99,0.98,0.992,0.988,0.988,0.995,0.993,0.99,0.988,0.992,0.993,0.991,0.992,0.99,0.986,0.99,0.987,0.991,0.992,0.99,0.991,0.989,0.987,0.992,0.991,0.992,0.991,0.989,0.985,0.988,0.991,0.99,0.991,0.989,0.991,0.987,0.99,0.993,0.992,0.99,0.99,0.991,0.992
0.40,0.994,0.993,0.992,0.989,0.993,0.993,0.995,0.992,0.993,0.993,0.993,0.971,0.986,0.994,0.99,0.994,0.99,0.991,0.992,0.993,0.991,0.993,0.989,0.991,0.994,0.991,0.991,0.992,0.99,0.984,0.994,0.991,0.991,0.992,0.991,0.992,0.991,0.992,0.992,0.993,0.992,0.99,0.992,0.991,0.992,0.993,0.989,0.992,0.99,0.994,0.991,0.992,0.994,0.987,0.993,0.99,0.988,0.992,0.987,0.989,0.994,0.992,0.995,0.992,0.99,0.99,0.994,0.992,0.992,0.988,0.993,0.987,0.994,0.994,0.992,0.994,0.993,0.993,0.993,0.993,0.993,0.989,0.992,0.993,0.973,0.994,0.992,0.993,0.993,0.99,0.989,0.991,0.993,0.992,0.99,0.99,0.99,0.991,0.992,0.991
0.45,0.992,0.993,0.992,0.994,0.993,0.994,0.994,0.993,0.994,0.993,0.993,0.992,0.992,0.996,0.969,0.994,0.994,0.992,0.992,0.993,0.99,0.994,0.989,0.993,0.994,0.989,0.994,0.991,0.991,0.99,0.994,0.991,0.996,0.995,0.993,0.996,0.993,0.993,0.995,0.992,0.993,0.992,0.992,0.992,0.993,0.994,0.989,0.991,0.989,0.994,0.99,0.994,0.991,0.99,0.994,0.991,0.993,0.991,0.988,0.99,0.994,0.991,0.995,0.991,0.994,0.99,0.995,0.991,0.992,0.991,0.994,0.994,0.991,0.97,0.993,0.993,0.995,0.993,0.988,0.994,0.988,0.991,0.991,0.971,0.992,0.993,0.992,0.991,0.991,0.992,0.991,0.988,0.984,0.991,0.993,0.991,0.99,0.992,0.993,0.992
0.50,0.994,0.992,0.993,0.991,0.99,0.993,0.995,0.991,0.993,0.991,0.996,0.989,0.992,0.993,0.995,0.995,0.993,0.993,0.993,0.994,0.991,0.994,0.992,0.995,0.994,0.992,0.995,0.991,0.991,0.991,0.993,0.995,0.99,0.991,0.993,0.993,0.993,0.993,0.995,0.993,0.994,0.992,0.994,0.977,0.993,0.994,0.991,0.993,0.994,0.996,0.994,0.993,0.993,0.994,0.994,0.995,0.994,0.994,0.995,0.971,0.991,0.993,0.995,0.992,0.991,0.994,0.992,0.99,0.993,0.993,0.991,0.993,0.991,0.994,0.991,0.994,0.992,0.992,0.988,0.992,0.992,0.989,0.993,0.994,0.996,0.992,0.989,0.994,0.994,0.992,0.991,0.992,0.994,0.991,0.989,0.995,0.993,0.991,0.992,0.993
