ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.773,0.452,0.338,0.341,0.823,0.057,0.717,0.398,0.695,0.298,0.598,0.541,0.786,0.662,0.769,-0.005,0.784,0.588,0.681,0.504,0.731,0.003,0.846,-0.374,0.837,-2.22,0.629,0.549,0.127,0.669,0.544,0.377,0.749,0.365,-0.122,0.717,0.702,0.6,0.496,0.632,-1.905,0.506,-0.674,-0.123,0.692,-0.388,0.161,-0.078,0.166,0.697,0.553,0.618,0.589,0.726,0.766,0.74,0.344,0.849,0.558,0.569,0.579,0.581,-0.023,0.56,0.75,0.336,0.567,0.653,0.558,0.77,0.672,-0.133,0.395,0.712,-7.453,0.459,0.674,0.505,0.565,0.246,0.498,0.323,0.434,0.614,0.737,0.683,0.569,0.299,-0.678,-0.079,0.671,0.727,0.338,0.222,-0.35,0.701,0.726,0.737,0.435,0.155
0.10,0.824,0.609,0.705,0.816,0.785,0.771,0.504,0.666,0.695,0.78,0.642,0.302,0.714,0.798,0.775,0.681,0.475,0.77,0.845,0.774,0.848,0.349,0.758,0.138,0.844,0.765,0.796,0.102,0.834,0.772,0.818,0.395,0.666,0.701,0.416,0.087,0.839,0.744,0.801,0.52,0.842,0.758,-0.035,0.818,0.829,0.583,0.451,0.804,0.51,0.87,0.721,0.869,0.582,0.741,0.19,0.476,0.319,0.778,0.393,0.75,0.525,0.567,0.872,0.544,0.863,0.808,0.755,0.716,0.713,0.508,0.716,0.533,0.276,0.662,0.707,0.668,0.813,0.469,0.412,0.811,0.635,0.706,0.209,0.836,0.803,0.643,0.786,0.358,0.579,0.552,0.706,0.314,0.467,0.79,0.565,0.802,0.796,0.877,0.745,0.425
0.15,0.819,0.865,0.765,0.868,0.892,0.356,0.822,0.793,0.881,0.659,0.743,0.78,0.914,0.74,0.87,0.839,0.81,0.889,0.484,0.857,0.873,0.579,0.882,0.827,0.896,0.814,0.867,0.639,0.744,0.492,0.826,0.735,0.754,0.834,0.867,0.869,0.868,0.534,0.851,0.774,0.736,0.747,-11.753,0.875,0.783,-0.047,0.635,0.796,0.87,0.86,0.86,0.893,0.882,0.891,0.756,0.881,0.683,0.62,0.682,0.887,0.849,0.807,0.862,0.816,0.756,0.828,0.861,0.78,0.833,0.819,0.86,-1.309,0.842,0.529,0.579,0.876,0.713,0.785,0.881,0.219,0.87,0.631,0.447,0.836,0.9,0.911,0.837,0.68,0.812,0.787,0.821,0.777,0.825,0.747,0.412,0.858,0.907,0.865,0.779,0.078
0.20,0.895,0.886,0.858,0.868,0.882,0.783,0.904,0.882,0.878,0.21,0.789,0.765,0.874,0.908,0.896,0.863,0.914,0.919,0.877,0.895,0.806,0.884,0.884,0.912,0.914,0.773,0.863,0.885,0.86,0.837,0.897,0.867,0.842,0.866,0.857,0.918,0.849,0.771,0.891,0.789,0.85,0.834,0.434,0.86,0.874,0.601,0.881,0.846,0.868,0.873,0.886,0.9,0.884,0.865,0.79,0.894,0.858,0.891,0.838,0.894,0.851,0.78,0.848,0.854,0.878,0.873,0.911,0.894,0.744,0.866,0.894,0.859,0.905,0.642,0.883,0.876,0.505,0.838,0.879,0.849,0.845,0.899,0.873,0.874,0.927,0.88,0.914,0.888,0.763,0.77,0.807,0.69,0.859,0.76,0.493,0.884,0.878,0.885,0.865,0.758
0.25,0.882,0.835,0.849,0.923,0.893,0.918,0.826,0.905,0.913,0.852,0.888,0.926,0.922,0.905,0.883,0.911,0.845,0.934,0.853,0.883,0.896,0.797,0.918,0.906,0.892,0.797,0.903,0.905,0.864,0.885,0.922,0.877,0.854,0.888,0.87,0.77,0.909,0.766,0.876,0.875,0.894,0.822,0.885,0.878,0.656,0.801,0.903,0.922,0.915,0.913,0.918,0.906,0.899,0.906,0.783,0.914,0.837,0.863,0.913,0.877,0.887,0.879,0.882,0.868,0.891,0.878,0.897,0.866,0.9,0.909,0.889,0.857,0.886,0.866,0.865,0.896,0.707,0.872,0.895,0.875,0.89,0.891,0.851,0.868,0.916,0.877,0.921,0.763,0.904,0.86,0.892,0.87,0.88,0.725,0.804,0.931,0.855,0.886,0.917,0.869
0.30,0.84,0.865,0.871,0.92,0.929,0.878,0.88,0.89,0.892,0.908,0.906,0.902,0.931,0.866,0.929,0.919,0.885,0.9,0.922,0.919,0.905,0.917,0.907,0.856,0.929,0.923,0.878,0.931,0.88,0.741,0.882,0.924,0.91,0.911,0.862,0.888,0.879,0.914,0.885,0.919,0.884,0.876,0.88,0.931,0.885,0.879,0.907,0.92,0.903,0.884,0.926,0.93,0.889,0.923,0.899,0.932,0.919,0.874,0.893,0.918,0.885,0.911,0.926,0.89,0.924,0.928,0.912,0.841,0.875,0.934,0.89,0.831,0.905,0.864,0.875,0.89,0.888,0.895,0.914,0.887,0.86,0.869,0.899,0.899,0.927,0.881,0.931,0.846,0.931,0.847,0.899,0.756,0.915,0.93,0.857,0.876,0.924,0.905,0.892,0.938
0.35,0.89,0.882,0.877,0.918,0.93,0.885,0.918,0.9,0.927,0.905,0.895,0.915,0.894,0.92,0.907,0.887,0.927,0.934,0.923,0.906,0.938,0.898,0.923,0.932,0.935,0.931,0.886,0.921,0.921,0.922,0.916,0.875,0.876,0.922,0.905,0.894,0.897,0.877,0.822,0.87,0.901,0.911,0.894,0.872,0.908,0.875,0.895,0.92,0.874,0.901,0.905,0.928,0.889,0.898,0.929,0.901,0.918,0.896,0.898,0.893,0.905,0.868,0.939,0.906,0.923,0.926,0.898,0.896,0.936,0.908,0.889,0.897,0.923,0.929,0.896,0.862,0.926,0.93,0.89,0.89,0.91,0.905,0.928,0.916,0.926,0.872,0.928,0.915,0.869,0.88,0.914,0.92,0.887,0.924,0.851,0.915,0.906,0.924,0.901,0.916
0.40,0.927,0.939,0.887,0.907,0.925,0.895,0.898,0.923,0.928,0.944,0.918,0.922,0.907,0.906,0.903,0.935,0.936,0.931,0.919,0.882,0.934,0.89,0.93,0.944,0.944,0.938,0.935,0.937,0.927,0.935,0.911,0.909,0.923,0.892,0.893,0.927,0.931,0.935,0.89,0.901,0.915,0.929,0.896,0.874,0.893,0.914,0.93,0.913,0.943,0.896,0.929,0.923,0.935,0.925,0.919,0.92,0.921,0.891,0.898,0.923,0.926,0.922,0.896,0.881,0.873,0.928,0.928,0.902,0.921,0.911,0.883,0.914,0.937,0.875,0.917,0.926,0.905,0.845,0.851,0.905,0.892,0.874,0.894,0.892,0.928,0.883,0.925,0.89,0.883,0.901,0.887,0.895,0.913,0.885,0.933,0.927,0.926,0.932,0.94,0.935
0.45,0.927,0.921,0.743,0.91,0.915,0.905,0.91,0.919,0.925,0.947,0.933,0.936,0.921,0.936,0.949,0.892,0.92,0.941,0.898,0.921,0.937,0.896,0.927,0.916,0.944,0.942,0.914,0.923,0.877,0.904,0.901,0.932,0.923,0.935,0.914,0.929,0.931,0.908,0.923,0.884,0.951,0.892,0.916,0.888,0.932,0.928,0.933,0.908,0.863,0.881,0.924,0.906,0.925,0.925,0.902,0.922,0.91,0.927,0.923,0.927,0.937,0.865,0.928,0.891,0.937,0.922,0.908,0.928,0.934,0.943,0.908,0.93,0.919,0.926,0.87,0.911,0.887,0.933,0.937,0.924,0.941,0.915,0.946,0.887,0.926,0.904,0.923,0.86,0.903,0.89,0.928,0.933,0.932,0.934,0.931,0.895,0.947,0.941,0.917,0.917
0.50,0.888,0.934,0.923,0.899,0.888,0.939,0.932,0.866,0.936,0.934,0.938,0.898,0.951,0.9,0.91,0.944,0.906,0.9,0.91,0.913,0.931,0.899,0.92,0.929,0.944,0.939,0.934,0.938,0.878,0.901,0.934,0.927,0.92,0.905,0.917,0.936,0.898,0.906,0.86,0.911,0.923,0.892,0.911,0.929,0.936,0.893,0.898,0.877,0.936,0.894,0.923,0.914,0.919,0.925,0.917,0.903,0.929,0.904,0.936,0.918,0.887,0.871,0.928,0.889,0.931,0.937,0.944,0.869,0.922,0.951,0.904,0.902,0.93,0.954,0.935,0.917,0.894,0.905,0.933,0.888,0.934,0.935,0.921,0.908,0.946,0.913,0.929,0.871,0.935,0.9,0.885,0.934,0.926,0.93,0.933,0.947,0.944,0.911,0.943,0.943
