ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.474,0.129,0.107,0.436,0.756,0.465,0.419,0.618,0.598,0.307,0.508,-0.005,0.767,0.768,0.57,0.124,0.707,-2.756,0.729,0.401,0.605,-0.231,0.837,-0.152,0.69,0.551,0.705,0.441,0.377,0.039,0.636,0.665,0.756,0.726,0.718,0.655,0.7,0.281,0.629,0.73,0.423,0.549,-2.182,0.831,0.677,-0.031,0.665,0.757,0.662,-0.112,0.752,0.533,0.679,0.738,0.724,0.037,0.699,0.699,0.423,-0.084,0.562,-0.994,0.759,-3.807,0.196,0.446,0.449,-0.563,0.762,0.745,0.737,0.638,0.659,0.663,0.681,0.745,-0.597,0.578,0.44,0.19,0.187,0.704,0.665,0.267,-7.294,0.657,0.609,0.808,-4.49,0.631,-0.525,0.644,-0.211,0.621,0.631,0.643,0.648,0.443,0.681,-0.145
0.10,0.657,0.771,-0.849,0.738,0.825,0.425,0.74,0.764,0.579,0.738,0.851,0.854,0.786,0.702,0.543,0.849,0.795,0.336,0.802,0.85,0.748,0.899,0.762,0.836,0.81,0.867,0.682,0.517,0.047,0.507,0.844,0.741,0.682,0.288,0.722,0.717,0.505,0.727,0.637,0.304,0.704,0.752,0.721,0.735,0.723,0.857,-0.297,0.403,0.86,0.756,0.74,0.498,0.806,0.449,0.862,0.699,0.822,0.291,0.733,0.765,0.686,0.853,0.684,0.529,0.644,0.51,0.442,0.5,0.418,0.794,0.828,0.823,0.736,0.595,0.652,0.691,0.599,0.868,0.747,-0.294,0.559,0.875,0.123,0.613,0.685,0.736,0.809,0.837,0.717,0.602,0.826,0.846,0.649,0.503,0.261,0.572,-0.079,0.701,0.273,-0.048
0.15,0.781,0.867,0.872,0.906,0.85,0.874,0.902,0.91,0.868,0.828,0.883,0.873,0.905,0.722,0.859,0.838,0.889,0.863,0.783,0.777,0.816,0.618,0.829,0.88,0.909,0.843,0.842,0.873,0.258,0.728,0.742,0.733,0.853,0.807,0.771,0.845,0.861,0.571,0.885,0.873,0.851,0.765,0.831,0.595,0.856,0.867,0.813,0.844,0.798,0.868,0.829,0.645,0.139,0.77,0.804,0.849,0.844,0.855,0.828,0.683,0.914,0.914,0.853,0.818,0.831,0.83,0.843,0.869,0.706,0.829,0.725,0.817,0.812,0.798,0.797,0.859,0.407,0.383,0.707,0.853,0.826,0.785,0.504,0.905,0.665,0.647,0.738,0.85,0.779,0.576,0.901,0.874,0.881,0.882,0.786,0.787,0.901,0.921,0.891,0.832
0.20,0.895,0.82,0.863,0.885,0.86,0.892,0.876,0.819,0.872,0.714,0.874,0.893,0.871,0.86,0.91,0.874,0.919,0.907,0.885,0.859,0.876,0.873,0.871,0.661,0.778,0.846,0.874,0.918,0.863,0.717,0.89,0.783,0.745,0.875,0.885,0.863,0.851,0.894,0.886,0.858,0.925,0.862,0.817,0.892,0.855,0.765,0.889,0.893,0.85,0.891,0.877,0.823,0.892,0.878,0.875,0.866,0.889,0.835,0.901,0.87,0.837,0.906,0.867,0.73,0.905,0.681,0.901,0.872,0.894,0.887,0.86,0.907,0.909,0.914,0.908,0.844,0.818,0.856,0.906,0.777,0.739,0.91,0.771,0.923,0.851,0.746,0.808,0.071,0.888,0.881,0.909,0.929,0.786,0.919,0.838,0.872,0.848,0.751,0.894,0.75
0.25,0.914,0.912,0.923,0.867,0.871,0.89,0.824,0.779,0.873,0.891,0.891,0.891,0.91,0.905,0.886,0.87,0.88,0.912,0.917,0.898,0.912,0.877,0.865,0.863,0.877,0.92,0.886,0.914,0.83,0.885,0.89,0.879,0.886,0.872,0.894,0.884,0.873,0.872,0.893,0.858,0.891,0.886,0.81,0.906,0.825,0.846,0.856,0.884,0.843,0.842,0.925,0.873,0.904,0.927,0.909,0.916,0.894,0.822,0.883,0.893,0.879,0.881,0.879,0.911,0.917,0.91,0.87,0.888,0.921,0.899,0.871,0.868,0.853,0.861,0.933,0.899,0.912,0.817,0.893,0.889,0.897,0.85,0.89,0.896,0.835,0.917,0.917,0.894,0.868,0.886,0.92,0.877,0.922,0.907,0.918,0.912,0.755,0.524,0.857,0.916
0.30,0.8,0.894,0.934,0.936,0.877,0.885,0.909,0.912,0.882,0.87,0.855,0.888,0.923,0.89,0.89,0.883,0.886,0.915,0.886,0.889,0.884,0.891,0.852,0.915,0.866,0.931,0.78,0.866,0.839,0.886,0.905,0.901,0.917,0.922,0.88,0.885,0.893,0.917,0.918,0.912,0.883,0.899,0.898,0.916,0.887,0.871,0.886,0.92,0.884,0.923,0.922,0.849,0.897,0.921,0.924,0.929,0.936,0.877,0.903,0.91,0.925,0.928,0.925,0.937,0.891,0.918,0.859,0.888,0.882,0.866,0.866,0.911,0.912,0.919,0.928,0.901,0.924,0.917,0.919,0.903,0.934,0.896,0.918,0.928,0.886,0.918,0.928,0.925,0.815,0.919,0.928,0.934,0.889,0.921,0.908,0.917,0.89,0.898,0.828,0.876
0.35,0.933,0.924,0.929,0.921,0.931,0.926,0.895,0.893,0.891,0.913,0.889,0.915,0.91,0.895,0.885,0.919,0.925,0.933,0.896,0.928,0.896,0.879,0.878,0.934,0.926,0.906,0.932,0.919,0.805,0.884,0.902,0.915,0.899,0.903,0.887,0.89,0.909,0.872,0.905,0.908,0.931,0.874,0.888,0.872,0.882,0.846,0.89,0.91,0.891,0.943,0.914,0.935,0.95,0.893,0.903,0.916,0.886,0.908,0.927,0.89,0.92,0.925,0.881,0.853,0.926,0.91,0.852,0.886,0.885,0.932,0.918,0.884,0.909,0.908,0.924,0.901,0.922,0.916,0.891,0.916,0.892,0.894,0.924,0.904,0.913,0.92,0.887,0.92,0.856,0.888,0.898,0.916,0.938,0.931,0.898,0.937,0.915,0.903,0.887,0.913
0.40,0.935,0.909,0.92,0.943,0.904,0.932,0.919,0.881,0.889,0.935,0.895,0.921,0.929,0.892,0.932,0.927,0.929,0.898,0.918,0.854,0.926,0.904,0.927,0.891,0.929,0.898,0.94,0.878,0.845,0.901,0.891,0.915,0.925,0.919,0.879,0.886,0.876,0.921,0.89,0.893,0.934,0.914,0.899,0.908,0.929,0.925,0.903,0.9,0.936,0.937,0.884,0.94,0.912,0.934,0.917,0.903,0.946,0.878,0.906,0.881,0.922,0.894,0.927,0.906,0.914,0.911,0.912,0.898,0.916,0.885,0.914,0.905,0.918,0.839,0.94,0.902,0.933,0.904,0.937,0.93,0.94,0.908,0.923,0.891,0.88,0.915,0.935,0.91,0.897,0.906,0.899,0.937,0.93,0.905,0.89,0.939,0.916,0.903,0.889,0.909
0.45,0.934,0.929,0.924,0.936,0.912,0.934,0.901,0.89,0.894,0.828,0.952,0.904,0.899,0.945,0.889,0.929,0.924,0.898,0.926,0.928,0.939,0.927,0.945,0.873,0.935,0.928,0.929,0.927,0.919,0.898,0.938,0.895,0.926,0.94,0.898,0.902,0.913,0.899,0.889,0.878,0.921,0.902,0.902,0.878,0.909,0.891,0.915,0.907,0.941,0.933,0.946,0.938,0.923,0.935,0.936,0.923,0.898,0.888,0.95,0.934,0.902,0.898,0.894,0.937,0.937,0.935,0.914,0.905,0.931,0.852,0.932,0.887,0.92,0.9,0.941,0.918,0.928,0.914,0.927,0.901,0.889,0.895,0.889,0.878,0.937,0.925,0.907,0.884,0.913,0.925,0.938,0.939,0.933,0.927,0.936,0.901,0.905,0.943,0.917,0.925
0.50,0.936,0.936,0.931,0.916,0.908,0.921,0.909,0.934,0.886,0.936,0.946,0.91,0.884,0.925,0.914,0.927,0.939,0.923,0.927,0.92,0.94,0.933,0.933,0.949,0.924,0.932,0.904,0.901,0.933,0.939,0.896,0.923,0.943,0.93,0.904,0.917,0.904,0.909,0.929,0.921,0.927,0.921,0.938,0.896,0.88,0.907,0.921,0.866,0.936,0.901,0.945,0.899,0.921,0.94,0.935,0.937,0.916,0.917,0.908,0.936,0.939,0.896,0.945,0.921,0.94,0.939,0.89,0.946,0.926,0.934,0.924,0.897,0.927,0.929,0.943,0.944,0.927,0.924,0.94,0.904,0.869,0.91,0.927,0.928,0.936,0.926,0.89,0.917,0.94,0.926,0.933,0.912,0.919,0.926,0.894,0.937,0.92,0.897,0.897,0.881
