ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.476,-1.13,0.617,0.405,-1.457,0.713,0.119,-0.028,0.608,0.716,0.074,0.753,0.316,-3.602,0.835,0.423,0.597,0.634,0.053,-0.125,0.379,0.719,0.497,0.689,0.537,0.67,0.27,0.158,0.831,0.634,0.682,0.65,0.305,0.299,0.724,0.666,0.286,0.664,0.07,-3.857,0.746,0.76,0.699,0.689,0.217,0.311,0.405,0.478,0.306,0.593,0.536,0.575,0.732,0.365,0.409,0.629,0.543,0.193,0.786,0.366,0.596,0.397,0.532,0.522,0.427,0.435,0.48,0.724,0.599,0.255,-0.41,0.763,0.434,0.243,0.775,0.503,0.34,0.111,0.554,-51.524,0.534,0.725,0.75,0.499,-0.488,0.424,0.254,-0.11,0.571,0.6,0.83,0.583,0.637,0.589,0.247,0.336,0.536,0.322,0.531,0.539
0.10,0.86,0.704,0.797,0.519,0.67,0.699,0.626,0.733,0.831,0.814,0.81,0.829,0.824,0.737,0.901,0.799,0.845,0.846,0.71,0.719,0.477,0.839,0.82,0.552,0.834,0.72,0.882,0.828,0.828,0.768,0.057,0.697,0.837,0.876,0.703,0.067,0.713,0.653,0.866,0.28,0.818,0.743,0.828,-0.211,0.763,0.739,0.567,0.809,0.324,0.839,0.698,0.763,0.824,0.654,-0.288,0.761,0.446,0.758,0.547,0.324,0.764,0.733,0.463,0.855,0.529,0.732,0.862,0.863,0.733,0.657,-0.085,0.806,0.312,0.384,0.807,0.744,0.861,0.803,0.652,0.706,0.374,0.785,0.818,0.761,0.796,0.792,0.773,0.83,0.848,-2.724,0.791,0.653,0.75,0.586,0.767,-0.793,0.349,0.155,0.656,0.749
0.15,0.905,0.548,0.699,0.917,0.573,0.87,0.841,0.845,0.78,0.723,0.885,0.782,0.826,0.807,0.852,0.88,0.789,0.819,0.68,0.823,0.605,0.77,0.779,0.621,0.844,0.762,0.867,0.908,0.735,0.637,0.838,0.872,0.759,0.801,0.785,0.725,0.853,0.764,0.867,0.694,0.883,0.803,0.764,0.732,0.872,0.706,0.75,0.867,0.765,0.669,0.539,0.688,0.901,0.839,0.84,0.883,0.678,-0.198,0.748,0.842,0.675,0.886,0.793,0.682,0.923,0.849,0.877,0.841,0.864,0.854,0.441,0.857,0.895,0.695,0.85,0.881,0.906,0.691,0.78,-3.865,0.861,0.623,0.86,0.843,0.856,0.821,0.873,0.79,0.82,0.754,0.835,0.832,0.776,0.862,0.569,0.725,0.765,0.92,0.904,0.817
0.20,0.877,0.887,0.76,0.904,0.88,0.876,0.883,0.885,0.872,0.901,0.843,0.843,0.85,0.916,0.902,0.899,0.765,0.86,0.874,0.894,0.908,0.878,0.841,0.884,0.882,0.921,0.873,0.883,-0.62,0.882,0.889,0.818,0.899,0.917,0.873,0.442,0.822,0.76,0.499,0.68,0.895,0.86,0.864,0.877,0.915,0.592,0.861,0.919,0.867,0.831,0.887,0.878,0.801,0.886,0.865,0.922,0.875,0.787,0.864,0.877,0.862,0.887,0.876,-0.783,0.846,0.829,0.853,0.835,0.881,0.813,0.653,0.869,0.894,0.877,0.922,0.86,0.905,0.907,0.848,0.816,0.884,0.816,0.869,0.865,0.85,0.87,0.839,0.897,0.833,0.891,0.857,0.911,0.832,0.842,0.838,0.877,0.911,0.846,0.881,0.893
0.25,0.893,0.865,0.882,0.908,0.914,0.86,0.885,0.928,0.779,0.937,0.872,0.785,0.86,0.866,0.916,0.93,0.883,0.882,0.908,0.9,0.919,0.928,0.863,0.851,0.875,0.929,0.848,0.893,0.826,0.891,0.924,0.89,0.825,0.876,0.88,0.842,0.855,0.855,0.883,0.883,0.895,0.893,0.892,0.876,0.895,0.874,0.814,0.912,0.882,0.919,0.876,0.891,0.889,0.889,0.884,0.918,0.892,0.893,0.863,0.894,0.918,0.915,0.901,0.897,0.912,0.927,0.894,0.863,0.917,0.902,0.878,0.907,0.86,0.72,0.825,0.901,0.91,0.834,0.872,0.885,0.904,0.861,0.9,0.85,0.872,0.902,0.792,0.891,0.874,0.935,0.887,0.924,0.908,0.913,0.866,0.897,0.877,0.859,0.895,0.909
0.30,0.898,0.921,0.867,0.924,0.923,0.908,0.93,0.895,0.917,0.924,0.922,0.823,0.914,0.898,0.91,0.931,0.88,0.88,0.884,0.915,0.858,0.92,0.89,0.885,0.92,0.9,0.923,0.879,0.871,0.886,0.901,0.851,0.913,0.893,0.894,0.907,0.926,0.913,0.885,0.912,0.903,0.881,0.888,0.911,0.907,0.904,0.9,0.878,0.877,0.92,0.88,0.905,0.883,0.925,0.919,0.929,0.909,0.916,0.864,0.904,0.89,0.919,0.887,0.895,0.902,0.883,0.899,0.888,0.901,0.915,0.899,0.929,0.935,0.888,0.925,0.919,0.916,0.887,0.919,0.914,0.905,0.922,0.896,0.9,0.884,0.916,0.897,0.918,0.874,0.846,0.883,0.878,0.943,0.931,0.924,0.889,0.923,0.823,0.889,0.923
0.35,0.932,0.926,0.877,0.909,0.923,0.916,0.919,0.929,0.908,0.895,0.914,0.888,0.919,0.913,0.938,0.92,0.881,0.924,0.904,0.926,0.887,0.915,0.926,0.889,0.943,0.938,0.928,0.885,0.843,0.908,0.92,0.899,0.927,0.924,0.903,0.913,0.91,0.885,0.878,0.856,0.887,0.93,0.894,0.942,0.924,0.885,0.93,0.883,0.929,0.927,0.919,0.837,0.919,0.895,0.907,0.922,0.899,0.878,0.859,0.915,0.923,0.888,0.932,0.907,0.905,0.913,0.9,0.9,0.929,0.902,0.929,0.941,0.908,0.895,0.908,0.929,0.928,0.886,0.921,0.928,0.899,0.904,0.936,0.89,0.92,0.923,0.93,0.909,0.93,0.939,0.92,0.893,0.927,0.912,0.928,0.888,0.919,0.913,0.909,0.918
0.40,0.901,0.911,0.902,0.924,0.916,0.901,0.932,0.939,0.894,0.904,0.902,0.901,0.922,0.928,0.927,0.938,0.865,0.908,0.912,0.931,0.896,0.922,0.939,0.915,0.924,0.942,0.929,0.9,0.845,0.907,0.935,0.895,0.892,0.877,0.935,0.912,0.917,0.919,0.892,0.903,0.922,0.922,0.918,0.907,0.889,0.896,0.932,0.881,0.884,0.881,0.931,0.874,0.922,0.923,0.834,0.939,0.88,0.93,0.917,0.922,0.915,0.895,0.891,0.92,0.896,0.891,0.895,0.936,0.896,0.908,0.92,0.936,0.9,0.914,0.883,0.921,0.917,0.915,0.89,0.875,0.944,0.906,0.923,0.732,0.916,0.92,0.923,0.886,0.908,0.932,0.939,0.909,0.904,0.893,0.923,0.934,0.897,0.903,0.889,0.9
0.45,0.899,0.908,0.905,0.925,0.941,0.937,0.931,0.899,0.898,0.892,0.903,0.926,0.876,0.936,0.934,0.932,0.886,0.919,0.912,0.926,0.935,0.92,0.935,0.932,0.935,0.924,0.924,0.917,0.878,0.909,0.941,0.932,0.892,0.931,0.929,0.909,0.928,0.88,0.898,0.86,0.893,0.91,0.894,0.913,0.885,0.926,0.892,0.882,0.935,0.921,0.922,0.93,0.903,0.922,0.899,0.925,0.935,0.949,0.92,0.876,0.936,0.916,0.92,0.917,0.903,0.915,0.894,0.934,0.935,0.926,0.888,0.895,0.892,0.893,0.92,0.923,0.932,0.919,0.893,0.929,0.931,0.929,0.884,0.876,0.92,0.924,0.923,0.926,0.935,0.902,0.904,0.936,0.937,0.911,0.935,0.921,0.935,0.889,0.927,0.938
0.50,0.927,0.901,0.889,0.9,0.932,0.905,0.906,0.903,0.915,0.892,0.906,0.933,0.922,0.948,0.921,0.891,0.901,0.901,0.93,0.941,0.926,0.931,0.898,0.893,0.897,0.922,0.94,0.923,0.924,0.903,0.905,0.905,0.934,0.942,0.916,0.916,0.911,0.923,0.908,0.893,0.891,0.943,0.904,0.929,0.912,0.878,0.889,0.884,0.915,0.934,0.928,0.939,0.918,0.942,0.932,0.925,0.906,0.903,0.928,0.897,0.927,0.904,0.878,0.941,0.943,0.933,0.93,0.925,0.92,0.93,0.902,0.895,0.933,0.933,0.922,0.891,0.925,0.647,0.904,0.902,0.926,0.909,0.945,0.89,0.888,0.942,0.91,0.91,0.941,0.912,0.945,0.935,0.878,0.948,0.928,0.882,0.93,0.932,0.897,0.915
0.55,0.939,0.937,0.931,0.936,0.883,0.952,0.937,0.908,0.931,0.943,0.92,0.91,0.924,0.909,0.927,0.941,0.935,0.906,0.935,0.932,0.924,0.919,0.928,0.886,0.925,0.887,0.94,0.94,0.949,0.913,0.944,0.93,0.934,0.903,0.925,0.924,0.92,0.932,0.936,0.932,0.938,0.941,0.895,0.843,0.936,0.928,0.906,0.892,0.924,0.898,0.895,0.916,0.944,0.941,0.935,0.933,0.939,0.93,0.86,0.931,0.944,0.933,0.933,0.936,0.91,0.947,0.936,0.941,0.938,0.948,0.887,0.932,0.888,0.912,0.885,0.931,0.893,0.904,0.93,0.919,0.933,0.937,0.917,0.929,0.932,0.92,0.931,0.893,0.907,0.953,0.952,0.921,0.925,0.902,0.892,0.905,0.927,0.915,0.931,0.906
0.60,0.915,0.924,0.951,0.941,0.952,0.935,0.898,0.926,0.917,0.943,0.922,0.924,0.937,0.913,0.81,0.933,0.907,0.905,0.934,0.946,0.917,0.941,0.892,0.931,0.94,0.934,0.932,0.937,0.944,0.951,0.932,0.926,0.936,0.941,0.922,0.943,0.936,0.928,0.945,0.935,0.922,0.949,0.901,0.947,0.899,0.912,0.905,0.92,0.918,0.932,0.925,0.937,0.942,0.94,0.863,0.919,0.935,0.945,0.888,0.909,0.911,0.907,0.935,0.945,0.943,0.896,0.914,0.937,0.916,0.923,0.89,0.949,0.93,0.943,0.944,0.926,0.918,0.925,0.955,0.936,0.948,0.95,0.915,0.949,0.929,0.932,0.945,0.943,0.925,0.946,0.955,0.899,0.933,0.941,0.892,0.875,0.906,0.901,0.913,0.905
