ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.707,0.75,0.733,0.819,0.782,0.709,0.796,0.69,0.831,0.827,0.721,0.835,0.817,0.643,0.758,0.827,0.793,0.836,0.746,0.744,0.797,0.788,0.759,0.819,0.803,0.807,0.773,0.744,0.806,0.843,0.794,0.608,0.829,0.793,0.79,0.841,0.793,0.78,0.769,0.701,0.78,0.784,0.724,0.815,0.802,0.787,0.733,0.78,0.789,0.82,0.736,0.645,0.766,0.72,0.791,0.746,0.773,0.75,0.808,0.829,0.785,0.829,0.81,0.787,0.777,0.762,0.781,0.826,0.82,0.827,0.801,0.727,0.606,0.797,0.8,0.739,0.751,0.795,0.792,0.803,0.777,0.822,0.799,0.823,0.833,0.796,0.799,0.753,0.766,0.83,0.785,0.743,0.803,0.821,0.792,0.82,0.802,0.755,0.79,0.735
0.10,0.873,0.885,0.879,0.883,0.867,0.886,0.88,0.887,0.885,0.873,0.857,0.878,0.892,0.874,0.867,0.878,0.88,0.886,0.873,0.865,0.87,0.857,0.877,0.886,0.866,0.862,0.87,0.868,0.871,0.885,0.881,0.881,0.876,0.87,0.885,0.881,0.865,0.877,0.88,0.86,0.882,0.884,0.856,0.871,0.869,0.877,0.856,0.873,0.873,0.874,0.877,0.871,0.88,0.863,0.889,0.863,0.863,0.87,0.888,0.882,0.874,0.875,0.878,0.876,0.873,0.869,0.877,0.881,0.879,0.878,0.872,0.876,0.873,0.874,0.88,0.883,0.887,0.876,0.881,0.864,0.883,0.879,0.882,0.872,0.891,0.88,0.881,0.88,0.889,0.891,0.869,0.862,0.883,0.886,0.873,0.88,0.876,0.868,0.885,0.88
0.15,0.893,0.891,0.9,0.899,0.89,0.894,0.895,0.903,0.897,0.899,0.89,0.898,0.9,0.895,0.897,0.888,0.893,0.894,0.899,0.89,0.893,0.893,0.897,0.905,0.892,0.894,0.894,0.888,0.9,0.901,0.9,0.894,0.901,0.894,0.901,0.898,0.892,0.897,0.894,0.888,0.895,0.899,0.897,0.888,0.896,0.89,0.898,0.904,0.895,0.895,0.889,0.895,0.897,0.895,0.901,0.894,0.877,0.898,0.901,0.897,0.893,0.893,0.897,0.895,0.898,0.89,0.892,0.893,0.895,0.895,0.897,0.889,0.899,0.898,0.9,0.901,0.896,0.898,0.898,0.893,0.903,0.894,0.896,0.898,0.902,0.897,0.883,0.898,0.894,0.9,0.894,0.89,0.899,0.899,0.893,0.897,0.889,0.891,0.903,0.897
0.20,0.898,0.903,0.904,0.905,0.896,0.906,0.902,0.911,0.904,0.904,0.901,0.901,0.905,0.906,0.901,0.897,0.901,0.902,0.905,0.902,0.904,0.904,0.904,0.91,0.9,0.904,0.9,0.903,0.904,0.908,0.902,0.902,0.908,0.902,0.906,0.906,0.902,0.904,0.903,0.893,0.906,0.903,0.903,0.898,0.903,0.896,0.903,0.904,0.903,0.903,0.901,0.902,0.902,0.903,0.903,0.901,0.891,0.904,0.905,0.906,0.902,0.899,0.9,0.905,0.9,0.901,0.905,0.895,0.904,0.903,0.903,0.894,0.905,0.904,0.908,0.907,0.907,0.902,0.908,0.902,0.903,0.902,0.904,0.904,0.907,0.908,0.897,0.905,0.907,0.905,0.899,0.901,0.903,0.905,0.903,0.905,0.902,0.899,0.904,0.906
0.25,0.903,0.905,0.906,0.905,0.901,0.904,0.906,0.911,0.907,0.909,0.907,0.905,0.908,0.909,0.906,0.903,0.904,0.907,0.912,0.908,0.911,0.908,0.904,0.911,0.906,0.908,0.902,0.909,0.906,0.908,0.908,0.905,0.91,0.906,0.907,0.906,0.908,0.904,0.91,0.902,0.91,0.906,0.909,0.901,0.906,0.901,0.905,0.908,0.908,0.905,0.907,0.905,0.904,0.909,0.908,0.908,0.906,0.907,0.909,0.907,0.906,0.904,0.904,0.907,0.904,0.912,0.91,0.902,0.908,0.904,0.906,0.901,0.909,0.91,0.909,0.907,0.91,0.909,0.909,0.906,0.907,0.908,0.904,0.908,0.911,0.909,0.904,0.909,0.909,0.91,0.905,0.903,0.905,0.909,0.906,0.909,0.903,0.903,0.909,0.907
0.30,0.905,0.905,0.908,0.911,0.907,0.905,0.907,0.912,0.906,0.909,0.91,0.909,0.908,0.911,0.909,0.905,0.908,0.913,0.915,0.909,0.914,0.907,0.904,0.911,0.907,0.911,0.905,0.912,0.908,0.909,0.911,0.909,0.91,0.909,0.91,0.907,0.91,0.904,0.915,0.904,0.913,0.909,0.913,0.907,0.91,0.902,0.907,0.909,0.911,0.906,0.91,0.907,0.906,0.91,0.909,0.91,0.907,0.909,0.91,0.909,0.91,0.909,0.904,0.909,0.909,0.916,0.913,0.907,0.908,0.907,0.913,0.907,0.91,0.912,0.912,0.909,0.912,0.912,0.911,0.909,0.906,0.911,0.907,0.913,0.912,0.91,0.904,0.912,0.911,0.912,0.908,0.909,0.909,0.912,0.913,0.91,0.904,0.904,0.908,0.906
0.35,0.911,0.911,0.908,0.912,0.911,0.908,0.911,0.912,0.907,0.913,0.912,0.91,0.91,0.914,0.915,0.907,0.911,0.915,0.915,0.91,0.912,0.91,0.904,0.911,0.909,0.913,0.904,0.913,0.91,0.91,0.911,0.912,0.912,0.911,0.911,0.908,0.912,0.906,0.915,0.907,0.914,0.909,0.91,0.91,0.912,0.905,0.909,0.91,0.913,0.908,0.914,0.909,0.909,0.914,0.911,0.911,0.909,0.91,0.91,0.909,0.912,0.908,0.907,0.911,0.907,0.917,0.915,0.906,0.91,0.91,0.912,0.911,0.912,0.913,0.912,0.91,0.914,0.912,0.914,0.91,0.905,0.91,0.909,0.917,0.913,0.913,0.909,0.914,0.913,0.913,0.91,0.91,0.912,0.912,0.914,0.913,0.905,0.906,0.911,0.908
0.40,0.913,0.914,0.91,0.912,0.913,0.909,0.909,0.912,0.906,0.914,0.915,0.91,0.907,0.915,0.916,0.907,0.911,0.916,0.916,0.911,0.911,0.912,0.906,0.909,0.912,0.914,0.906,0.916,0.911,0.911,0.909,0.908,0.913,0.913,0.913,0.911,0.912,0.909,0.917,0.909,0.915,0.908,0.91,0.907,0.915,0.906,0.909,0.908,0.912,0.911,0.915,0.912,0.91,0.916,0.91,0.912,0.912,0.913,0.91,0.907,0.914,0.91,0.903,0.909,0.91,0.919,0.916,0.907,0.911,0.912,0.916,0.912,0.912,0.914,0.912,0.912,0.914,0.916,0.915,0.911,0.909,0.91,0.911,0.915,0.91,0.916,0.911,0.913,0.914,0.917,0.914,0.912,0.914,0.914,0.917,0.914,0.907,0.907,0.91,0.91
0.45,0.913,0.916,0.91,0.914,0.915,0.909,0.91,0.913,0.905,0.914,0.918,0.911,0.91,0.917,0.917,0.91,0.912,0.917,0.918,0.912,0.909,0.913,0.905,0.907,0.913,0.916,0.908,0.917,0.91,0.91,0.912,0.91,0.915,0.913,0.913,0.912,0.912,0.911,0.916,0.91,0.912,0.91,0.91,0.911,0.914,0.905,0.912,0.912,0.914,0.91,0.915,0.913,0.911,0.916,0.912,0.914,0.916,0.913,0.912,0.909,0.914,0.911,0.907,0.912,0.912,0.92,0.917,0.909,0.912,0.913,0.918,0.91,0.915,0.916,0.911,0.913,0.915,0.917,0.915,0.911,0.91,0.911,0.912,0.917,0.908,0.916,0.909,0.916,0.916,0.917,0.914,0.911,0.915,0.915,0.919,0.915,0.907,0.91,0.911,0.91
0.50,0.915,0.917,0.909,0.915,0.918,0.908,0.915,0.914,0.908,0.916,0.918,0.914,0.91,0.92,0.919,0.911,0.912,0.918,0.919,0.911,0.909,0.914,0.908,0.91,0.913,0.916,0.911,0.919,0.91,0.912,0.913,0.907,0.916,0.914,0.915,0.914,0.911,0.912,0.917,0.912,0.912,0.913,0.91,0.912,0.916,0.907,0.911,0.908,0.915,0.911,0.912,0.915,0.91,0.916,0.913,0.911,0.915,0.914,0.912,0.91,0.914,0.913,0.91,0.915,0.913,0.92,0.918,0.911,0.913,0.913,0.919,0.909,0.917,0.916,0.911,0.91,0.913,0.916,0.916,0.912,0.909,0.915,0.913,0.918,0.911,0.917,0.908,0.917,0.916,0.916,0.917,0.913,0.916,0.917,0.919,0.917,0.91,0.911,0.91,0.912
