ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.259
0.15,0.561,0.295,-0.453,,0.22,0.361,0.43,,-0.215,0.451,,-3.773,-0.068,,,-0.0,,0.308,-0.191,-0.021,,,,,0.176,,,-0.121,0.72,0.216,,,-0.152,-0.05,,,,0.294,0.119,,-0.833,,,,-0.125,0.249,0.022,-3.628,,0.018,0.242,-0.732,0.157,,0.548,0.547,-0.03,-0.092,0.497,,0.446,0.071,0.453,,,,0.533,-3.395,-2.541,0.538,-0.429,0.132,0.039,-1.003,-0.239,,0.612,-0.623,,,,0.037,-0.143,0.077,0.156,,,0.121,,-0.414,,0.426,,-0.217,0.155,0.438,0.23,-0.493,0.268,-0.285
0.20,0.62,0.814,0.563,0.495,0.752,0.719,0.649,0.66,0.66,0.553,0.748,0.643,0.597,0.793,0.557,0.639,0.653,0.699,0.547,0.694,0.622,0.734,0.748,0.715,0.714,0.6,0.543,0.591,0.697,0.59,0.732,0.653,0.499,0.575,0.779,0.804,0.752,0.654,0.409,0.375,0.675,0.572,0.469,0.62,0.66,0.799,0.654,0.628,0.583,0.778,0.399,0.67,0.563,0.752,0.614,0.735,0.716,0.55,0.621,0.722,0.497,0.536,0.744,0.651,0.459,0.69,0.613,0.716,0.698,0.465,0.589,0.638,0.619,0.543,0.523,0.748,0.778,0.48,0.548,0.639,0.626,0.51,0.405,0.329,0.361,0.63,0.71,0.695,0.731,0.681,0.738,0.831,0.681,0.649,0.522,0.684,0.672,0.484,0.509,0.742
0.25,0.656,0.829,0.713,0.775,0.821,0.719,0.757,0.754,0.772,0.619,0.765,0.774,0.804,0.833,0.631,0.724,0.796,0.735,0.703,0.737,0.714,0.786,0.796,0.734,0.761,0.704,0.611,0.721,0.808,0.631,0.78,0.663,0.655,0.64,0.832,0.845,0.749,0.756,0.774,0.666,0.708,0.612,0.619,0.831,0.653,0.838,0.691,0.705,0.779,0.748,0.718,0.764,0.66,0.792,0.788,0.814,0.754,0.642,0.678,0.747,0.587,0.737,0.829,0.653,0.659,0.785,0.755,0.783,0.756,0.777,0.803,0.756,0.678,0.7,0.532,0.817,0.724,0.545,0.726,0.783,0.772,0.582,0.608,0.66,0.776,0.771,0.787,0.7,0.765,0.789,0.803,0.846,0.731,0.721,0.737,0.643,0.727,0.747,0.674,0.811
0.30,0.707,0.86,0.822,0.784,0.774,0.766,0.792,0.739,0.805,0.665,0.765,0.765,0.813,0.795,0.648,0.751,0.831,0.807,0.714,0.729,0.816,0.837,0.839,0.79,0.787,0.8,0.673,0.83,0.868,0.653,0.83,0.77,0.755,0.717,0.859,0.898,0.803,0.816,0.878,0.605,0.85,0.733,0.768,0.859,0.841,0.856,0.729,0.717,0.79,0.776,0.782,0.822,0.646,0.825,0.788,0.814,0.835,0.639,0.743,0.761,0.662,0.82,0.862,0.681,0.724,0.856,0.824,0.822,0.806,0.774,0.831,0.753,0.789,0.632,0.559,0.855,0.773,0.714,0.814,0.775,0.836,0.692,0.793,0.723,0.827,0.845,0.837,0.757,0.803,0.857,0.825,0.866,0.809,0.666,0.803,0.78,0.798,0.805,0.758,0.87
0.35,0.76,0.887,0.804,0.79,0.828,0.786,0.817,0.788,0.834,0.744,0.768,0.837,0.865,0.787,0.757,0.732,0.881,0.848,0.838,0.808,0.848,0.872,0.849,0.779,0.846,0.857,0.745,0.833,0.881,0.751,0.849,0.785,0.8,0.805,0.906,0.892,0.841,0.811,0.892,0.591,0.834,0.764,0.839,0.888,0.822,0.84,0.741,0.837,0.806,0.787,0.867,0.854,0.743,0.814,0.81,0.85,0.862,0.619,0.824,0.849,0.741,0.818,0.899,0.777,0.793,0.872,0.863,0.888,0.831,0.808,0.805,0.825,0.852,0.683,0.588,0.88,0.844,0.703,0.851,0.781,0.845,0.649,0.801,0.754,0.804,0.857,0.86,0.809,0.809,0.87,0.867,0.904,0.821,0.696,0.855,0.804,0.806,0.845,0.885,0.849
0.40,0.779,0.895,0.823,0.817,0.884,0.777,0.839,0.797,0.849,0.88,0.886,0.878,0.882,0.805,0.791,0.805,0.913,0.853,0.862,0.843,0.837,0.874,0.894,0.803,0.883,0.816,0.82,0.878,0.885,0.727,0.893,0.874,0.779,0.81,0.917,0.901,0.856,0.825,0.907,0.667,0.828,0.864,0.835,0.898,0.831,0.857,0.767,0.899,0.818,0.853,0.863,0.875,0.819,0.809,0.801,0.846,0.88,0.623,0.842,0.855,0.802,0.818,0.892,0.762,0.825,0.91,0.901,0.914,0.832,0.821,0.804,0.886,0.857,0.729,0.592,0.907,0.859,0.676,0.867,0.869,0.84,0.786,0.814,0.785,0.854,0.919,0.867,0.875,0.807,0.868,0.86,0.901,0.837,0.743,0.843,0.854,0.851,0.86,0.887,0.88
0.45,0.861,0.926,0.808,0.883,0.896,0.775,0.868,0.837,0.887,0.87,0.916,0.889,0.874,0.818,0.87,0.835,0.907,0.845,0.876,0.872,0.865,0.909,0.906,0.797,0.889,0.819,0.906,0.881,0.911,0.767,0.893,0.885,0.854,0.834,0.927,0.902,0.851,0.843,0.909,0.655,0.81,0.87,0.835,0.901,0.84,0.835,0.807,0.899,0.799,0.879,0.811,0.861,0.82,0.869,0.82,0.85,0.878,0.614,0.865,0.854,0.832,0.802,0.907,0.756,0.882,0.909,0.894,0.924,0.901,0.868,0.813,0.908,0.872,0.823,0.578,0.912,0.828,0.713,0.876,0.915,0.867,0.867,0.779,0.841,0.914,0.924,0.894,0.913,0.793,0.923,0.864,0.905,0.844,0.74,0.835,0.903,0.85,0.908,0.876,0.883
0.50,0.853,0.938,0.811,0.885,0.893,0.862,0.857,0.836,0.875,0.864,0.934,0.923,0.88,0.814,0.872,0.845,0.934,0.834,0.866,0.869,0.867,0.936,0.906,0.78,0.878,0.856,0.91,0.882,0.907,0.835,0.884,0.885,0.902,0.91,0.928,0.896,0.872,0.84,0.91,0.643,0.863,0.872,0.871,0.906,0.862,0.84,0.772,0.928,0.805,0.878,0.85,0.866,0.86,0.915,0.811,0.86,0.874,0.641,0.901,0.887,0.82,0.779,0.906,0.769,0.884,0.873,0.898,0.922,0.905,0.865,0.918,0.915,0.864,0.871,0.809,0.918,0.809,0.728,0.879,0.919,0.868,0.905,0.819,0.834,0.912,0.935,0.902,0.916,0.784,0.925,0.904,0.918,0.834,0.807,0.832,0.906,0.85,0.917,0.886,0.836
