ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.734,,0.437,,,,,,,,,,,,,,,,,,-0.167,,,,,,,0.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365,,
0.20,0.667,0.704,0.333,0.24,0.792,0.414,0.568,0.563,0.398,0.732,0.695,0.766,0.482,0.578,0.679,0.45,0.643,0.625,0.726,0.705,0.372,0.713,0.642,0.499,0.388,0.7,0.521,0.686,0.757,0.632,0.209,0.46,0.766,0.392,0.691,0.647,0.711,0.487,0.545,0.339,0.533,0.803,0.394,0.671,0.644,0.339,0.677,0.605,0.486,0.583,0.59,0.671,0.762,0.545,0.372,0.336,0.533,-0.593,0.685,0.406,0.448,0.652,0.795,0.109,0.266,0.375,0.399,0.637,0.37,0.799,0.114,0.672,0.604,0.793,0.596,0.227,0.54,0.714,0.614,0.638,0.597,0.661,0.665,0.742,0.316,0.647,0.372,0.522,0.736,0.543,0.64,0.834,0.618,0.549,0.217,0.635,0.513,0.716,0.369,0.3
0.25,0.717,0.761,0.684,0.665,0.789,0.789,0.745,0.809,0.694,0.821,0.8,0.83,0.791,0.752,0.749,0.762,0.733,0.804,0.808,0.731,0.731,0.765,0.719,0.79,0.763,0.811,0.797,0.779,0.759,0.787,0.824,0.754,0.732,0.728,0.706,0.811,0.812,0.722,0.839,0.773,0.672,0.856,0.67,0.763,0.771,0.774,0.613,0.758,0.748,0.644,0.736,0.77,0.836,0.603,0.752,0.828,0.744,0.73,0.773,0.651,0.669,0.683,0.808,0.705,0.688,0.612,0.652,0.815,0.709,0.736,0.782,0.719,0.828,0.833,0.753,0.667,0.763,0.759,0.815,0.756,0.741,0.732,0.758,0.806,0.857,0.713,0.674,0.729,0.818,0.754,0.802,0.833,0.795,0.793,0.802,0.763,0.798,0.875,0.505,0.782
0.30,0.827,0.822,0.782,0.84,0.825,0.84,0.88,0.833,0.783,0.856,0.851,0.804,0.804,0.82,0.798,0.864,0.865,0.857,0.809,0.855,0.815,0.805,0.813,0.82,0.824,0.813,0.839,0.823,0.858,0.846,0.832,0.834,0.827,0.747,0.739,0.878,0.872,0.814,0.845,0.813,0.82,0.837,0.852,0.826,0.836,0.825,0.84,0.828,0.797,0.842,0.872,0.835,0.861,0.823,0.824,0.853,0.874,0.83,0.849,0.728,0.791,0.851,0.798,0.832,0.822,0.814,0.741,0.834,0.805,0.848,0.865,0.773,0.856,0.864,0.853,0.715,0.859,0.821,0.879,0.834,0.778,0.862,0.809,0.858,0.862,0.835,0.833,0.808,0.827,0.82,0.882,0.846,0.866,0.873,0.863,0.843,0.873,0.862,0.779,0.81
0.35,0.82,0.824,0.827,0.84,0.869,0.884,0.908,0.819,0.777,0.856,0.885,0.832,0.892,0.844,0.839,0.885,0.885,0.894,0.871,0.853,0.828,0.854,0.832,0.863,0.846,0.845,0.863,0.816,0.851,0.878,0.887,0.815,0.892,0.815,0.782,0.886,0.885,0.856,0.867,0.847,0.86,0.864,0.866,0.868,0.854,0.877,0.87,0.83,0.842,0.87,0.9,0.869,0.877,0.889,0.815,0.867,0.874,0.896,0.872,0.826,0.853,0.89,0.831,0.88,0.838,0.844,0.876,0.845,0.848,0.853,0.878,0.769,0.872,0.881,0.893,0.875,0.875,0.877,0.879,0.887,0.849,0.874,0.846,0.858,0.877,0.857,0.875,0.867,0.835,0.819,0.884,0.868,0.882,0.892,0.896,0.832,0.884,0.841,0.838,0.862
0.40,0.858,0.858,0.904,0.853,0.878,0.893,0.906,0.86,0.819,0.871,0.907,0.842,0.895,0.89,0.895,0.892,0.888,0.903,0.878,0.885,0.848,0.876,0.862,0.862,0.88,0.881,0.885,0.857,0.864,0.891,0.887,0.866,0.902,0.851,0.865,0.902,0.891,0.887,0.896,0.863,0.874,0.892,0.883,0.874,0.875,0.886,0.885,0.878,0.873,0.866,0.901,0.861,0.875,0.895,0.853,0.874,0.902,0.896,0.875,0.825,0.878,0.912,0.862,0.886,0.865,0.862,0.887,0.875,0.882,0.862,0.879,0.846,0.883,0.901,0.888,0.885,0.891,0.889,0.898,0.881,0.874,0.888,0.866,0.867,0.894,0.862,0.896,0.867,0.872,0.832,0.895,0.886,0.905,0.888,0.901,0.865,0.869,0.841,0.852,0.9
0.45,0.853,0.881,0.906,0.877,0.909,0.921,0.914,0.867,0.853,0.878,0.917,0.869,0.895,0.894,0.89,0.897,0.898,0.903,0.883,0.89,0.849,0.895,0.892,0.878,0.899,0.876,0.895,0.872,0.883,0.905,0.903,0.886,0.906,0.878,0.885,0.918,0.909,0.894,0.902,0.901,0.887,0.896,0.898,0.879,0.9,0.877,0.883,0.895,0.863,0.874,0.899,0.882,0.885,0.902,0.883,0.892,0.9,0.894,0.916,0.848,0.906,0.911,0.87,0.898,0.882,0.896,0.901,0.861,0.884,0.883,0.905,0.85,0.887,0.9,0.898,0.889,0.896,0.889,0.907,0.88,0.882,0.883,0.894,0.86,0.885,0.864,0.887,0.878,0.884,0.902,0.902,0.903,0.897,0.885,0.897,0.891,0.885,0.838,0.878,0.907
0.50,0.87,0.889,0.914,0.89,0.899,0.925,0.909,0.894,0.867,0.889,0.92,0.895,0.91,0.901,0.898,0.902,0.902,0.905,0.881,0.912,0.869,0.898,0.891,0.895,0.906,0.894,0.905,0.886,0.888,0.91,0.907,0.873,0.914,0.889,0.885,0.919,0.905,0.901,0.906,0.9,0.891,0.895,0.897,0.888,0.904,0.873,0.882,0.894,0.878,0.878,0.9,0.88,0.899,0.908,0.875,0.913,0.903,0.895,0.915,0.868,0.911,0.918,0.893,0.896,0.883,0.896,0.912,0.877,0.901,0.887,0.906,0.878,0.889,0.902,0.908,0.899,0.884,0.891,0.908,0.889,0.891,0.905,0.899,0.868,0.885,0.869,0.885,0.89,0.877,0.901,0.908,0.905,0.892,0.906,0.913,0.918,0.894,0.896,0.883,0.913
