ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.96,0.969,0.965,0.949,0.966,0.955,0.95,0.961,0.942,0.963,0.966,0.949,,0.952,0.964,0.969,0.957,0.961,0.933,0.891,0.961,0.929,0.941,0.964,0.96,0.937,0.96,0.961,0.942,0.962,0.966,0.954,0.954,0.969,0.955,0.953,0.968,0.969,0.96,0.958,0.96,0.964,0.958,0.956,0.952,0.957,0.962,0.962,0.957,0.956,0.96,0.957,0.97,0.962,0.947,0.964,0.958,0.954,0.953,0.961,0.96,0.916,0.956,0.954,0.96,0.97,0.953,0.956,0.964,0.959,0.935,0.961,0.958,0.888,0.951,0.97,0.96,0.955,0.966,0.951,0.957,0.953,,0.969,0.95,0.956,0.962,0.969,0.936,0.929,0.97,0.959,0.968,0.961,0.941,0.968,0.956,0.936,0.964,0.948
0.10,0.975,0.973,0.976,0.972,0.971,0.957,0.972,0.971,0.973,0.97,0.969,0.969,0.972,0.97,0.972,0.969,0.974,0.974,0.968,0.975,0.97,0.974,0.959,0.971,0.97,0.972,0.974,0.974,0.974,0.967,0.971,0.975,0.974,0.972,0.973,0.972,0.97,0.967,0.97,0.973,0.965,0.961,0.964,0.976,0.973,0.971,0.976,0.974,0.971,0.968,0.972,0.964,0.963,0.973,0.975,0.976,0.968,0.973,0.974,0.977,0.971,0.973,0.97,0.972,0.972,0.973,0.969,0.974,0.968,0.974,0.971,0.972,0.971,0.968,0.975,0.971,0.977,0.969,0.976,0.968,0.963,0.973,0.965,0.972,0.955,0.976,0.974,0.972,0.972,0.966,0.972,0.974,0.97,0.974,0.97,0.971,0.976,0.968,0.973,0.974
0.15,0.977,0.976,0.975,0.977,0.978,0.976,0.975,0.972,0.973,0.975,0.977,0.977,0.977,0.976,0.974,0.973,0.975,0.974,0.973,0.978,0.973,0.975,0.969,0.973,0.971,0.973,0.975,0.975,0.977,0.976,0.971,0.976,0.974,0.967,0.977,0.975,0.977,0.976,0.968,0.969,0.975,0.978,0.971,0.976,0.976,0.977,0.976,0.971,0.975,0.971,0.974,0.976,0.967,0.976,0.973,0.977,0.974,0.968,0.976,0.978,0.977,0.977,0.974,0.974,0.975,0.975,0.972,0.976,0.973,0.978,0.977,0.977,0.977,0.978,0.975,0.975,0.979,0.976,0.976,0.977,0.974,0.975,0.973,0.971,0.974,0.975,0.976,0.973,0.973,0.97,0.976,0.976,0.973,0.975,0.971,0.973,0.977,0.975,0.978,0.977
0.20,0.978,0.976,0.974,0.976,0.979,0.975,0.976,0.972,0.978,0.976,0.976,0.977,0.978,0.977,0.976,0.975,0.976,0.978,0.972,0.977,0.977,0.979,0.974,0.975,0.974,0.973,0.976,0.976,0.976,0.976,0.978,0.976,0.974,0.97,0.976,0.976,0.977,0.977,0.976,0.975,0.975,0.978,0.978,0.977,0.976,0.978,0.977,0.974,0.977,0.973,0.974,0.978,0.977,0.977,0.975,0.977,0.976,0.973,0.977,0.978,0.978,0.977,0.974,0.979,0.977,0.974,0.973,0.976,0.974,0.978,0.977,0.978,0.977,0.977,0.976,0.974,0.978,0.973,0.975,0.977,0.977,0.977,0.976,0.971,0.974,0.978,0.976,0.975,0.976,0.971,0.977,0.979,0.974,0.975,0.973,0.974,0.977,0.977,0.976,0.975
0.25,0.979,0.976,0.974,0.975,0.977,0.977,0.977,0.973,0.978,0.976,0.978,0.977,0.978,0.978,0.977,0.977,0.975,0.977,0.973,0.978,0.978,0.978,0.974,0.978,0.976,0.976,0.976,0.974,0.975,0.974,0.979,0.975,0.976,0.976,0.975,0.978,0.977,0.977,0.978,0.977,0.977,0.979,0.978,0.978,0.976,0.977,0.977,0.974,0.977,0.978,0.977,0.977,0.979,0.976,0.975,0.977,0.976,0.976,0.976,0.978,0.978,0.976,0.974,0.98,0.977,0.975,0.974,0.976,0.974,0.979,0.976,0.977,0.977,0.978,0.977,0.974,0.978,0.974,0.975,0.978,0.977,0.977,0.978,0.976,0.975,0.978,0.976,0.975,0.976,0.971,0.976,0.978,0.978,0.976,0.976,0.977,0.977,0.978,0.978,0.974
0.30,0.978,0.976,0.976,0.975,0.977,0.979,0.978,0.976,0.979,0.977,0.978,0.977,0.977,0.978,0.979,0.978,0.976,0.977,0.974,0.978,0.977,0.977,0.975,0.978,0.977,0.976,0.977,0.976,0.976,0.978,0.98,0.976,0.977,0.977,0.976,0.979,0.977,0.977,0.977,0.978,0.976,0.979,0.978,0.977,0.976,0.978,0.977,0.974,0.979,0.978,0.978,0.978,0.978,0.977,0.975,0.978,0.978,0.977,0.977,0.979,0.978,0.976,0.975,0.98,0.977,0.975,0.974,0.976,0.976,0.981,0.978,0.977,0.979,0.978,0.979,0.976,0.978,0.976,0.975,0.978,0.978,0.978,0.98,0.977,0.975,0.977,0.977,0.975,0.976,0.976,0.976,0.978,0.977,0.977,0.978,0.979,0.977,0.978,0.978,0.976
0.35,0.979,0.976,0.977,0.976,0.977,0.98,0.979,0.978,0.978,0.978,0.978,0.977,0.978,0.978,0.978,0.977,0.975,0.977,0.976,0.977,0.977,0.977,0.976,0.979,0.977,0.978,0.977,0.975,0.978,0.979,0.981,0.975,0.976,0.976,0.977,0.979,0.976,0.976,0.977,0.978,0.976,0.979,0.979,0.977,0.977,0.979,0.978,0.974,0.98,0.979,0.979,0.977,0.979,0.979,0.975,0.978,0.978,0.977,0.977,0.979,0.979,0.977,0.977,0.98,0.976,0.975,0.976,0.975,0.975,0.981,0.978,0.976,0.978,0.977,0.978,0.976,0.978,0.977,0.975,0.977,0.978,0.978,0.981,0.979,0.977,0.978,0.976,0.977,0.975,0.977,0.977,0.977,0.978,0.977,0.979,0.978,0.978,0.979,0.978,0.976
0.40,0.979,0.977,0.978,0.975,0.976,0.979,0.978,0.977,0.977,0.978,0.978,0.977,0.978,0.977,0.978,0.98,0.975,0.978,0.976,0.979,0.979,0.978,0.975,0.978,0.978,0.98,0.977,0.975,0.978,0.979,0.981,0.974,0.977,0.976,0.977,0.978,0.974,0.977,0.977,0.978,0.977,0.978,0.979,0.978,0.977,0.979,0.977,0.975,0.981,0.98,0.978,0.977,0.978,0.979,0.974,0.978,0.979,0.978,0.977,0.978,0.979,0.978,0.977,0.98,0.975,0.975,0.978,0.976,0.976,0.981,0.978,0.978,0.978,0.978,0.979,0.976,0.978,0.977,0.975,0.979,0.977,0.977,0.981,0.979,0.977,0.977,0.974,0.976,0.975,0.978,0.978,0.978,0.978,0.976,0.979,0.979,0.978,0.979,0.978,0.975
0.45,0.98,0.978,0.979,0.976,0.976,0.979,0.978,0.977,0.979,0.978,0.98,0.977,0.979,0.978,0.979,0.98,0.977,0.979,0.977,0.98,0.98,0.979,0.975,0.978,0.98,0.98,0.978,0.977,0.977,0.98,0.981,0.975,0.977,0.975,0.977,0.977,0.975,0.977,0.977,0.979,0.976,0.978,0.979,0.98,0.976,0.98,0.977,0.976,0.981,0.98,0.979,0.977,0.977,0.978,0.976,0.979,0.979,0.978,0.978,0.978,0.98,0.979,0.978,0.981,0.976,0.975,0.979,0.975,0.976,0.981,0.978,0.977,0.978,0.978,0.978,0.977,0.979,0.977,0.974,0.979,0.979,0.977,0.982,0.98,0.978,0.977,0.975,0.977,0.974,0.976,0.979,0.978,0.978,0.977,0.979,0.979,0.978,0.98,0.977,0.975
0.50,0.98,0.978,0.979,0.977,0.975,0.978,0.979,0.977,0.979,0.978,0.98,0.977,0.978,0.978,0.979,0.98,0.976,0.979,0.977,0.98,0.979,0.978,0.976,0.981,0.981,0.978,0.981,0.977,0.978,0.981,0.982,0.974,0.976,0.976,0.978,0.977,0.976,0.977,0.977,0.979,0.977,0.977,0.978,0.98,0.976,0.978,0.976,0.976,0.981,0.98,0.981,0.977,0.979,0.978,0.975,0.978,0.98,0.978,0.978,0.979,0.98,0.978,0.979,0.981,0.976,0.975,0.978,0.975,0.975,0.982,0.979,0.976,0.978,0.978,0.978,0.978,0.98,0.978,0.973,0.981,0.978,0.977,0.981,0.982,0.978,0.976,0.974,0.977,0.972,0.976,0.978,0.977,0.979,0.979,0.98,0.978,0.977,0.979,0.977,0.975
0.55,0.979,0.978,0.981,0.975,0.975,0.978,0.979,0.977,0.979,0.978,0.979,0.979,0.977,0.978,0.978,0.979,0.976,0.979,0.977,0.98,0.979,0.977,0.976,0.981,0.982,0.98,0.981,0.977,0.979,0.98,0.982,0.975,0.975,0.974,0.978,0.978,0.978,0.978,0.977,0.981,0.978,0.978,0.978,0.979,0.976,0.977,0.976,0.978,0.981,0.981,0.981,0.978,0.98,0.978,0.975,0.979,0.979,0.977,0.978,0.978,0.98,0.978,0.978,0.98,0.975,0.977,0.98,0.976,0.975,0.981,0.98,0.977,0.979,0.978,0.977,0.977,0.98,0.981,0.974,0.982,0.977,0.976,0.983,0.982,0.98,0.977,0.972,0.977,0.972,0.975,0.98,0.975,0.978,0.98,0.979,0.978,0.978,0.98,0.977,0.975
0.60,0.979,0.979,0.98,0.975,0.976,0.98,0.978,0.978,0.979,0.977,0.979,0.979,0.977,0.979,0.978,0.978,0.977,0.978,0.977,0.98,0.978,0.976,0.978,0.982,0.982,0.98,0.981,0.978,0.979,0.979,0.982,0.974,0.974,0.974,0.978,0.979,0.977,0.979,0.977,0.981,0.977,0.978,0.978,0.98,0.975,0.976,0.976,0.977,0.98,0.98,0.981,0.976,0.981,0.978,0.974,0.979,0.979,0.977,0.979,0.978,0.98,0.979,0.98,0.98,0.975,0.976,0.98,0.975,0.978,0.98,0.979,0.978,0.979,0.978,0.978,0.979,0.98,0.983,0.973,0.981,0.975,0.977,0.982,0.982,0.981,0.975,0.973,0.978,0.971,0.975,0.979,0.973,0.978,0.978,0.98,0.976,0.978,0.979,0.978,0.974
