ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.707,,0.805,,,,,,,,0.814,,,,,,,,,,,,,,,,,,,,,
0.35,,,,,,,0.714,,,,,,,0.68,,,,,0.623,0.696,,,,,,,,,,,,,,,,0.656,0.663,,0.816,,,,0.816,,,,,,0.641,,,,,,0.901,,,,,,0.742,0.739,,,,,,0.828,0.829,,0.842,,,,,,,,0.706,,,,,,,,,,,,,,,,,,,,,
0.40,,0.79,0.75,,,,0.752,0.861,,,,,,0.702,,0.739,0.623,,0.669,0.816,,0.848,0.808,,,0.806,,,,0.849,0.796,,,,0.773,0.923,0.723,,0.716,0.919,,0.737,0.939,0.573,0.778,0.687,,0.788,0.577,,,0.883,,0.809,0.888,0.827,0.752,,,0.777,0.765,0.81,0.918,,,,,0.916,0.83,,0.85,0.855,,,,,0.688,,0.812,,0.771,,,,,0.765,,,0.902,,,,,0.917,,,,,,
0.45,,0.875,0.822,0.842,0.852,0.863,0.582,0.868,0.875,0.88,0.908,0.764,,0.817,0.883,0.896,0.827,0.88,0.654,0.83,0.934,0.881,0.933,0.899,0.913,0.878,0.932,0.889,0.899,0.919,0.873,0.799,0.716,0.913,0.903,0.921,0.766,0.87,0.653,0.928,,0.946,0.928,0.754,0.688,0.881,0.747,0.811,0.565,0.803,0.944,0.874,0.898,0.859,0.86,0.838,0.761,0.753,0.833,0.782,0.752,0.895,0.885,0.907,,,0.917,0.848,0.877,0.833,0.731,0.853,0.931,0.872,0.799,0.935,0.681,0.709,0.867,0.877,0.779,,,,0.91,0.904,0.846,0.866,0.918,0.798,0.811,0.893,0.916,0.945,0.92,0.89,0.932,0.949,0.808,0.911
0.50,0.962,0.906,0.793,0.919,0.886,0.849,0.731,0.869,0.951,0.948,0.947,0.837,0.9,0.825,0.931,0.808,0.925,0.873,0.441,0.925,0.939,0.891,0.93,0.939,0.902,0.903,0.949,0.841,0.923,0.953,0.849,0.882,0.736,0.942,0.925,0.948,0.825,0.888,0.909,0.968,0.801,0.907,0.929,0.9,0.652,0.917,0.691,0.779,0.579,0.95,0.95,0.901,0.968,0.919,0.91,0.699,0.75,0.743,0.857,0.933,0.802,0.935,0.955,0.953,0.934,0.876,0.946,0.901,0.893,0.953,0.807,0.87,0.895,0.713,0.937,0.973,0.926,0.861,0.859,0.932,0.926,0.943,0.859,0.94,0.833,0.921,0.812,0.913,0.886,0.913,0.879,0.939,0.865,0.966,0.908,0.881,0.941,0.948,0.865,0.939
0.55,0.967,0.936,0.924,0.919,0.955,0.937,0.951,0.901,0.961,0.963,0.951,0.929,0.914,0.894,0.964,0.938,0.916,0.884,0.851,0.95,0.94,0.921,0.964,0.98,0.949,0.926,0.95,0.849,0.958,0.951,0.932,0.902,0.705,0.937,0.954,0.953,0.953,0.973,0.841,0.975,0.895,0.95,0.961,0.841,0.876,0.901,0.733,0.585,0.876,0.961,0.956,0.847,0.983,0.91,0.924,0.891,0.775,0.724,0.942,0.966,0.853,0.968,0.976,0.934,0.977,0.895,0.924,0.949,0.909,0.954,0.957,0.954,0.908,0.9,0.943,0.974,0.925,0.86,0.932,0.91,0.945,0.982,0.902,0.953,0.955,0.925,0.891,0.943,0.932,0.911,0.908,0.94,0.899,0.974,0.905,0.925,0.965,0.939,0.859,0.962
0.60,0.965,0.921,0.925,0.936,0.975,0.932,0.96,0.972,0.972,0.959,0.974,0.976,0.914,0.899,0.972,0.926,0.973,0.935,0.874,0.963,0.977,0.883,0.982,0.984,0.954,0.933,0.952,0.911,0.981,0.985,0.925,0.972,0.936,0.948,0.961,0.954,0.963,0.967,0.884,0.97,0.952,0.956,0.972,0.921,0.882,0.942,0.811,0.675,0.899,0.971,0.979,0.865,0.985,0.929,0.968,0.883,0.657,0.975,0.951,0.975,0.894,0.958,0.976,0.937,0.973,0.948,0.942,0.971,0.904,0.966,0.965,0.952,0.901,0.93,0.98,0.977,0.959,0.936,0.924,0.898,0.96,0.984,0.964,0.981,0.971,0.97,0.922,0.983,0.954,0.926,0.956,0.929,0.917,0.975,0.912,0.937,0.971,0.952,0.916,0.956
