ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.541,,,,,,,,,,0.373,,,,,,,,,,,,,,,
0.25,,,,0.502,0.007,,,,,0.157,0.545,,0.678,0.495,0.142,,,0.471,,,0.506,,,,,,,0.63,,0.527,,0.429,,,,,-10.517,,,0.535,0.33,0.802,0.099,,0.867,0.038,0.73,0.207,,,0.752,0.775,,,,,0.58,,0.84,,,,-0.809,,,0.454,-6.203,,,,,,,0.732,0.565,,,0.451,0.333,-1.121,0.329,0.652,,,0.247,,0.732,,,0.212,,0.761,0.554,0.553,,0.774,,0.382,,0.718
0.30,0.895,0.714,0.652,0.623,0.501,0.894,0.771,0.872,0.842,0.556,0.607,0.803,0.738,0.707,0.826,0.9,0.93,0.672,0.91,0.636,0.672,0.833,0.749,0.914,0.707,0.782,0.796,0.751,0.904,0.827,0.787,0.803,0.832,0.795,0.523,0.527,0.783,0.793,0.759,0.736,0.707,0.816,0.852,0.75,0.758,0.446,0.869,0.851,0.735,0.86,0.83,0.861,0.737,0.534,0.759,0.788,0.837,0.874,0.726,0.883,0.819,0.898,0.803,0.771,0.833,0.705,0.649,0.841,0.763,0.845,0.816,0.651,0.813,0.807,0.759,0.643,0.841,0.573,0.665,0.732,0.681,0.886,0.786,0.617,0.825,0.668,0.872,0.599,0.525,0.764,0.833,0.892,0.552,0.634,0.805,0.392,0.763,0.646,0.471,0.883
0.35,0.869,0.918,0.898,0.74,0.593,0.961,0.884,0.849,0.939,0.882,0.816,0.941,0.851,0.748,0.894,0.904,0.89,0.812,0.939,0.714,0.77,0.935,0.895,0.929,0.89,0.835,0.827,0.786,0.941,0.903,0.839,0.944,0.901,0.888,0.888,0.926,0.888,0.819,0.925,0.825,0.914,0.946,0.852,0.817,0.884,0.735,0.925,0.933,0.913,0.873,0.856,0.944,0.876,0.599,0.93,0.846,0.844,0.91,0.797,0.906,0.865,0.906,0.785,0.85,0.9,0.777,0.888,0.944,0.884,0.903,0.934,0.701,0.942,0.86,0.919,0.923,0.911,0.854,0.742,0.925,0.913,0.931,0.8,0.836,0.943,0.729,0.86,0.884,0.908,0.843,0.908,0.928,0.607,0.725,0.871,0.911,0.838,0.869,0.843,0.921
0.40,0.96,0.936,0.935,0.749,0.778,0.963,0.916,0.858,0.949,0.87,0.797,0.959,0.825,0.896,0.952,0.89,0.952,0.936,0.966,0.958,0.893,0.94,0.93,0.942,0.964,0.907,0.944,0.934,0.963,0.946,0.939,0.948,0.914,0.917,0.944,0.945,0.896,0.956,0.954,0.934,0.914,0.958,0.931,0.899,0.937,0.843,0.927,0.95,0.943,0.871,0.93,0.971,0.892,0.932,0.949,0.955,0.953,0.888,0.798,0.928,0.953,0.94,0.842,0.933,0.953,0.961,0.884,0.959,0.931,0.963,0.962,0.909,0.951,0.89,0.943,0.96,0.945,0.916,0.896,0.953,0.94,0.946,0.955,0.863,0.955,0.96,0.908,0.905,0.953,0.942,0.937,0.968,0.804,0.906,0.921,0.929,0.872,0.907,0.955,0.938
0.45,0.965,0.962,0.964,0.926,0.939,0.97,0.955,0.938,0.955,0.874,0.954,0.96,0.736,0.951,0.943,0.884,0.95,0.962,0.966,0.942,0.96,0.957,0.964,0.963,0.963,0.895,0.961,0.959,0.965,0.946,0.97,0.966,0.973,0.957,0.953,0.956,0.949,0.965,0.964,0.971,0.936,0.962,0.955,0.895,0.956,0.965,0.924,0.95,0.94,0.974,0.972,0.971,0.954,0.94,0.957,0.972,0.974,0.925,0.813,0.974,0.966,0.949,0.889,0.952,0.955,0.969,0.952,0.967,0.953,0.967,0.965,0.968,0.956,0.886,0.959,0.97,0.971,0.968,0.91,0.967,0.952,0.966,0.954,0.965,0.959,0.961,0.917,0.903,0.961,0.969,0.969,0.967,0.807,0.902,0.936,0.954,0.948,0.958,0.959,0.944
0.50,0.973,0.969,0.968,0.953,0.958,0.97,0.961,0.963,0.97,0.875,0.958,0.965,0.875,0.961,0.962,0.952,0.967,0.967,0.971,0.929,0.965,0.966,0.965,0.974,0.963,0.9,0.969,0.971,0.966,0.975,0.969,0.974,0.974,0.965,0.957,0.964,0.95,0.973,0.97,0.968,0.962,0.966,0.954,0.969,0.973,0.97,0.968,0.956,0.964,0.973,0.972,0.972,0.96,0.95,0.971,0.974,0.975,0.966,0.864,0.977,0.966,0.964,0.974,0.974,0.962,0.967,0.951,0.97,0.962,0.972,0.971,0.965,0.973,0.955,0.962,0.971,0.975,0.979,0.971,0.976,0.945,0.973,0.957,0.964,0.966,0.968,0.925,0.969,0.959,0.975,0.97,0.971,0.805,0.979,0.951,0.961,0.955,0.959,0.957,0.956
