ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,0.876,,,,,,,,,,,0.561,,,,,,,0.88,,0.863,,,,,,,0.857,,,,,,,,,,,,0.654,0.694,,,,,,,,,,,,,,,,,,0.691,,,,,,,,,,,,,,,,,,,,,,0.103,0.734,,,,,,,,,,,,,,,,,,
0.20,0.694,0.528,0.844,0.863,0.862,0.504,0.808,0.865,0.888,0.723,0.864,0.706,0.854,0.683,0.894,0.901,0.886,0.796,0.735,0.895,0.885,0.776,0.86,0.793,0.891,0.817,0.923,0.897,0.876,0.799,0.865,0.847,0.875,0.601,0.857,0.856,0.834,0.8,0.796,0.884,0.856,0.881,0.848,0.805,0.79,0.806,0.889,0.768,0.884,0.19,0.869,0.834,0.88,0.889,0.719,0.838,0.888,0.87,0.739,0.831,0.874,0.827,0.879,0.87,0.907,0.871,0.838,0.749,0.856,0.864,0.877,0.896,0.894,0.846,0.893,0.907,0.892,0.91,0.857,0.83,0.845,0.859,0.891,0.898,0.867,0.885,0.771,0.829,0.902,0.874,0.836,0.847,0.808,0.888,0.863,0.825,0.858,0.827,0.765,0.883
0.25,0.876,0.896,0.886,0.852,0.896,0.887,0.915,0.912,0.909,0.9,0.851,0.86,0.835,0.893,0.916,0.903,0.885,0.914,0.882,0.909,0.914,0.893,0.887,0.91,0.863,0.875,0.915,0.896,0.885,0.754,0.915,0.908,0.924,0.889,0.899,0.853,0.865,0.88,0.909,0.819,0.889,0.875,0.859,0.921,0.897,0.886,0.913,0.916,0.899,0.717,0.905,0.908,0.881,0.888,0.864,0.897,0.868,0.894,0.858,0.892,0.899,0.851,0.909,0.898,0.917,0.886,0.864,0.893,0.902,0.901,0.902,0.903,0.883,0.888,0.912,0.866,0.91,0.898,0.895,0.917,0.882,0.893,0.909,0.911,0.9,0.899,0.873,0.887,0.913,0.884,0.872,0.855,0.898,0.908,0.902,0.907,0.894,0.871,0.793,0.912
0.30,0.892,0.915,0.901,0.909,0.911,0.908,0.898,0.921,0.92,0.917,0.899,0.891,0.901,0.917,0.923,0.924,0.898,0.91,0.901,0.884,0.89,0.917,0.892,0.909,0.903,0.887,0.918,0.927,0.905,0.907,0.922,0.92,0.935,0.927,0.911,0.889,0.912,0.893,0.914,0.906,0.907,0.893,0.896,0.893,0.906,0.895,0.918,0.916,0.913,0.92,0.918,0.928,0.9,0.907,0.879,0.878,0.904,0.887,0.901,0.9,0.898,0.889,0.923,0.909,0.915,0.896,0.872,0.914,0.904,0.908,0.886,0.9,0.898,0.899,0.889,0.908,0.929,0.906,0.908,0.889,0.89,0.905,0.892,0.934,0.923,0.899,0.901,0.903,0.895,0.921,0.924,0.865,0.911,0.914,0.898,0.913,0.905,0.912,0.915,0.919
0.35,0.897,0.923,0.917,0.935,0.918,0.928,0.912,0.928,0.928,0.917,0.912,0.926,0.914,0.922,0.929,0.93,0.904,0.918,0.922,0.931,0.884,0.927,0.905,0.914,0.925,0.927,0.923,0.933,0.904,0.912,0.932,0.925,0.935,0.924,0.916,0.915,0.93,0.923,0.917,0.914,0.894,0.918,0.932,0.917,0.932,0.911,0.927,0.918,0.907,0.921,0.93,0.931,0.927,0.909,0.91,0.914,0.914,0.906,0.921,0.92,0.917,0.922,0.92,0.923,0.916,0.912,0.894,0.912,0.913,0.919,0.908,0.93,0.899,0.916,0.925,0.925,0.93,0.927,0.911,0.925,0.921,0.905,0.92,0.93,0.916,0.91,0.918,0.92,0.918,0.931,0.923,0.877,0.919,0.92,0.911,0.918,0.912,0.914,0.916,0.912
0.40,0.928,0.924,0.934,0.927,0.93,0.927,0.917,0.936,0.93,0.934,0.929,0.929,0.924,0.915,0.935,0.938,0.913,0.927,0.907,0.918,0.904,0.916,0.93,0.926,0.894,0.928,0.929,0.935,0.917,0.92,0.935,0.925,0.933,0.938,0.922,0.916,0.936,0.938,0.935,0.921,0.901,0.93,0.933,0.933,0.938,0.931,0.925,0.925,0.93,0.927,0.933,0.927,0.936,0.917,0.909,0.932,0.922,0.923,0.927,0.937,0.911,0.924,0.922,0.924,0.913,0.922,0.932,0.929,0.921,0.924,0.907,0.934,0.903,0.93,0.924,0.927,0.925,0.933,0.926,0.931,0.923,0.922,0.933,0.93,0.919,0.924,0.921,0.924,0.913,0.925,0.924,0.905,0.929,0.92,0.911,0.917,0.906,0.918,0.922,0.937
0.45,0.926,0.926,0.937,0.936,0.934,0.935,0.934,0.935,0.938,0.934,0.941,0.932,0.94,0.927,0.931,0.943,0.914,0.927,0.925,0.937,0.938,0.933,0.943,0.939,0.92,0.933,0.935,0.936,0.931,0.92,0.942,0.935,0.941,0.939,0.943,0.928,0.943,0.947,0.932,0.934,0.92,0.932,0.941,0.941,0.933,0.932,0.93,0.935,0.945,0.94,0.938,0.937,0.932,0.929,0.928,0.945,0.941,0.931,0.929,0.947,0.924,0.926,0.919,0.922,0.919,0.935,0.942,0.923,0.92,0.929,0.923,0.942,0.927,0.927,0.919,0.925,0.948,0.946,0.932,0.932,0.935,0.936,0.934,0.928,0.926,0.927,0.929,0.939,0.921,0.941,0.938,0.913,0.93,0.92,0.92,0.919,0.937,0.925,0.933,0.935
0.50,0.928,0.933,0.94,0.936,0.944,0.948,0.935,0.94,0.94,0.94,0.945,0.932,0.941,0.935,0.937,0.944,0.94,0.928,0.945,0.937,0.934,0.947,0.946,0.937,0.93,0.936,0.937,0.936,0.93,0.929,0.941,0.952,0.941,0.939,0.943,0.931,0.946,0.938,0.932,0.935,0.927,0.929,0.936,0.94,0.944,0.947,0.928,0.944,0.945,0.939,0.937,0.939,0.934,0.935,0.956,0.945,0.948,0.936,0.941,0.95,0.943,0.931,0.943,0.92,0.935,0.935,0.945,0.936,0.922,0.931,0.922,0.938,0.938,0.935,0.929,0.923,0.947,0.945,0.93,0.934,0.941,0.947,0.939,0.93,0.927,0.934,0.935,0.94,0.938,0.941,0.932,0.936,0.93,0.932,0.929,0.924,0.948,0.938,0.931,0.942
